METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval percent decline

Percent decline  Probability     95% confidence interval
        61       0.0010          0.0000   0.0290
        59       0.0010          0.0000   0.0290
        58       0.0020          0.0000   0.0300
        57       0.0030          0.0000   0.0310
        55       0.0060          0.0000   0.0340
        54       0.0070          0.0000   0.0350
        53       0.0080          0.0000   0.0360
        51       0.0110          0.0000   0.0390
        50       0.0140          0.0000   0.0420
        49       0.0150          0.0000   0.0430
        47       0.0200          0.0000   0.0480
        46       0.0240          0.0000   0.0520
        45       0.0310          0.0030   0.0590
        43       0.0380          0.0100   0.0660
        42       0.0440          0.0160   0.0720
        41       0.0580          0.0300   0.0860
        39       0.0700          0.0420   0.0980
        38       0.0870          0.0590   0.1150
        37       0.0950          0.0670   0.1230
        36       0.1120          0.0840   0.1400
        34       0.1290          0.1010   0.1570
        33       0.1580          0.1300   0.1860
        32       0.1840          0.1560   0.2120
        30       0.2170          0.1890   0.2450
        29       0.2440          0.2160   0.2720
        28       0.2660          0.2380   0.2940
        26       0.2950          0.2670   0.3230
        25       0.3320          0.3040   0.3600
        24       0.3670          0.3390   0.3950
        22       0.4080          0.3800   0.4360
        21       0.4460          0.4180   0.4740
        20       0.4960          0.4680   0.5240
        18       0.5410          0.5130   0.5690
        17       0.5810          0.5530   0.6090
        16       0.6180          0.5900   0.6460
        14       0.6630          0.6350   0.6910
        13       0.6880          0.6600   0.7160
        12       0.7280          0.7000   0.7560
        11       0.7620          0.7340   0.7900
         9       0.7970          0.7690   0.8250
         8       0.8260          0.7980   0.8540
         7       0.8490          0.8210   0.8770
         5       0.8790          0.8510   0.9070
         4       0.8970          0.8690   0.9250
         3       0.9090          0.8810   0.9370
         1       0.9260          0.8980   0.9540
         0       0.9450          0.9170   0.9730
         0       0.9580          0.9300   0.9860
         0       0.9660          0.9380   0.9940
         0       0.9720          0.9440   1.0000
         0       0.9760          0.9480   1.0000
         0       0.9810          0.9530   1.0000
         0       0.9840          0.9560   1.0000
         0       0.9890          0.9610   1.0000
         0       0.9950          0.9670   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
