METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......       25.0       73.2       87.0      100.9      100.0
 2 Pop 2.......        0.0       -8.9       24.7       58.3      100.0
 3 Pop 3.......        0.0       -9.1        1.8       12.8       97.0
 4 Pop 4.......       38.0       81.6       91.2      100.8      100.0
 5 Pop 5.......        0.0       31.7       64.1       96.6      100.0
 6 Pop 6.......        0.0      -11.7        3.6       18.9       97.0
 7 Pop 7.......        0.0        0.0        0.0        0.0        0.0
 8 Pop 8.......       54.0       86.6       94.1      101.7      100.0
 9 Pop 9.......        0.0       71.1       86.6      102.0      100.0
10 Pop 10......       41.0       85.8       94.0      102.2      100.0
11 Pop 11......        0.0       31.5       62.3       93.1      100.0
12 Pop 12......        0.0       43.9       71.0       98.1      100.0
13 Pop 13......        0.0       -4.0       31.6       67.2      100.0
14 Pop 14......       27.0       82.1       91.3      100.5      100.0
15 Pop 15......        0.0      -13.2        5.8       24.8       99.0
16 Pop 16......        0.0       81.5       91.2      101.0      100.0
