METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
        40       1.0000          0.9720   1.0000
        41       0.9980          0.9700   1.0000
        42       0.9970          0.9690   1.0000
        43       0.9970          0.9690   1.0000
        44       0.9960          0.9680   1.0000
        45       0.9950          0.9670   1.0000
        46       0.9950          0.9670   1.0000
        47       0.9940          0.9660   1.0000
        48       0.9920          0.9640   1.0000
        49       0.9900          0.9620   1.0000
        50       0.9890          0.9610   1.0000
        51       0.9860          0.9580   1.0000
        52       0.9830          0.9550   1.0000
        53       0.9780          0.9500   1.0000
        54       0.9770          0.9490   1.0000
        55       0.9730          0.9450   1.0000
        56       0.9690          0.9410   0.9970
        57       0.9630          0.9350   0.9910
        58       0.9570          0.9290   0.9850
        59       0.9510          0.9230   0.9790
        60       0.9440          0.9160   0.9720
        61       0.9410          0.9130   0.9690
        62       0.9290          0.9010   0.9570
        63       0.9140          0.8860   0.9420
        64       0.9070          0.8790   0.9350
        65       0.8920          0.8640   0.9200
        66       0.8770          0.8490   0.9050
        67       0.8650          0.8370   0.8930
        68       0.8540          0.8260   0.8820
        69       0.8360          0.8080   0.8640
        70       0.8270          0.7990   0.8550
        71       0.8050          0.7770   0.8330
        72       0.7850          0.7570   0.8130
        73       0.7650          0.7370   0.7930
        74       0.7390          0.7110   0.7670
        75       0.7160          0.6880   0.7440
        76       0.6900          0.6620   0.7180
        77       0.6660          0.6380   0.6940
        78       0.6450          0.6170   0.6730
        79       0.6170          0.5890   0.6450
        80       0.5950          0.5670   0.6230
        81       0.5690          0.5410   0.5970
        82       0.5500          0.5220   0.5780
        83       0.5270          0.4990   0.5550
        84       0.5020          0.4740   0.5300
        85       0.4770          0.4490   0.5050
        86       0.4510          0.4230   0.4790
        87       0.4260          0.3980   0.4540
        88       0.4040          0.3760   0.4320
        89       0.3830          0.3550   0.4110
        90       0.3560          0.3280   0.3840
        91       0.3390          0.3110   0.3670
        92       0.3200          0.2920   0.3480
        93       0.2950          0.2670   0.3230
        94       0.2820          0.2540   0.3100
        95       0.2680          0.2400   0.2960
        96       0.2500          0.2220   0.2780
        97       0.2280          0.2000   0.2560
        98       0.2080          0.1800   0.2360
        99       0.1930          0.1650   0.2210
       100       0.1690          0.1410   0.1970
       101       0.1540          0.1260   0.1820
       102       0.1380          0.1100   0.1660
       103       0.1180          0.0900   0.1460
       104       0.1110          0.0830   0.1390
       105       0.0990          0.0710   0.1270
       106       0.0890          0.0610   0.1170
       107       0.0780          0.0500   0.1060
       108       0.0690          0.0410   0.0970
       109       0.0620          0.0340   0.0900
       110       0.0550          0.0270   0.0830
       111       0.0460          0.0180   0.0740
       112       0.0410          0.0130   0.0690
       113       0.0380          0.0100   0.0660
       114       0.0320          0.0040   0.0600
       115       0.0280          0.0000   0.0560
       116       0.0230          0.0000   0.0510
       117       0.0190          0.0000   0.0470
       118       0.0140          0.0000   0.0420
       119       0.0130          0.0000   0.0410
       120       0.0100          0.0000   0.0380
       121       0.0080          0.0000   0.0360
       122       0.0080          0.0000   0.0360
       123       0.0050          0.0000   0.0330
       124       0.0040          0.0000   0.0320
       125       0.0040          0.0000   0.0320
       126       0.0040          0.0000   0.0320
       127       0.0020          0.0000   0.0300
       128       0.0020          0.0000   0.0300
       129       0.0020          0.0000   0.0300
       130       0.0020          0.0000   0.0300
       131       0.0020          0.0000   0.0300
       132       0.0020          0.0000   0.0300
       133       0.0010          0.0000   0.0290
       134       0.0010          0.0000   0.0290
       135       0.0010          0.0000   0.0290
       136       0.0010          0.0000   0.0290
