METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      76.00      76.00      76.00      76.00      76.00
        1      64.00      82.63      92.13     101.62     120.00
        2      64.00      90.77     103.43     116.10     148.00
        3      69.00      95.17     109.40     123.64     156.00
        4      60.00      97.66     112.72     127.77     161.00
        5      62.00      98.95     114.10     129.25     165.00
        6      64.00      98.61     114.48     130.35     168.00
        7      68.00      98.91     114.72     130.54     171.00
        8      67.00      97.95     113.46     128.97     161.00
        9      60.00      97.56     113.03     128.51     184.00
       10      40.00      69.06      81.81      94.56     120.00
       11      29.00      66.15      78.34      90.53     122.00
       12      35.00      62.79      75.42      88.06     118.00
       13      35.00      60.72      73.43      86.14     115.00
       14      34.00      59.71      72.25      84.78     111.00
       15      34.00      58.01      70.81      83.61     121.00
       16      37.00      56.93      69.44      81.95     115.00
       17      31.00      55.78      68.53      81.28     113.00
       18      30.00      55.10      68.07      81.04     106.00
       19      25.00      54.28      67.33      80.38     120.00
       20      30.00      53.63      66.82      80.00     109.00
       21      23.00      53.21      66.31      79.40     104.00
       22      23.00      53.07      66.17      79.26     109.00
       23      21.00      52.37      65.56      78.75     108.00
       24      22.00      52.50      65.01      77.53     107.00
       25      23.00      52.42      64.89      77.36     108.00
       26      28.00      51.55      64.13      76.72     106.00
       27      24.00      50.76      63.43      76.09     117.00
       28      15.00      49.89      62.74      75.58     117.00
       29      25.00      50.23      62.55      74.87     113.00
       30      25.00      50.29      62.68      75.08      98.00
       31      25.00      50.02      62.55      75.09     108.00
       32      19.00      49.85      61.92      73.99      96.00
       33      23.00      49.52      61.55      73.59      97.00
       34      26.00      48.74      61.19      73.64     105.00
       35      24.00      48.31      60.83      73.36      98.00
       36      24.00      47.78      60.32      72.86      96.00
       37      26.00      47.50      59.94      72.37      96.00
       38      23.00      47.16      59.69      72.22     116.00
       39      19.00      47.25      59.77      72.29     105.00
       40      20.00      47.02      59.17      71.33     100.00
       41      18.00      46.70      59.28      71.87     102.00
       42      22.00      46.43      59.02      71.60     105.00
       43      22.00      46.59      59.10      71.62     101.00
       44      21.00      46.07      58.53      70.99     100.00
       45      19.00      45.68      58.40      71.12     101.00
       46      17.00      45.59      58.34      71.09     100.00
