METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
        88       1.0000          0.9720   1.0000
        89       0.9990          0.9710   1.0000
        90       0.9980          0.9700   1.0000
        91       0.9980          0.9700   1.0000
        92       0.9970          0.9690   1.0000
        93       0.9970          0.9690   1.0000
        94       0.9960          0.9680   1.0000
        95       0.9940          0.9660   1.0000
        96       0.9940          0.9660   1.0000
        97       0.9930          0.9650   1.0000
        98       0.9910          0.9630   1.0000
        99       0.9900          0.9620   1.0000
       100       0.9860          0.9580   1.0000
       101       0.9830          0.9550   1.0000
       102       0.9780          0.9500   1.0000
       103       0.9670          0.9390   0.9950
       104       0.9620          0.9340   0.9900
       105       0.9530          0.9250   0.9810
       106       0.9530          0.9250   0.9810
       107       0.9460          0.9180   0.9740
       108       0.9340          0.9060   0.9620
       109       0.9220          0.8940   0.9500
       110       0.9140          0.8860   0.9420
       111       0.9000          0.8720   0.9280
       112       0.8950          0.8670   0.9230
       113       0.8770          0.8490   0.9050
       114       0.8590          0.8310   0.8870
       115       0.8500          0.8220   0.8780
       116       0.8250          0.7970   0.8530
       117       0.8010          0.7730   0.8290
       118       0.7860          0.7580   0.8140
       119       0.7660          0.7380   0.7940
       120       0.7330          0.7050   0.7610
       121       0.7040          0.6760   0.7320
       122       0.6720          0.6440   0.7000
       123       0.6510          0.6230   0.6790
       124       0.6230          0.5950   0.6510
       125       0.6020          0.5740   0.6300
       126       0.5760          0.5480   0.6040
       127       0.5560          0.5280   0.5840
       128       0.5270          0.4990   0.5550
       129       0.4940          0.4660   0.5220
       130       0.4660          0.4380   0.4940
       131       0.4300          0.4020   0.4580
       132       0.3990          0.3710   0.4270
       133       0.3690          0.3410   0.3970
       134       0.3470          0.3190   0.3750
       135       0.3160          0.2880   0.3440
       136       0.2820          0.2540   0.3100
       137       0.2540          0.2260   0.2820
       138       0.2330          0.2050   0.2610
       139       0.2120          0.1840   0.2400
       140       0.1850          0.1570   0.2130
       141       0.1610          0.1330   0.1890
       142       0.1470          0.1190   0.1750
       143       0.1300          0.1020   0.1580
       144       0.1160          0.0880   0.1440
       145       0.1040          0.0760   0.1320
       146       0.0960          0.0680   0.1240
       147       0.0800          0.0520   0.1080
       148       0.0690          0.0410   0.0970
       149       0.0580          0.0300   0.0860
       150       0.0510          0.0230   0.0790
       151       0.0430          0.0150   0.0710
       152       0.0400          0.0120   0.0680
       153       0.0330          0.0050   0.0610
       154       0.0260          0.0000   0.0540
       155       0.0220          0.0000   0.0500
       156       0.0200          0.0000   0.0480
       157       0.0170          0.0000   0.0450
       158       0.0160          0.0000   0.0440
       159       0.0130          0.0000   0.0410
       160       0.0120          0.0000   0.0400
       161       0.0100          0.0000   0.0380
       162       0.0060          0.0000   0.0340
       163       0.0040          0.0000   0.0320
       164       0.0040          0.0000   0.0320
       165       0.0030          0.0000   0.0310
       166       0.0020          0.0000   0.0300
       167       0.0020          0.0000   0.0300
       168       0.0020          0.0000   0.0300
       169       0.0010          0.0000   0.0290
       170       0.0010          0.0000   0.0290
       171       0.0010          0.0000   0.0290
       172       0.0010          0.0000   0.0290
       173       0.0010          0.0000   0.0290
       174       0.0010          0.0000   0.0290
       175       0.0010          0.0000   0.0290
       176       0.0010          0.0000   0.0290
       177       0.0010          0.0000   0.0290
       178       0.0010          0.0000   0.0290
       179       0.0010          0.0000   0.0290
       180       0.0010          0.0000   0.0290
       181       0.0010          0.0000   0.0290
       182       0.0010          0.0000   0.0290
       183       0.0010          0.0000   0.0290
       184       0.0010          0.0000   0.0290
