METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......       91.0       90.7       94.1       97.5      100.0
 2 Pop 2.......       91.0       90.1       91.2       92.3       99.0
 3 Pop 3.......        0.0      -11.3        3.9       19.1       97.0
 4 Pop 4.......       26.0       82.2       91.4      100.7      100.0
 5 Pop 5.......        0.0       32.0       64.0       96.1      100.0
 6 Pop 6.......        0.0      -11.6        3.6       18.8       98.0
 7 Pop 7.......        0.0       -5.4        0.7        6.7       87.0
 8 Pop 8.......       35.0       84.2       93.1      102.0      100.0
 9 Pop 9.......       91.0       90.6       94.0       97.4      100.0
10 Pop 10......       27.0       84.2       93.5      102.8      100.0
11 Pop 11......        0.0       27.1       60.3       93.5      100.0
12 Pop 12......       35.0       75.0       85.4       95.8      100.0
13 Pop 13......        0.0       -4.1       31.7       67.6      100.0
14 Pop 14......       23.0       80.6       90.8      100.9      100.0
15 Pop 15......        1.0       61.2       75.5       89.9       98.0
16 Pop 16......       91.0       91.4       94.9       98.3      100.0
