METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 150.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0120          0.0120          0.0000   0.0400
         6       0.0170          0.0290          0.0010   0.0570
         8       0.0170          0.0460          0.0180   0.0740
        10       0.0050          0.0510          0.0230   0.0790
        12       0.0000          0.0510          0.0230   0.0790
        14       0.0000          0.0510          0.0230   0.0790
        16       0.0000          0.0510          0.0230   0.0790
        18       0.0000          0.0510          0.0230   0.0790
        20       0.0000          0.0510          0.0230   0.0790
        22       0.0000          0.0510          0.0230   0.0790
        24       0.0000          0.0510          0.0230   0.0790
        26       0.0000          0.0510          0.0230   0.0790
        28       0.0000          0.0510          0.0230   0.0790
        30       0.0000          0.0510          0.0230   0.0790
        32       0.0000          0.0510          0.0230   0.0790
        34       0.0000          0.0510          0.0230   0.0790
        36       0.0000          0.0510          0.0230   0.0790
        38       0.0000          0.0510          0.0230   0.0790
        40       0.0000          0.0510          0.0230   0.0790
        42       0.0000          0.0510          0.0230   0.0790
        44       0.0000          0.0510          0.0230   0.0790
        46       0.0000          0.0510          0.0230   0.0790
        48       0.0000          0.0510          0.0230   0.0790
        50       0.0000          0.0510          0.0230   0.0790
        52       0.0000          0.0510          0.0230   0.0790
        54       0.0000          0.0510          0.0230   0.0790
        56       0.0000          0.0510          0.0230   0.0790
        58       0.0000          0.0510          0.0230   0.0790
        60       0.0000          0.0510          0.0230   0.0790
        62       0.0000          0.0510          0.0230   0.0790
        64       0.0000          0.0510          0.0230   0.0790
        66       0.0000          0.0510          0.0230   0.0790
        68       0.0000          0.0510          0.0230   0.0790
        70       0.0000          0.0510          0.0230   0.0790
        72       0.0000          0.0510          0.0230   0.0790
        74       0.0000          0.0510          0.0230   0.0790
        76       0.0000          0.0510          0.0230   0.0790
        78       0.0000          0.0510          0.0230   0.0790
        80       0.0000          0.0510          0.0230   0.0790
        82       0.0000          0.0510          0.0230   0.0790
        84       0.0000          0.0510          0.0230   0.0790
        86       0.0000          0.0510          0.0230   0.0790
        88       0.0000          0.0510          0.0230   0.0790
        90       0.0000          0.0510          0.0230   0.0790
        92       0.0000          0.0510          0.0230   0.0790
        94       0.0000          0.0510          0.0230   0.0790
        96       0.0000          0.0510          0.0230   0.0790
        98       0.0000          0.0510          0.0230   0.0790
       100       0.0000          0.0510          0.0230   0.0790
