METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal percent decline

Percent decline  Probability     95% confidence interval
        80       0.0020          0.0000   0.0300
        79       0.0020          0.0000   0.0300
        78       0.0020          0.0000   0.0300
        76       0.0020          0.0000   0.0300
        75       0.0020          0.0000   0.0300
        74       0.0040          0.0000   0.0320
        72       0.0040          0.0000   0.0320
        71       0.0040          0.0000   0.0320
        70       0.0100          0.0000   0.0380
        68       0.0160          0.0000   0.0440
        67       0.0180          0.0000   0.0460
        66       0.0260          0.0000   0.0540
        64       0.0300          0.0020   0.0580
        63       0.0350          0.0070   0.0630
        62       0.0400          0.0120   0.0680
        61       0.0510          0.0230   0.0790
        59       0.0590          0.0310   0.0870
        58       0.0700          0.0420   0.0980
        57       0.0820          0.0540   0.1100
        55       0.0950          0.0670   0.1230
        54       0.1020          0.0740   0.1300
        53       0.1160          0.0880   0.1440
        51       0.1310          0.1030   0.1590
        50       0.1470          0.1190   0.1750
        49       0.1670          0.1390   0.1950
        47       0.1970          0.1690   0.2250
        46       0.2120          0.1840   0.2400
        45       0.2360          0.2080   0.2640
        43       0.2620          0.2340   0.2900
        42       0.2850          0.2570   0.3130
        41       0.3060          0.2780   0.3340
        39       0.3320          0.3040   0.3600
        38       0.3670          0.3390   0.3950
        37       0.4020          0.3740   0.4300
        36       0.4350          0.4070   0.4630
        34       0.4750          0.4470   0.5030
        33       0.5220          0.4940   0.5500
        32       0.5630          0.5350   0.5910
        30       0.6090          0.5810   0.6370
        29       0.6350          0.6070   0.6630
        28       0.6630          0.6350   0.6910
        26       0.6880          0.6600   0.7160
        25       0.7150          0.6870   0.7430
        24       0.7460          0.7180   0.7740
        22       0.7650          0.7370   0.7930
        21       0.7940          0.7660   0.8220
        20       0.8110          0.7830   0.8390
        18       0.8280          0.8000   0.8560
        17       0.8440          0.8160   0.8720
        16       0.8650          0.8370   0.8930
        14       0.8860          0.8580   0.9140
        13       0.9030          0.8750   0.9310
        12       0.9150          0.8870   0.9430
        11       0.9260          0.8980   0.9540
         9       0.9390          0.9110   0.9670
         8       0.9490          0.9210   0.9770
         7       0.9550          0.9270   0.9830
         5       0.9630          0.9350   0.9910
         4       0.9650          0.9370   0.9930
         3       0.9740          0.9460   1.0000
         1       0.9770          0.9490   1.0000
         0       0.9800          0.9520   1.0000
         0       0.9840          0.9560   1.0000
         0       0.9870          0.9590   1.0000
         0       0.9890          0.9610   1.0000
         0       0.9900          0.9620   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9940          0.9660   1.0000
         0       0.9950          0.9670   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
