METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      76.00      76.00      76.00      76.00      76.00
        1      62.00      82.15      91.61     101.06     125.00
        2      62.00      89.69     102.54     115.38     150.00
        3      72.00      93.70     108.36     123.01     153.00
        4      61.00      96.13     111.20     126.27     166.00
        5      62.00      97.36     113.06     128.75     164.00
        6      66.00      98.13     113.87     129.61     171.00
        7      65.00      98.38     113.85     129.31     179.00
        8      66.00      97.42     113.21     129.00     166.00
        9      67.00      97.29     112.91     128.52     168.00
       10      67.00      96.79     112.21     127.64     163.00
       11      62.00      94.94     111.27     127.60     160.00
       12      60.00      94.11     110.06     126.00     165.00
       13      65.00      93.56     109.75     125.94     161.00
       14      67.00      93.08     109.08     125.07     165.00
       15      63.00      92.44     108.31     124.18     158.00
       16      62.00      91.68     107.17     122.66     153.00
       17      58.00      91.31     106.82     122.34     158.00
       18      63.00      90.79     106.33     121.87     156.00
       19      58.00      89.87     105.46     121.06     155.00
       20      49.00      89.26     104.67     120.08     148.00
       21      57.00      89.55     104.16     118.77     157.00
       22      53.00      88.15     103.25     118.35     150.00
       23      53.00      88.14     103.28     118.42     153.00
       24      52.00      86.60     102.31     118.01     161.00
       25      49.00      86.50     101.94     117.38     160.00
       26      38.00      86.84     102.21     117.58     157.00
       27      45.00      85.47     100.95     116.43     153.00
       28      41.00      85.20     100.48     115.77     154.00
       29      50.00      84.73     100.33     115.93     149.00
       30      51.00      84.73     100.11     115.49     151.00
       31      54.00      83.68      99.25     114.81     154.00
       32      53.00      82.97      98.91     114.85     147.00
       33      46.00      82.21      97.97     113.72     150.00
       34      39.00      81.60      97.25     112.91     155.00
       35      36.00      81.61      96.96     112.32     144.00
       36      49.00      81.00      96.82     112.65     151.00
       37      44.00      80.61      96.34     112.07     139.00
       38      48.00      80.37      96.07     111.76     146.00
       39      49.00      79.73      95.43     111.13     151.00
       40      52.00      79.15      94.94     110.73     150.00
       41      44.00      78.91      94.66     110.41     145.00
       42      49.00      78.80      94.39     109.98     142.00
       43      46.00      78.24      93.95     109.66     151.00
       44      53.00      78.73      93.60     108.48     143.00
       45      48.00      78.14      93.56     108.98     143.00
       46      41.00      77.35      92.96     108.57     146.00
       47      42.00      77.67      93.04     108.41     141.00
       48      40.00      77.28      92.71     108.14     141.00
       49      42.00      76.57      92.44     108.31     148.00
       50      43.00      76.20      91.91     107.62     134.00
       51      36.00      75.94      91.63     107.32     134.00
       52      41.00      75.40      91.49     107.57     138.00
       53      46.00      76.26      91.99     107.72     140.00
       54      39.00      76.22      92.07     107.91     143.00
       55      35.00      75.99      91.77     107.55     144.00
       56      47.00      75.84      91.52     107.20     140.00
       57      46.00      74.95      90.75     106.56     140.00
       58      40.00      75.17      90.54     105.91     133.00
       59      43.00      74.87      90.16     105.44     145.00
       60      44.00      74.89      90.10     105.30     139.00
       61      35.00      74.17      89.55     104.92     144.00
       62      39.00      73.70      89.57     105.44     145.00
       63      35.00      73.40      89.00     104.61     137.00
       64      33.00      73.29      88.90     104.52     142.00
       65      37.00      72.47      88.39     104.31     139.00
       66      38.00      73.06      88.63     104.21     138.00
       67      42.00      73.16      88.56     103.96     132.00
       68      36.00      72.96      88.45     103.95     139.00
       69      38.00      72.88      88.47     104.06     131.00
