METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
        98       1.0000          0.9720   1.0000
        99       0.9990          0.9710   1.0000
       100       0.9990          0.9710   1.0000
       101       0.9990          0.9710   1.0000
       102       0.9980          0.9700   1.0000
       103       0.9980          0.9700   1.0000
       104       0.9980          0.9700   1.0000
       105       0.9970          0.9690   1.0000
       106       0.9960          0.9680   1.0000
       107       0.9950          0.9670   1.0000
       108       0.9930          0.9650   1.0000
       109       0.9910          0.9630   1.0000
       110       0.9890          0.9610   1.0000
       111       0.9840          0.9560   1.0000
       112       0.9830          0.9550   1.0000
       113       0.9830          0.9550   1.0000
       114       0.9790          0.9510   1.0000
       115       0.9770          0.9490   1.0000
       116       0.9710          0.9430   0.9990
       117       0.9630          0.9350   0.9910
       118       0.9550          0.9270   0.9830
       119       0.9410          0.9130   0.9690
       120       0.9280          0.9000   0.9560
       121       0.9130          0.8850   0.9410
       122       0.9020          0.8740   0.9300
       123       0.8860          0.8580   0.9140
       124       0.8610          0.8330   0.8890
       125       0.8370          0.8090   0.8650
       126       0.8220          0.7940   0.8500
       127       0.7950          0.7670   0.8230
       128       0.7670          0.7390   0.7950
       129       0.7510          0.7230   0.7790
       130       0.7240          0.6960   0.7520
       131       0.6960          0.6680   0.7240
       132       0.6660          0.6380   0.6940
       133       0.6300          0.6020   0.6580
       134       0.5830          0.5550   0.6110
       135       0.5300          0.5020   0.5580
       136       0.4990          0.4710   0.5270
       137       0.4650          0.4370   0.4930
       138       0.4370          0.4090   0.4650
       139       0.4080          0.3800   0.4360
       140       0.3660          0.3380   0.3940
       141       0.3330          0.3050   0.3610
       142       0.3000          0.2720   0.3280
       143       0.2780          0.2500   0.3060
       144       0.2440          0.2160   0.2720
       145       0.2170          0.1890   0.2450
       146       0.1830          0.1550   0.2110
       147       0.1620          0.1340   0.1900
       148       0.1430          0.1150   0.1710
       149       0.1210          0.0930   0.1490
       150       0.1070          0.0790   0.1350
       151       0.0920          0.0640   0.1200
       152       0.0780          0.0500   0.1060
       153       0.0760          0.0480   0.1040
       154       0.0670          0.0390   0.0950
       155       0.0500          0.0220   0.0780
       156       0.0420          0.0140   0.0700
       157       0.0370          0.0090   0.0650
       158       0.0290          0.0010   0.0570
       159       0.0220          0.0000   0.0500
       160       0.0220          0.0000   0.0500
       161       0.0200          0.0000   0.0480
       162       0.0150          0.0000   0.0430
       163       0.0130          0.0000   0.0410
       164       0.0080          0.0000   0.0360
       165       0.0060          0.0000   0.0340
       166       0.0030          0.0000   0.0310
       167       0.0010          0.0000   0.0290
       168       0.0010          0.0000   0.0290
       169       0.0010          0.0000   0.0290
       170       0.0010          0.0000   0.0290
       171       0.0010          0.0000   0.0290
       172       0.0010          0.0000   0.0290
       173       0.0010          0.0000   0.0290
       174       0.0010          0.0000   0.0290
       175       0.0010          0.0000   0.0290
       176       0.0010          0.0000   0.0290
       177       0.0010          0.0000   0.0290
       178       0.0010          0.0000   0.0290
       179       0.0010          0.0000   0.0290
