METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       16.0       16.0       16.0       16.0       16.0
        1       12.0       14.0       14.9       15.8       16.0
        2       10.0       12.9       14.1       15.3       16.0
        3        9.0       12.0       13.4       14.7       16.0
        4        8.0       11.4       12.8       14.2       16.0
        5        7.0       10.8       12.3       13.8       16.0
        6        7.0       10.3       11.9       13.4       16.0
        7        7.0       10.0       11.5       13.0       16.0
        8        6.0        9.6       11.1       12.6       16.0
        9        6.0        9.3       10.8       12.3       16.0
       10        6.0        8.9       10.4       12.0       16.0
       11        6.0        8.7       10.2       11.6       14.0
       12        6.0        8.5        9.9       11.4       14.0
       13        6.0        8.3        9.7       11.1       14.0
       14        6.0        8.1        9.5       10.9       14.0
       15        6.0        7.8        9.3       10.7       14.0
       16        5.0        7.7        9.1       10.5       14.0
       17        5.0        7.5        8.9       10.3       14.0
       18        5.0        7.4        8.7       10.1       14.0
       19        5.0        7.2        8.6        9.9       14.0
       20        5.0        7.1        8.4        9.7       12.0
       21        4.0        7.0        8.3        9.5       12.0
       22        4.0        6.9        8.1        9.4       12.0
       23        4.0        6.8        8.0        9.2       12.0
       24        4.0        6.7        7.9        9.1       12.0
       25        4.0        6.6        7.8        9.0       12.0
       26        4.0        6.5        7.7        8.9       12.0
       27        4.0        6.4        7.6        8.8       12.0
       28        4.0        6.3        7.5        8.7       12.0
       29        4.0        6.2        7.4        8.6       11.0
       30        4.0        6.1        7.3        8.5       11.0
       31        4.0        6.1        7.3        8.5       11.0
       32        4.0        6.0        7.2        8.4       11.0
       33        4.0        5.9        7.1        8.3       11.0
       34        4.0        5.9        7.1        8.2       11.0
       35        4.0        5.8        7.0        8.2       11.0
       36        4.0        5.7        6.9        8.1       11.0
       37        4.0        5.7        6.8        8.0       11.0
       38        4.0        5.6        6.8        7.9       11.0
       39        3.0        5.6        6.7        7.8       11.0
       40        3.0        5.5        6.6        7.8       11.0
       41        3.0        5.5        6.6        7.7       10.0
       42        3.0        5.4        6.5        7.7       10.0
       43        3.0        5.4        6.5        7.6       10.0
       44        3.0        5.3        6.5        7.6       10.0
       45        3.0        5.3        6.4        7.5       10.0
       46        3.0        5.2        6.3        7.5       10.0
       47        3.0        5.2        6.3        7.4       10.0
       48        3.0        5.2        6.3        7.4       10.0
       49        3.0        5.1        6.2        7.3       10.0
       50        3.0        5.1        6.2        7.3       10.0
       51        2.0        5.0        6.1        7.2       10.0
       52        2.0        5.0        6.1        7.2       10.0
       53        2.0        5.0        6.1        7.2        9.0
       54        2.0        4.9        6.0        7.1        9.0
       55        2.0        4.9        6.0        7.1        9.0
       56        2.0        4.9        5.9        7.0        9.0
       57        2.0        4.8        5.9        7.0        9.0
       58        2.0        4.8        5.9        7.0        9.0
       59        2.0        4.8        5.9        6.9        9.0
       60        2.0        4.8        5.8        6.9        9.0
       61        2.0        4.7        5.8        6.9        9.0
       62        2.0        4.7        5.8        6.8        9.0
       63        2.0        4.7        5.7        6.8        9.0
       64        2.0        4.7        5.7        6.8        9.0
       65        2.0        4.7        5.7        6.7        9.0
       66        2.0        4.6        5.7        6.7        9.0
       67        2.0        4.6        5.6        6.7        9.0
       68        2.0        4.6        5.6        6.7        9.0
       69        2.0        4.6        5.6        6.6        9.0
       70        2.0        4.6        5.6        6.6        9.0
       71        2.0        4.5        5.6        6.6        9.0
       72        2.0        4.5        5.5        6.6        9.0
       73        2.0        4.5        5.5        6.5        9.0
       74        2.0        4.5        5.5        6.5        8.0
       75        2.0        4.5        5.5        6.5        8.0
       76        2.0        4.4        5.4        6.5        8.0
       77        2.0        4.4        5.4        6.4        8.0
       78        2.0        4.4        5.4        6.4        8.0
       79        2.0        4.4        5.4        6.4        8.0
       80        2.0        4.4        5.4        6.4        8.0
       81        2.0        4.4        5.4        6.4        8.0
       82        2.0        4.3        5.3        6.3        8.0
       83        2.0        4.3        5.3        6.3        8.0
       84        2.0        4.3        5.3        6.3        8.0
       85        1.0        4.3        5.3        6.3        8.0
       86        1.0        4.3        5.3        6.2        8.0
       87        1.0        4.2        5.2        6.2        8.0
       88        1.0        4.2        5.2        6.2        8.0
       89        1.0        4.2        5.2        6.2        8.0
       90        1.0        4.2        5.2        6.2        8.0
       91        1.0        4.2        5.2        6.2        8.0
       92        1.0        4.2        5.2        6.1        8.0
       93        1.0        4.2        5.2        6.1        8.0
       94        1.0        4.2        5.1        6.1        8.0
       95        1.0        4.1        5.1        6.1        8.0
       96        1.0        4.1        5.1        6.1        8.0
       97        1.0        4.1        5.1        6.1        8.0
       98        1.0        4.1        5.1        6.0        8.0
       99        1.0        4.1        5.1        6.0        8.0
      100        1.0        4.1        5.0        6.0        8.0
