METAPOPULATION MODEL results; Date=8/3/2023 Time=02:38:17
===========================================================
B10




   19 populations (19 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......       91.0       90.6       94.0       97.4      100.0
 2 Pop 2.......        0.0       61.5       76.4       91.2       99.0
 3 Pop 3.......        0.0       59.1       74.6       90.1       97.0
 4 Pop 4.......       36.0       81.9       91.3      100.8      100.0
 5 Pop 5.......       91.0       89.6       92.3       95.1      100.0
 6 Pop 6.......        0.0      -12.3        7.0       26.4       99.0
 7 Pop 7.......        0.0       31.8       57.6       83.4       90.0
 8 Pop 8.......       48.0       86.2       94.1      102.1      100.0
 9 Pop 9.......        0.0       71.2       86.2      101.2      100.0
10 Pop 10......       91.0       92.5       96.1       99.7      100.0
11 Pop 11......        0.0       64.5       79.7       94.8      100.0
12 Pop 12......       91.0       89.8       92.5       95.3      100.0
13 Pop 13......       91.0       89.9       91.4       92.9      100.0
14 Pop 14......       51.0       81.7       91.0      100.3      100.0
15 Pop 15......        0.0      -14.0        7.1       28.2       99.0
16 Pop 16......       91.0       91.2       94.7       98.1      100.0
17 17S3-T1.....        8.0       70.9       80.5       90.2      100.0
18 18S7-T1.....        8.0       33.0       58.1       83.2       90.0
19 19S7-T1.....        8.0       60.7       75.2       89.8       91.0
