METAPOPULATION MODEL results; Date=8/3/2023 Time=02:38:17
===========================================================
B10




   19 populations (19 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......        0.0        2.6        6.0        9.4        9.0
 2 Pop 2.......        1.0        8.8       23.6       38.5      100.0
 3 Pop 3.......        3.0        9.9       25.4       40.9      100.0
 4 Pop 4.......        0.0       -0.8        8.7       18.1       64.0
 5 Pop 5.......        0.0        4.9        7.7       10.4        9.0
 6 Pop 6.......        1.0       73.6       93.0      112.3      100.0
 7 Pop 7.......       10.0       16.6       42.4       68.2      100.0
 8 Pop 8.......        0.0       -2.1        5.9       13.8       52.0
 9 Pop 9.......        0.0       -1.2       13.8       28.8      100.0
10 Pop 10......        0.0        0.3        3.9        7.5        9.0
11 Pop 11......        0.0        5.2       20.3       35.5      100.0
12 Pop 12......        0.0        4.7        7.5       10.2        9.0
13 Pop 13......        0.0        7.1        8.6       10.1        9.0
14 Pop 14......        0.0       -0.3        9.0       18.3       49.0
15 Pop 15......        1.0       71.8       92.9      114.0      100.0
16 Pop 16......        0.0        1.9        5.3        8.8        9.0
17 17S3-T1.....        0.0        1.9       11.5       21.2       92.0
18 18S7-T1.....        2.0        8.1       34.5       60.9       92.0
19 19S7-T1.....        1.0        2.2       16.8       31.4       88.0
