METAPOPULATION MODEL results; Date=8/3/2023 Time=02:38:17
===========================================================
B10




   19 populations (19 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to extinction (Threshold level = 0.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0000          0.0000          0.0000   0.0280
         8       0.0000          0.0000          0.0000   0.0280
        10       0.0000          0.0000          0.0000   0.0280
        12       0.0000          0.0000          0.0000   0.0280
        14       0.0000          0.0000          0.0000   0.0280
        16       0.0000          0.0000          0.0000   0.0280
        18       0.0000          0.0000          0.0000   0.0280
        20       0.0000          0.0000          0.0000   0.0280
        22       0.0000          0.0000          0.0000   0.0280
        24       0.0000          0.0000          0.0000   0.0280
        26       0.0000          0.0000          0.0000   0.0280
        28       0.0000          0.0000          0.0000   0.0280
        30       0.0000          0.0000          0.0000   0.0280
        32       0.0000          0.0000          0.0000   0.0280
        34       0.0000          0.0000          0.0000   0.0280
        36       0.0000          0.0000          0.0000   0.0280
        38       0.0000          0.0000          0.0000   0.0280
        40       0.0000          0.0000          0.0000   0.0280
        42       0.0000          0.0000          0.0000   0.0280
        44       0.0000          0.0000          0.0000   0.0280
        46       0.0000          0.0000          0.0000   0.0280
        48       0.0000          0.0000          0.0000   0.0280
        50       0.0000          0.0000          0.0000   0.0280
        52       0.0000          0.0000          0.0000   0.0280
        54       0.0010          0.0010          0.0000   0.0290
        56       0.0000          0.0010          0.0000   0.0290
        58       0.0000          0.0010          0.0000   0.0290
        60       0.0000          0.0010          0.0000   0.0290
        62       0.0000          0.0010          0.0000   0.0290
        64       0.0000          0.0010          0.0000   0.0290
        66       0.0020          0.0030          0.0000   0.0310
        68       0.0010          0.0040          0.0000   0.0320
        70       0.0000          0.0040          0.0000   0.0320
        72       0.0000          0.0040          0.0000   0.0320
        74       0.0010          0.0050          0.0000   0.0330
        76       0.0010          0.0060          0.0000   0.0340
        78       0.0010          0.0070          0.0000   0.0350
        80       0.0020          0.0090          0.0000   0.0370
        82       0.0010          0.0100          0.0000   0.0380
        84       0.0010          0.0110          0.0000   0.0390
        86       0.0000          0.0110          0.0000   0.0390
        88       0.0000          0.0110          0.0000   0.0390
        90       0.0000          0.0110          0.0000   0.0390
        92       0.0010          0.0120          0.0000   0.0400
        94       0.0010          0.0130          0.0000   0.0410
        96       0.0010          0.0140          0.0000   0.0420
        98       0.0020          0.0160          0.0000   0.0440
       100       0.0010          0.0170          0.0000   0.0450
