METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      76.00      76.00      76.00      76.00      76.00
        1      62.00      82.93      92.15     101.36     130.00
        2      55.00      90.33     103.20     116.07     163.00
        3      54.00      94.63     109.19     123.74     155.00
        4      65.00      96.89     112.71     128.54     176.00
        5      69.00      98.33     114.32     130.31     162.00
        6      67.00      98.83     114.60     130.36     171.00
        7      66.00      98.82     114.38     129.93     164.00
        8      67.00      98.06     113.77     129.49     168.00
        9      68.00      97.75     113.10     128.45     162.00
       10      36.00      59.02      70.28      81.54     102.00
       11      32.00      50.04      60.65      71.27     101.00
       12      28.00      44.03      54.51      65.00      89.00
       13      22.00      39.58      50.32      61.05      92.00
       14      19.00      36.00      46.92      57.85      83.00
       15      12.00      33.37      44.08      54.79      83.00
       16      11.00      30.49      41.65      52.82      87.00
       17       7.00      28.17      39.05      49.93      77.00
       18       8.00      26.10      36.98      47.86      77.00
       19       5.00      24.27      35.03      45.78      77.00
       20       2.00      22.39      32.99      43.58      77.00
       21       2.00      20.94      31.23      41.52      67.00
       22       2.00      19.61      29.77      39.93      65.00
       23       1.00      17.82      27.86      37.91      70.00
       24       2.00      17.03      27.04      37.06      67.00
       25       1.00      15.54      25.65      35.76      61.00
       26       0.00      14.87      24.53      34.20      61.00
       27       0.00      13.92      23.71      33.49      62.00
       28       0.00      13.59      23.19      32.79      62.00
       29       0.00      12.48      21.67      30.85      56.00
       30       0.00      11.99      21.10      30.21      54.00
       31       0.00      11.21      20.13      29.05      51.00
       32       0.00      10.49      19.31      28.12      53.00
       33       0.00       9.78      18.51      27.24      59.00
       34       0.00       9.02      17.65      26.28      55.00
       35       0.00       8.38      16.81      25.24      48.00
       36       0.00       7.66      16.12      24.58      48.00
       37       0.00       7.39      15.81      24.23      50.00
       38       0.00       6.97      15.39      23.80      44.00
       39       0.00       6.37      14.79      23.20      53.00
       40       0.00       5.92      14.03      22.14      56.00
       41       0.00       5.69      13.74      21.79      44.00
       42       0.00       5.07      13.20      21.34      50.00
       43       0.00       4.82      12.70      20.57      51.00
       44       0.00       4.26      12.25      20.25      53.00
       45       0.00       4.18      11.99      19.79      37.00
       46       0.00       3.95      11.64      19.33      46.00
       47       0.00       3.61      11.07      18.53      47.00
       48       0.00       3.23      10.73      18.23      39.00
       49       0.00       3.11      10.51      17.91      33.00
       50       0.00       2.99      10.28      17.56      39.00
       51       0.00       2.72      10.02      17.31      36.00
       52       0.00       2.40       9.72      17.04      41.00
       53       0.00       2.15       9.38      16.62      39.00
       54       0.00       1.94       9.05      16.15      41.00
       55       0.00       1.66       8.78      15.89      43.00
       56       0.00       1.39       8.48      15.57      38.00
       57       0.00       1.40       8.24      15.09      42.00
       58       0.00       1.26       8.06      14.86      35.00
