METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
        90       1.0000          0.9720   1.0000
        91       0.9990          0.9710   1.0000
        92       0.9990          0.9710   1.0000
        93       0.9970          0.9690   1.0000
        94       0.9960          0.9680   1.0000
        95       0.9940          0.9660   1.0000
        96       0.9940          0.9660   1.0000
        97       0.9930          0.9650   1.0000
        98       0.9920          0.9640   1.0000
        99       0.9900          0.9620   1.0000
       100       0.9870          0.9590   1.0000
       101       0.9840          0.9560   1.0000
       102       0.9820          0.9540   1.0000
       103       0.9790          0.9510   1.0000
       104       0.9720          0.9440   1.0000
       105       0.9650          0.9370   0.9930
       106       0.9570          0.9290   0.9850
       107       0.9470          0.9190   0.9750
       108       0.9340          0.9060   0.9620
       109       0.9230          0.8950   0.9510
       110       0.9100          0.8820   0.9380
       111       0.9010          0.8730   0.9290
       112       0.8830          0.8550   0.9110
       113       0.8650          0.8370   0.8930
       114       0.8470          0.8190   0.8750
       115       0.8340          0.8060   0.8620
       116       0.8140          0.7860   0.8420
       117       0.7960          0.7680   0.8240
       118       0.7820          0.7540   0.8100
       119       0.7610          0.7330   0.7890
       120       0.7370          0.7090   0.7650
       121       0.7220          0.6940   0.7500
       122       0.6990          0.6710   0.7270
       123       0.6700          0.6420   0.6980
       124       0.6340          0.6060   0.6620
       125       0.6070          0.5790   0.6350
       126       0.5780          0.5500   0.6060
       127       0.5510          0.5230   0.5790
       128       0.5190          0.4910   0.5470
       129       0.4870          0.4590   0.5150
       130       0.4540          0.4260   0.4820
       131       0.4150          0.3870   0.4430
       132       0.3880          0.3600   0.4160
       133       0.3620          0.3340   0.3900
       134       0.3330          0.3050   0.3610
       135       0.3150          0.2870   0.3430
       136       0.2830          0.2550   0.3110
       137       0.2700          0.2420   0.2980
       138       0.2480          0.2200   0.2760
       139       0.2210          0.1930   0.2490
       140       0.1880          0.1600   0.2160
       141       0.1710          0.1430   0.1990
       142       0.1540          0.1260   0.1820
       143       0.1340          0.1060   0.1620
       144       0.1110          0.0830   0.1390
       145       0.1000          0.0720   0.1280
       146       0.0870          0.0590   0.1150
       147       0.0750          0.0470   0.1030
       148       0.0610          0.0330   0.0890
       149       0.0540          0.0260   0.0820
       150       0.0460          0.0180   0.0740
       151       0.0400          0.0120   0.0680
       152       0.0330          0.0050   0.0610
       153       0.0300          0.0020   0.0580
       154       0.0280          0.0000   0.0560
       155       0.0250          0.0000   0.0530
       156       0.0220          0.0000   0.0500
       157       0.0170          0.0000   0.0450
       158       0.0150          0.0000   0.0430
       159       0.0130          0.0000   0.0410
       160       0.0120          0.0000   0.0400
       161       0.0120          0.0000   0.0400
       162       0.0100          0.0000   0.0380
       163       0.0080          0.0000   0.0360
       164       0.0060          0.0000   0.0340
       165       0.0050          0.0000   0.0330
       166       0.0050          0.0000   0.0330
       167       0.0050          0.0000   0.0330
       168       0.0030          0.0000   0.0310
       169       0.0020          0.0000   0.0300
       170       0.0020          0.0000   0.0300
       171       0.0020          0.0000   0.0300
       172       0.0010          0.0000   0.0290
       173       0.0010          0.0000   0.0290
       174       0.0010          0.0000   0.0290
       175       0.0010          0.0000   0.0290
       176       0.0010          0.0000   0.0290
