METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       16.0       16.0       16.0       16.0       16.0
        1       11.0       14.0       14.9       15.8       16.0
        2       10.0       12.8       14.0       15.2       16.0
        3       10.0       12.1       13.4       14.7       16.0
        4        8.0       11.4       12.8       14.3       16.0
        5        8.0       10.9       12.3       13.8       16.0
        6        7.0       10.4       11.9       13.4       16.0
        7        7.0       10.0       11.5       13.0       16.0
        8        6.0        9.6       11.1       12.6       16.0
        9       10.0       15.2       16.7       18.3       22.0
       10        9.0       13.6       14.9       16.2       18.0
       11        8.0       12.6       14.1       15.6       18.0
       12        7.0       11.4       13.1       14.8       18.0
       13        5.0       10.4       12.2       13.9       17.0
       14        5.0        9.4       11.3       13.2       17.0
       15        4.0        8.6       10.5       12.5       16.0
       16        4.0        7.9        9.8       11.8       16.0
       17        3.0        7.2        9.2       11.1       16.0
       18        3.0        6.6        8.6       10.5       16.0
       19        3.0        6.1        8.0       10.0       16.0
       20        1.0        5.6        7.5        9.5       15.0
       21        1.0        5.2        7.0        8.9       14.0
       22        1.0        4.8        6.6        8.5       14.0
       23        1.0        4.4        6.2        8.1       12.0
       24        1.0        4.1        5.9        7.7       12.0
       25        1.0        3.8        5.6        7.3       12.0
       26        0.0        3.6        5.3        7.0       12.0
       27        0.0        3.4        5.0        6.7       11.0
       28        0.0        3.1        4.8        6.4       11.0
       29        0.0        3.0        4.5        6.1       11.0
       30        0.0        2.8        4.3        5.9       10.0
       31        0.0        2.6        4.1        5.6       10.0
       32        0.0        2.4        3.9        5.4       10.0
       33        0.0        2.3        3.7        5.2       10.0
       34        0.0        2.1        3.5        5.0        9.0
       35        0.0        1.9        3.4        4.8        8.0
       36        0.0        1.8        3.2        4.6        8.0
       37        0.0        1.7        3.1        4.5        8.0
       38        0.0        1.6        2.9        4.3        8.0
       39        0.0        1.5        2.8        4.2        8.0
       40        0.0        1.4        2.7        4.1        8.0
       41        0.0        1.3        2.6        3.9        8.0
       42        0.0        1.2        2.5        3.8        8.0
       43        0.0        1.1        2.4        3.7        8.0
       44        0.0        1.0        2.3        3.6        8.0
       45        0.0        1.0        2.2        3.5        6.0
       46        0.0        0.9        2.2        3.4        6.0
       47        0.0        0.9        2.1        3.3        6.0
       48        0.0        0.8        2.0        3.2        6.0
       49        0.0        0.7        1.9        3.1        6.0
       50        0.0        0.7        1.9        3.0        6.0
       51        0.0        0.7        1.8        3.0        6.0
       52        0.0        0.6        1.8        2.9        6.0
       53        0.0        0.6        1.7        2.8        6.0
       54        0.0        0.5        1.6        2.8        6.0
       55        0.0        0.5        1.6        2.7        6.0
       56        0.0        0.4        1.5        2.6        6.0
       57        0.0        0.4        1.5        2.6        5.0
       58        0.0        0.4        1.4        2.5        5.0
       59        0.0        0.4        1.4        2.4        5.0
       60        0.0        0.3        1.4        2.4        5.0
       61        0.0        0.3        1.3        2.3        5.0
       62        0.0        0.3        1.3        2.3        5.0
       63        0.0        0.2        1.2        2.2        5.0
       64        0.0        0.2        1.2        2.2        5.0
       65        0.0        0.2        1.2        2.1        5.0
       66        0.0        0.2        1.1        2.1        5.0
       67        0.0        0.2        1.1        2.0        4.0
       68        0.0        0.1        1.1        2.0        4.0
       69        0.0        0.1        1.0        1.9        4.0
       70        0.0        0.1        1.0        1.9        4.0
       71        0.0        0.1        1.0        1.9        4.0
       72        0.0        0.1        1.0        1.8        4.0
       73        0.0        0.1        0.9        1.8        4.0
       74        0.0        0.1        0.9        1.8        4.0
       75        0.0        0.0        0.9        1.7        4.0
       76        0.0        0.0        0.9        1.7        4.0
       77        0.0        0.0        0.8        1.7        4.0
       78        0.0        0.0        0.8        1.6        4.0
       79        0.0        0.0        0.8        1.6        4.0
       80        0.0        0.0        0.8        1.6        4.0
       81        0.0        0.0        0.8        1.5        4.0
       82        0.0        0.0        0.7        1.5        4.0
       83        0.0       -0.1        0.7        1.5        4.0
       84        0.0       -0.1        0.7        1.5        4.0
       85        0.0       -0.1        0.7        1.4        4.0
       86        0.0       -0.1        0.7        1.4        4.0
       87        0.0       -0.1        0.7        1.4        4.0
       88        0.0       -0.1        0.6        1.4        4.0
       89        0.0       -0.1        0.6        1.4        4.0
       90        0.0       -0.1        0.6        1.4        4.0
       91        0.0       -0.1        0.6        1.3        3.0
       92        0.0       -0.1        0.6        1.3        3.0
       93        0.0       -0.1        0.6        1.3        3.0
       94        0.0       -0.2        0.6        1.3        3.0
       95        0.0       -0.2        0.5        1.2        3.0
       96        0.0       -0.2        0.5        1.2        3.0
       97        0.0       -0.2        0.5        1.2        3.0
       98        0.0       -0.2        0.5        1.2        3.0
       99        0.0       -0.2        0.5        1.2        3.0
      100        0.0       -0.2        0.5        1.2        3.0
