METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to extinction (Threshold level = 0.0)

Median time = 87.7 timestep(s)

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0000          0.0000          0.0000   0.0280
         8       0.0000          0.0000          0.0000   0.0280
        10       0.0000          0.0000          0.0000   0.0280
        12       0.0000          0.0000          0.0000   0.0280
        14       0.0000          0.0000          0.0000   0.0280
        16       0.0000          0.0000          0.0000   0.0280
        18       0.0000          0.0000          0.0000   0.0280
        20       0.0000          0.0000          0.0000   0.0280
        22       0.0000          0.0000          0.0000   0.0280
        24       0.0000          0.0000          0.0000   0.0280
        26       0.0010          0.0010          0.0000   0.0290
        28       0.0020          0.0030          0.0000   0.0310
        30       0.0030          0.0060          0.0000   0.0340
        32       0.0040          0.0100          0.0000   0.0380
        34       0.0040          0.0140          0.0000   0.0420
        36       0.0100          0.0240          0.0000   0.0520
        38       0.0040          0.0280          0.0000   0.0560
        40       0.0070          0.0350          0.0070   0.0630
        42       0.0220          0.0570          0.0290   0.0850
        44       0.0110          0.0680          0.0400   0.0960
        46       0.0130          0.0810          0.0530   0.1090
        48       0.0180          0.0990          0.0710   0.1270
        50       0.0150          0.1140          0.0860   0.1420
        52       0.0170          0.1310          0.1030   0.1590
        54       0.0130          0.1440          0.1160   0.1720
        56       0.0240          0.1680          0.1400   0.1960
        58       0.0230          0.1910          0.1630   0.2190
        60       0.0180          0.2090          0.1810   0.2370
        62       0.0270          0.2360          0.2080   0.2640
        64       0.0280          0.2640          0.2360   0.2920
        66       0.0180          0.2820          0.2540   0.3100
        68       0.0200          0.3020          0.2740   0.3300
        70       0.0180          0.3200          0.2920   0.3480
        72       0.0180          0.3380          0.3100   0.3660
        74       0.0160          0.3540          0.3260   0.3820
        76       0.0220          0.3760          0.3480   0.4040
        78       0.0270          0.4030          0.3750   0.4310
        80       0.0220          0.4250          0.3970   0.4530
        82       0.0180          0.4430          0.4150   0.4710
        84       0.0280          0.4710          0.4430   0.4990
        86       0.0120          0.4830          0.4550   0.5110
        88       0.0200          0.5030          0.4750   0.5310
        90       0.0150          0.5180          0.4900   0.5460
        92       0.0210          0.5390          0.5110   0.5670
        94       0.0180          0.5570          0.5290   0.5850
        96       0.0150          0.5720          0.5440   0.6000
        98       0.0150          0.5870          0.5590   0.6150
       100       0.0160          0.6030          0.5750   0.6310
