C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n150\iter0\both150_0.mp
2
1 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n150\iter0\cont150_0.ptc
2 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n150\iter0\binary150_0.ptc
iter Fyear Lyear patch new2old old2new
 1   0  98  1  0  0
 1   0  98  2  0  0
 1   0  98  3  0  0
 1   0  98  4  0  0
 1   0  98  5  0  0
 1   0  98  6  0  0
 1   0  98  7  0  0
 1   0  98  8  0  0
 1   0  98  9  0  0
 1   0  98 10  0  0
 1   0  98 11  0  0
 1   0  98 12  0  0
 1   0  98 13  0  0
 1   0  98 14  0  0
 1   0  98 15  0  0
 1   0  98 16  0  0
 1   0  98 17  0  0
 1   0  98 18  0  0
 1   0  98 19  0  0
 1   0  98 20  0  0
 1   0  98 21  0  0
 1   0  98 22  0  0
 1   0  98 23  0  0
 1   0  98 24  0  0
 1   0  98 25  0  0
 1   0  98 26  0  0
 1   0  98 27  0  0
 1   0  98 28  0  0
 1   0  98 29  0  0
 1   0  98 30  0  0
 1   0  98 31  0  0
 1   0  98 32  0  0
 1   0  98 33  0  0
 1   0  98 34  0  0
 1   0  98 35  0  0
 1   0  98 36  0  0
 1   0  98 37  0  0
 1   0  98 38  0  0
 1   0  98 39  0  0
 1   0  98 40  0  0
 1   0  98 41  0  0
 1   0  98 42  0  0
 1   0  98 43  0  0
 1   0  98 44  0  0
 1   0  98 45  0  0
 1   0  98 46  0  0
 1   0  98 47  0  0
 1   0  98 48  0  0
 1   0  98 49  0  0
 1   0  98 50  0  0
 1   0  98 51  0  0
 1   0  98 52  0  0
 1   0  98 53  0  0
 1   0  98 54  0  0
 1   0  98 55  0  0
 1   0  98 56  0  0
 1   0  98 57  0  0
 1   0  98 58  0  0
 1   0  98 59  0  0
 1   0  98 60  0  0
 1   0  98 61  0  0
 1   0  98 62  0  0
 1   0  98 63  0  0
 1   0  98 64  0  0
 1   0  98 65  0  0
 1   0  98 66  0  0
 1   0  98 67  0  0
 1   0  98 68  0  0
 1   0  98 69  0  0
 1   0  98 70  0  0
 1   0  98 71  0  0
 1   0  98 72  0  0
 1   0  98 73  0  0
 1   0  98 74  0  0
 1   0  98 75  0  0
 1   0  98 76  0  0
 2  99 500  1 87  8
 2  99 500  2  5  5
 2  99 500  3 88  4
 2  99 500  4  3 18
 2  99 500  5  2  2
 2  99 500  6 89 13
 2  99 500  7 12 103
 2  99 500  8  1 104
 2  99 500  9 90 15
 2  99 500 10 91 11
 2  99 500 11 10 105
 2  99 500 12 92  7
 2  99 500 13  6 16
 2  99 500 14 93 24
 2  99 500 15  9 27
 2  99 500 16 13 26
 2  99 500 17 77 28
 2  99 500 18  4 22
 2  99 500 19 80 34
 2  99 500 20 24 33
 2  99 500 21 94 39
 2  99 500 22 18 30
 2  99 500 23 26 36
 2  99 500 24 14 20
 2  99 500 25 78 42
 2  99 500 26 16 23
 2  99 500 27 15 45
 2  99 500 28 17 43
 2  99 500 29 95 51
 2  99 500 30 22 44
 2  99 500 31 96 41
 2  99 500 32 81 46
 2  99 500 33 20 106
 2  99 500 34 19 52
 2  99 500 35 97 107
 2  99 500 36 23 54
 2  99 500 37 79 48
 2  99 500 38 98 50
 2  99 500 39 21 53
 2  99 500 40 99 108
 2  99 500 41 31 109
 2  99 500 42 25 62
 2  99 500 43 28 60
 2  99 500 44 30 57
 2  99 500 45 27 110
 2  99 500 46 32 111
 2  99 500 47 100 66
 2  99 500 48 37 63
 2  99 500 49 101 73
 2  99 500 50 38 69
 2  99 500 51 29 64
 2  99 500 52 34 65
 2  99 500 53 39 112
 2  99 500 54 36 77
 2  99 500 55 82 113
 2  99 500 56 102 71
 2  99 500 57 44 79
 2  99 500 58 103 81
 2  99 500 59 83 78
 2  99 500 60 43 84
 2  99 500 61 104 83
 2  99 500 62 42 86
 2  99 500 63 48 90
 2  99 500 64 51 80
 2  99 500 65 52 85
 2  99 500 66 47 114
 2  99 500 67 105 88
 2  99 500 68 84 91
 2  99 500 69 50 93
 2  99 500 70 106 92
 2  99 500 71 56 100
 2  99 500 72 107 115
 2  99 500 73 49 116
 2  99 500 74 108 95
 2  99 500 75 109 102
 2  99 500 76 110 101
 2  99 500 77 54 17
 2  99 500 78 59 25
 2  99 500 79 57 37
 2  99 500 80 64 19
 2  99 500 81 58 32
 2  99 500 82 111 55
 2  99 500 83 61 59
 2  99 500 84 60 68
 2  99 500 85 65 94
 2  99 500 86 62 98
 2  99 500 87 112  1
 2  99 500 88 67  3
 2  99 500 89 113  6
 2  99 500 90 63  9
 2  99 500 91 68 10
 2  99 500 92 70 12
 2  99 500 93 69 14
 2  99 500 94 85 21
 2  99 500 95 74 29
 2  99 500 96 114 31
 2  99 500 97 115 35
 2  99 500 98 86 38
 2  99 500 99 116 40
 2  99 500 100 71 47
 2  99 500 101 76 49
 2  99 500 102 75 56
 2  99 500 103  7 58
 2  99 500 104  8 61
 2  99 500 105 11 67
 2  99 500 106 33 70
 2  99 500 107 35 72
 2  99 500 108 40 74
 2  99 500 109 41 75
 2  99 500 110 45 76
 2  99 500 111 46 82
 2  99 500 112 53 87
 2  99 500 113 55 89
 2  99 500 114 66 96
 2  99 500 115 72 97
 2  99 500 116 73 99
