METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0    1147.00    1147.00    1147.00    1147.00    1147.00
        1     154.00     157.41     157.89     158.37     158.00
        2      89.00     104.51     111.21     117.91     132.00
        3      56.00      76.29      83.83      91.38     104.00
        4      37.00      56.95      65.13      73.31      91.00
        5      27.00      43.44      51.37      59.31      79.00
        6      19.00      33.13      41.08      49.04      67.00
        7      10.00      25.46      33.27      41.08      63.00
        8       6.00      19.58      27.05      34.51      52.00
        9       6.00      14.98      22.25      29.52      47.00
       10       4.00      11.62      18.51      25.41      42.00
       11       2.00       8.83      15.38      21.93      40.00
       12       1.00       6.63      12.69      18.75      35.00
       13       0.00       4.98      10.71      16.44      35.00
       14       0.00       3.48       8.91      14.33      36.00
       15       0.00       2.52       7.41      12.31      29.00
       16       0.00       1.57       6.20      10.83      29.00
       17       0.00       0.84       5.23       9.61      30.00
       18       0.00       0.23       4.36       8.50      28.00
       19       0.00      -0.09       3.62       7.33      20.00
       20       0.00      -0.39       2.97       6.33      20.00
       21       0.00      -0.60       2.46       5.53      17.00
       22       0.00      -0.80       2.06       4.91      18.00
       23       0.00      -0.95       1.80       4.55      20.00
       24       0.00      -1.03       1.57       4.17      21.00
       25       0.00      -1.01       1.35       3.71      17.00
       26       0.00      -1.05       1.11       3.26      17.00
       27       0.00      -1.07       0.98       3.03      20.00
       28       0.00      -1.07       0.85       2.77      19.00
       29       0.00      -1.09       0.71       2.52      17.00
       30       0.00      -1.04       0.58       2.20      14.00
       31       0.00      -1.02       0.51       2.03      14.00
       32       0.00      -0.94       0.43       1.80      14.00
       33       0.00      -0.90       0.36       1.62      10.00
       34       0.00      -0.91       0.33       1.56      11.00
       35       0.00      -0.82       0.25       1.33      12.00
       36       0.00      -0.69       0.19       1.08       9.00
       37       0.00      -0.61       0.15       0.91       8.00
       38       0.00      -0.60       0.14       0.88       9.00
       39       0.00      -0.62       0.13       0.88      10.00
       40       0.00      -0.55       0.10       0.75       9.00
       41       0.00      -0.54       0.09       0.73      10.00
       42       0.00      -0.49       0.08       0.64       9.00
       43       0.00      -0.35       0.05       0.46       5.00
       44       0.00      -0.34       0.05       0.43       6.00
       45       0.00      -0.32       0.04       0.39       6.00
       46       0.00      -0.23       0.03       0.28       4.00
       47       0.00      -0.23       0.02       0.28       4.00
       48       0.00      -0.24       0.02       0.28       4.00
       49       0.00      -0.24       0.02       0.28       4.00
       50       0.00      -0.26       0.02       0.30       5.00
       51       0.00      -0.24       0.01       0.27       6.00
       52       0.00      -0.18       0.01       0.21       5.00
       53       0.00      -0.09       0.01       0.11       2.00
       54       0.00      -0.09       0.00       0.09       2.00
       55       0.00      -0.12       0.00       0.13       4.00
       56       0.00      -0.12       0.00       0.13       4.00
       57       0.00      -0.15       0.00       0.16       5.00
       58       0.00      -0.09       0.00       0.10       3.00
       59       0.00      -0.06       0.00       0.07       2.00
       60       0.00      -0.09       0.00       0.10       3.00
       61       0.00      -0.15       0.00       0.16       5.00
       62       0.00      -0.15       0.00       0.16       5.00
       63       0.00      -0.15       0.00       0.16       5.00
       64       0.00      -0.12       0.00       0.13       4.00
       65       0.00      -0.12       0.00       0.13       4.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
       73       0.00       0.00       0.00       0.00       0.00
       74       0.00       0.00       0.00       0.00       0.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
