METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......       64.0       90.5       94.7       98.9      100.0
 2 Pop 2.......       51.0       88.0       93.6       99.1      100.0
 3 Pop 3.......       66.0       92.6       96.5      100.4      100.0
 4 Pop 4.......       53.0       83.2       90.1       97.0      100.0
 5 Pop 5.......       78.0       91.1       95.0       98.9       99.0
 6 Pop 6.......       83.0       95.0       97.2       99.4      100.0
 7 Pop 7.......       47.0       83.6       90.6       97.6      100.0
 8 Pop 8.......       65.0       91.6       95.8       99.9      100.0
 9 Pop 9.......       64.0       88.8       94.6      100.3      100.0
10 Pop 10......       66.0       90.3       94.7       99.1       99.0
11 Pop 11......       76.0       93.6       96.7       99.8      100.0
12 Pop 12......       63.0       89.8       94.4       98.9      100.0
13 Pop 13......       49.0       90.6       95.5      100.4      100.0
14 Pop 14......       65.0       89.6       94.1       98.7      100.0
15 Pop 15......       67.0       90.1       94.5       99.0      100.0
16 Pop 16......       66.0       89.3       94.2       99.1      100.0
17 Pop 17......       55.0       88.0       93.5       99.0      100.0
18 Pop 18......       63.0       90.3       94.6       98.9      100.0
19 Pop 19......       53.0       83.7       90.2       96.7      100.0
20 Pop 20......       55.0       89.4       94.4       99.5      100.0
21 Pop 21......       54.0       83.4       90.1       96.9      100.0
22 Pop 22......       61.0       87.3       92.7       98.2      100.0
23 Pop 23......       56.0       88.7       93.8       98.9      100.0
24 Pop 24......       55.0       82.2       89.1       96.1       99.0
25 Pop 25......       53.0       85.5       92.3       99.1      100.0
26 Pop 26......       53.0       82.3       89.2       96.0      100.0
27 Pop 27......       55.0       85.5       92.1       98.7      100.0
28 Pop 28......       57.0       85.6       91.6       97.6      100.0
29 Pop 29......       52.0       81.3       88.6       95.8       99.0
30 Pop 30......       57.0       85.4       91.8       98.1      100.0
31 Pop 31......       58.0       84.3       90.8       97.3      100.0
32 Pop 32......       54.0       82.6       90.0       97.3      100.0
33 Pop 33......       68.0       92.5       96.4      100.3      100.0
34 Pop 34......       53.0       81.1       88.5       95.8       99.0
35 Pop 35......       85.0       95.1       97.3       99.4      100.0
36 Pop 36......       56.0       83.2       89.4       95.7      100.0
37 Pop 37......       58.0       88.4       93.6       98.8      100.0
38 Pop 38......       58.0       88.4       93.5       98.7      100.0
39 Pop 39......       65.0       90.1       94.5       99.0      100.0
40 Pop 40......       83.0       95.1       97.2       99.4      100.0
41 Pop 41......       59.0       88.2       94.0       99.8      100.0
42 Pop 42......       48.0       84.8       91.1       97.3      100.0
43 Pop 43......       56.0       81.6       88.9       96.2       99.0
44 Pop 44......       57.0       92.2       96.0       99.7      100.0
45 Pop 45......       76.0       92.7       96.2       99.7      100.0
46 Pop 46......       53.0       92.5       96.5      100.5      100.0
47 Pop 47......       78.0       91.9       95.4       98.8      100.0
48 Pop 48......       57.0       85.1       91.7       98.2      100.0
49 Pop 49......       59.0       87.5       93.0       98.6      100.0
50 Pop 50......       62.0       90.2       94.8       99.4      100.0
51 Pop 51......       50.0       83.6       89.8       96.0       99.0
52 Pop 52......       64.0       87.4       92.9       98.4      100.0
53 Pop 53......       56.0       83.4       90.4       97.4      100.0
54 Pop 54......       37.0       85.3       92.1       98.9      100.0
55 Pop 55......       56.0       86.1       92.5       99.0      100.0
56 Pop 56......       50.0       87.0       92.5       98.0      100.0
57 Pop 57......       65.0       85.9       91.8       97.7      100.0
58 Pop 58......       61.0       89.9       95.2      100.4      100.0
59 Pop 59......       66.0       92.3       96.1       99.9      100.0
60 Pop 60......       67.0       88.9       94.0       99.2      100.0
61 Pop 61......       67.0       87.2       93.1       99.0      100.0
62 Pop 62......       49.0       88.4       94.3      100.2      100.0
63 Pop 63......       58.0       87.6       92.8       98.0      100.0
64 Pop 64......       40.0       82.7       90.0       97.4       99.0
65 Pop 65......       53.0       87.9       93.1       98.4      100.0
66 Pop 66......       65.0       91.8       95.4       99.0      100.0
67 Pop 67......       66.0       85.7       91.4       97.1       99.0
68 Pop 68......       63.0       91.0       95.6      100.3      100.0
69 Pop 69......       83.0       94.8       97.2       99.6      100.0
70 Pop 70......       72.0       92.1       95.7       99.4      100.0
71 Pop 71......       35.0       82.7       90.0       97.4      100.0
72 Pop 72......       75.0       91.0       95.0       99.0       99.0
73 Pop 73......       66.0       94.1       97.1      100.0      100.0
74 Pop 74......       36.0       90.3       95.0       99.8      100.0
75 Pop 75......       74.0       91.9       95.5       99.2      100.0
76 Pop 76......       35.0       85.1       91.9       98.6      100.0
77 77S10-T1....      100.0      100.0      100.0      100.0      100.0
78 78S24-T1....      100.0      100.0      100.0      100.0      100.0
79 79S24-T1....      100.0      100.0      100.0      100.0      100.0
80 80S26-T1....      100.0      100.0      100.0      100.0      100.0
81 81S26-T1....      100.0      100.0      100.0      100.0      100.0
82 82S38-T1....      100.0      100.0      100.0      100.0      100.0
83 83S39-T1....      100.0      100.0      100.0      100.0      100.0
84 84S52-T1....      100.0      100.0      100.0      100.0      100.0
85 85S67-T1....      100.0      100.0      100.0      100.0      100.0
86 86S69-T1....      100.0      100.0      100.0      100.0      100.0
87 87A1........      100.0      100.0      100.0      100.0      100.0
88 88A1........      100.0      100.0      100.0      100.0      100.0
89 89A1........      100.0      100.0      100.0      100.0      100.0
90 90A1........      100.0      100.0      100.0      100.0      100.0
91 91A1........      100.0      100.0      100.0      100.0      100.0
92 92A1........      100.0      100.0      100.0      100.0      100.0
93 93A1........      100.0      100.0      100.0      100.0      100.0
94 94A1........      100.0      100.0      100.0      100.0      100.0
