METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......        0.0        1.3        4.9        8.6       23.0
 2 Pop 2.......        0.0        1.5        5.4        9.4       30.0
 3 Pop 3.......        0.0        0.5        2.7        4.9       14.0
 4 Pop 4.......        0.0        2.5        6.0        9.4       25.0
 5 Pop 5.......        1.0        1.1        5.0        8.9       22.0
 6 Pop 6.......        0.0        0.6        2.8        4.9       17.0
 7 Pop 7.......        0.0        2.3        6.8       11.2       35.0
 8 Pop 8.......        0.0        0.7        3.2        5.6       17.0
 9 Pop 9.......        0.0        0.7        3.2        5.8       16.0
10 Pop 10......        1.0        1.1        5.0        9.0       27.0
11 Pop 11......        0.0        0.6        2.9        5.2       14.0
12 Pop 12......        0.0        1.2        5.2        9.2       36.0
13 Pop 13......        0.0        0.8        3.4        5.9       23.0
14 Pop 14......        0.0        1.5        4.6        7.8       20.0
15 Pop 15......        0.0        1.4        4.5        7.6       27.0
16 Pop 16......        0.0        1.3        4.5        7.6       21.0
17 Pop 17......        0.0        1.6        5.0        8.3       25.0
18 Pop 18......        0.0        1.4        4.7        8.0       26.0
19 Pop 19......        0.0        3.0        6.2        9.3       22.0
20 Pop 20......        0.0        1.1        3.6        6.0       14.0
21 Pop 21......        0.0        3.0        6.9       10.8       25.0
22 Pop 22......        0.0        1.8        5.7        9.6       35.0
23 Pop 23......        0.0        1.6        4.1        6.5       16.0
24 Pop 24......        1.0        3.8       10.6       17.3       45.0
25 Pop 25......        0.0        1.3        3.8        6.3       17.0
26 Pop 26......        0.0        4.0        9.1       14.2       37.0
27 Pop 27......        0.0        1.7        4.6        7.5       17.0
28 Pop 28......        0.0        2.4        5.7        9.0       28.0
29 Pop 29......        1.0        3.8        9.1       14.5       37.0
30 Pop 30......        0.0        2.0        5.7        9.3       26.0
31 Pop 31......        0.0        2.4        6.6       10.9       37.0
32 Pop 32......        0.0        2.3        5.6        8.9       24.0
33 Pop 33......        0.0        0.6        3.0        5.4       19.0
34 Pop 34......        1.0        3.6        8.6       13.6       37.0
35 Pop 35......        0.0        0.6        2.7        4.8       15.0
36 Pop 36......        0.0        3.6        8.2       12.7       31.0
37 Pop 37......        0.0        1.6        4.4        7.1       17.0
38 Pop 38......        0.0        1.6        5.3        8.9       25.0
39 Pop 39......        0.0        1.2        4.9        8.6       23.0
40 Pop 40......        0.0        0.6        2.7        4.8       17.0
41 Pop 41......        0.0        1.0        3.7        6.4       20.0
42 Pop 42......        0.0        2.7        6.6       10.6       30.0
43 Pop 43......        1.0        3.3        8.8       14.3       39.0
44 Pop 44......        0.0        0.7        3.3        5.8       18.0
45 Pop 45......        0.0        0.7        3.0        5.4       17.0
46 Pop 46......        0.0        0.6        2.7        4.8       15.0
47 Pop 47......        0.0        1.2        4.5        7.8       21.0
48 Pop 48......        0.0        2.1        6.6       11.1       27.0
49 Pop 49......        0.0        1.8        5.6        9.4       34.0
50 Pop 50......        0.0        1.2        3.7        6.3       15.0
51 Pop 51......        1.0        3.8        9.3       14.8       38.0
52 Pop 52......        0.0        1.8        5.5        9.3       25.0
53 Pop 53......        0.0        2.7        7.2       11.8       33.0
54 Pop 54......        0.0        1.8        6.2       10.5       30.0
55 Pop 55......        0.0        1.5        4.2        7.0       17.0
56 Pop 56......        0.0        2.2        5.7        9.1       20.0
57 Pop 57......        0.0        2.1        5.7        9.3       23.0
58 Pop 58......        0.0        0.7        3.1        5.4       16.0
59 Pop 59......        0.0        0.7        3.1        5.6       18.0
60 Pop 60......        0.0        1.2        4.8        8.5       22.0
61 Pop 61......        0.0        1.1        4.1        7.1       24.0
62 Pop 62......        0.0        1.0        3.6        6.3       18.0
63 Pop 63......        0.0        2.0        5.6        9.2       25.0
64 Pop 64......        1.0        2.6        8.7       14.9       59.0
65 Pop 65......        0.0        1.6        5.4        9.1       43.0
66 Pop 66......        0.0        1.1        4.5        7.9       23.0
67 Pop 67......        1.0        2.8        8.4       13.9       34.0
68 Pop 68......        0.0        0.7        2.8        4.9       18.0
69 Pop 69......        0.0        0.5        2.7        5.0       17.0
70 Pop 70......        0.0        0.9        3.3        5.8       18.0
71 Pop 71......        0.0        2.7        7.7       12.6       36.0
72 Pop 72......        1.0        1.0        4.9        8.8       25.0
73 Pop 73......        0.0        0.5        2.5        4.6       18.0
74 Pop 74......        0.0        1.0        4.4        7.8       21.0
75 Pop 75......        0.0        0.8        4.3        7.8       25.0
76 Pop 76......        0.0        1.8        6.4       11.0       36.0
77 77S10-T1....        0.0        0.0        0.0        0.0        0.0
78 78S24-T1....        0.0        0.0        0.0        0.0        0.0
79 79S24-T1....        0.0        0.0        0.0        0.0        0.0
80 80S26-T1....        0.0        0.0        0.0        0.0        0.0
81 81S26-T1....        0.0        0.0        0.0        0.0        0.0
82 82S38-T1....        0.0        0.0        0.0        0.0        0.0
83 83S39-T1....        0.0        0.0        0.0        0.0        0.0
84 84S52-T1....        0.0        0.0        0.0        0.0        0.0
85 85S67-T1....        0.0        0.0        0.0        0.0        0.0
86 86S69-T1....        0.0        0.0        0.0        0.0        0.0
87 87A1........        0.0        0.0        0.0        0.0        0.0
88 88A1........        0.0        0.0        0.0        0.0        0.0
89 89A1........        0.0        0.0        0.0        0.0        0.0
90 90A1........        0.0        0.0        0.0        0.0        0.0
91 91A1........        0.0        0.0        0.0        0.0        0.0
92 92A1........        0.0        0.0        0.0        0.0        0.0
93 93A1........        0.0        0.0        0.0        0.0        0.0
94 94A1........        0.0        0.0        0.0        0.0        0.0
95 95A1........        0.0        0.0        0.0        0.0        0.0
96 96A1........        0.0        0.0        0.0        0.0        0.0
97 97A1........        0.0        0.0        0.0        0.0        0.0
98 98A1........        0.0        0.0        0.0        0.0        0.0
99 99A1........        0.0        0.0        0.0        0.0        0.0
100 100A1.......        0.0        0.0        0.0        0.0        0.0
101 101A1.......        0.0        0.0        0.0        0.0        0.0
102 102A1.......        0.0        0.0        0.0        0.0        0.0
103 103A1.......        0.0        0.0        0.0        0.0        0.0
104 104A1.......        0.0        0.0        0.0        0.0        0.0
105 105A1.......        0.0        0.0        0.0        0.0        0.0
106 106A1.......        0.0        0.0        0.0        0.0        0.0
107 107A1.......        0.0        0.0        0.0        0.0        0.0
108 108A1.......        0.0        0.0        0.0        0.0        0.0
109 109A1.......        0.0        0.0        0.0        0.0        0.0
110 110A1.......        0.0        0.0        0.0        0.0        0.0
111 111A1.......        0.0        0.0        0.0        0.0        0.0
112 112A1.......        0.0        0.0        0.0        0.0        0.0
113 113A1.......        0.0        0.0        0.0        0.0        0.0
114 114A1.......        0.0        0.0        0.0        0.0        0.0
115 115A1.......        0.0        0.0        0.0        0.0        0.0
116 116A1.......        0.0        0.0        0.0        0.0        0.0
