METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       76.0       76.0       76.0       76.0       76.0
        1       66.0       71.0       72.6       74.3       76.0
        2       48.0       55.2       58.4       61.7       67.0
        3       33.0       42.9       46.7       50.6       58.0
        4       25.0       33.6       37.6       41.6       49.0
        5       19.0       26.2       30.4       34.5       43.0
        6       12.0       20.5       24.7       28.8       41.0
        7        9.0       16.0       20.1       24.3       35.0
        8        5.0       12.4       16.5       20.5       29.0
        9        3.0        9.6       13.5       17.4       27.0
       10        2.0        7.5       11.2       15.0       25.0
       11        1.0        5.8        9.3       12.8       21.0
       12        1.0        4.5        7.8       11.2       20.0
       13        0.0        3.4        6.6        9.7       17.0
       14        0.0        2.6        5.5        8.4       16.0
       15        0.0        1.9        4.6        7.3       16.0
       16        0.0        1.3        3.8        6.4       14.0
       17        0.0        0.9        3.2        5.6       13.0
       18        0.0        0.4        2.7        5.0       13.0
       19        0.0        0.1        2.2        4.4       12.0
       20        0.0       -0.1        1.8        3.7       10.0
       21        0.0       -0.2        1.5        3.3       10.0
       22        0.0       -0.4        1.3        2.9       11.0
       23        0.0       -0.4        1.1        2.6        9.0
       24        0.0       -0.5        0.9        2.4       11.0
       25        0.0       -0.5        0.8        2.1        8.0
       26        0.0       -0.5        0.7        1.9        9.0
       27        0.0       -0.6        0.6        1.7       10.0
       28        0.0       -0.6        0.5        1.6        8.0
       29        0.0       -0.6        0.4        1.4        8.0
       30        0.0       -0.6        0.4        1.3        8.0
       31        0.0       -0.5        0.3        1.1        7.0
       32        0.0       -0.6        0.3        1.1        7.0
       33        0.0       -0.5        0.2        1.0        7.0
       34        0.0       -0.5        0.2        0.9        5.0
       35        0.0       -0.5        0.2        0.8        5.0
       36        0.0       -0.4        0.1        0.7        6.0
       37        0.0       -0.4        0.1        0.6        5.0
       38        0.0       -0.4        0.1        0.5        5.0
       39        0.0       -0.4        0.1        0.5        6.0
       40        0.0       -0.3        0.1        0.4        6.0
       41        0.0       -0.3        0.1        0.4        5.0
       42        0.0       -0.3        0.0        0.4        4.0
       43        0.0       -0.2        0.0        0.3        3.0
       44        0.0       -0.2        0.0        0.3        5.0
       45        0.0       -0.2        0.0        0.2        4.0
       46        0.0       -0.2        0.0        0.2        4.0
       47        0.0       -0.2        0.0        0.2        3.0
       48        0.0       -0.2        0.0        0.2        3.0
       49        0.0       -0.1        0.0        0.2        2.0
       50        0.0       -0.1        0.0        0.2        3.0
       51        0.0       -0.1        0.0        0.1        3.0
       52        0.0       -0.1        0.0        0.1        3.0
       53        0.0       -0.1        0.0        0.1        2.0
       54        0.0       -0.1        0.0        0.1        2.0
       55        0.0       -0.1        0.0        0.1        2.0
       56        0.0       -0.1        0.0        0.1        2.0
       57        0.0       -0.1        0.0        0.1        2.0
       58        0.0       -0.1        0.0        0.1        3.0
       59        0.0       -0.1        0.0        0.1        2.0
       60        0.0       -0.1        0.0        0.1        2.0
       61        0.0       -0.1        0.0        0.1        2.0
       62        0.0       -0.1        0.0        0.1        3.0
       63        0.0       -0.1        0.0        0.1        3.0
       64        0.0       -0.1        0.0        0.1        4.0
       65        0.0       -0.1        0.0        0.1        4.0
       66        0.0        0.0        0.0        0.0        0.0
       67        0.0        0.0        0.0        0.0        0.0
       68        0.0        0.0        0.0        0.0        0.0
       69        0.0        0.0        0.0        0.0        0.0
       70        0.0        0.0        0.0        0.0        0.0
       71        0.0        0.0        0.0        0.0        0.0
       72        0.0        0.0        0.0        0.0        0.0
       73        0.0        0.0        0.0        0.0        0.0
       74        0.0        0.0        0.0        0.0        0.0
       75        0.0        0.0        0.0        0.0        0.0
       76        0.0        0.0        0.0        0.0        0.0
       77        0.0        0.0        0.0        0.0        0.0
       78        0.0        0.0        0.0        0.0        0.0
       79        0.0        0.0        0.0        0.0        0.0
       80        0.0        0.0        0.0        0.0        0.0
       81        0.0        0.0        0.0        0.0        0.0
       82        0.0        0.0        0.0        0.0        0.0
       83        0.0        0.0        0.0        0.0        0.0
       84        0.0        0.0        0.0        0.0        0.0
       85        0.0        0.0        0.0        0.0        0.0
       86        0.0        0.0        0.0        0.0        0.0
       87        0.0        0.0        0.0        0.0        0.0
       88        0.0        0.0        0.0        0.0        0.0
       89        0.0        0.0        0.0        0.0        0.0
       90        0.0        0.0        0.0        0.0        0.0
       91        0.0        0.0        0.0        0.0        0.0
       92        0.0        0.0        0.0        0.0        0.0
       93        0.0        0.0        0.0        0.0        0.0
       94        0.0        0.0        0.0        0.0        0.0
       95        0.0        0.0        0.0        0.0        0.0
       96        0.0        0.0        0.0        0.0        0.0
       97        0.0        0.0        0.0        0.0        0.0
       98        0.0        0.0        0.0        0.0        0.0
       99        0.0        0.0        0.0        0.0        0.0
      100        0.0        0.0        0.0        0.0        0.0
