METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to extinction (Threshold level = 0.0)

Median time = 22.8 timestep(s)

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0000          0.0000          0.0000   0.0280
         8       0.0000          0.0000          0.0000   0.0280
        10       0.0000          0.0000          0.0000   0.0280
        12       0.0000          0.0000          0.0000   0.0280
        14       0.0200          0.0200          0.0000   0.0480
        16       0.0440          0.0640          0.0360   0.0920
        18       0.1210          0.1850          0.1570   0.2130
        20       0.1360          0.3210          0.2930   0.3490
        22       0.1320          0.4530          0.4250   0.4810
        24       0.1210          0.5740          0.5460   0.6020
        26       0.1000          0.6740          0.6460   0.7020
        28       0.0760          0.7500          0.7220   0.7780
        30       0.0650          0.8150          0.7870   0.8430
        32       0.0400          0.8550          0.8270   0.8830
        34       0.0420          0.8970          0.8690   0.9250
        36       0.0360          0.9330          0.9050   0.9610
        38       0.0200          0.9530          0.9250   0.9810
        40       0.0100          0.9630          0.9350   0.9910
        42       0.0100          0.9730          0.9450   1.0000
        44       0.0090          0.9820          0.9540   1.0000
        46       0.0060          0.9880          0.9600   1.0000
        48       0.0030          0.9910          0.9630   1.0000
        50       0.0030          0.9940          0.9660   1.0000
        52       0.0010          0.9950          0.9670   1.0000
        54       0.0030          0.9980          0.9700   1.0000
        56       0.0010          0.9990          0.9710   1.0000
        58       0.0000          0.9990          0.9710   1.0000
        60       0.0000          0.9990          0.9710   1.0000
        62       0.0000          0.9990          0.9710   1.0000
        64       0.0000          0.9990          0.9710   1.0000
        66       0.0010          1.0000          0.9720   1.0000
        68       0.0000          1.0000          0.9720   1.0000
        70       0.0000          1.0000          0.9720   1.0000
        72       0.0000          1.0000          0.9720   1.0000
        74       0.0000          1.0000          0.9720   1.0000
        76       0.0000          1.0000          0.9720   1.0000
        78       0.0000          1.0000          0.9720   1.0000
        80       0.0000          1.0000          0.9720   1.0000
        82       0.0000          1.0000          0.9720   1.0000
        84       0.0000          1.0000          0.9720   1.0000
        86       0.0000          1.0000          0.9720   1.0000
        88       0.0000          1.0000          0.9720   1.0000
        90       0.0000          1.0000          0.9720   1.0000
        92       0.0000          1.0000          0.9720   1.0000
        94       0.0000          1.0000          0.9720   1.0000
        96       0.0000          1.0000          0.9720   1.0000
        98       0.0000          1.0000          0.9720   1.0000
       100       0.0000          1.0000          0.9720   1.0000
