METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       35.0       35.0       35.0       35.0       35.0
        1       28.0       31.4       32.7       34.0       35.0
        2       25.0       29.5       31.1       32.7       35.0
        3       24.0       28.2       29.9       31.7       34.0
        4       21.0       27.1       28.9       30.8       34.0
        5       21.0       26.2       28.1       30.0       33.0
        6       21.0       25.4       27.3       29.3       33.0
        7       21.0       24.6       26.6       28.6       33.0
        8       20.0       24.0       26.0       28.0       33.0
        9       20.0       23.4       25.4       27.4       30.0
       10       19.0       22.8       24.8       26.8       30.0
       11       18.0       22.4       24.4       26.4       30.0
       12       17.0       21.9       23.9       25.9       30.0
       13       17.0       21.6       23.5       25.5       30.0
       14       16.0       21.2       23.2       25.1       30.0
       15       15.0       20.9       22.8       24.8       30.0
       16       15.0       20.6       22.5       24.4       30.0
       17       14.0       20.3       22.2       24.1       30.0
       18       14.0       20.1       21.9       23.8       28.0
       19       13.0       19.8       21.7       23.5       28.0
       20       13.0       19.6       21.4       23.3       27.0
       21       13.0       19.4       21.2       23.0       27.0
       22       13.0       19.3       21.0       22.8       27.0
       23       13.0       19.0       20.8       22.5       27.0
       24       13.0       18.8       20.6       22.3       27.0
       25       13.0       18.7       20.4       22.1       27.0
       26       13.0       18.5       20.2       21.9       27.0
       27       13.0       18.4       20.0       21.7       27.0
       28       13.0       18.2       19.9       21.6       26.0
       29       13.0       18.0       19.7       21.4       26.0
       30       13.0       17.9       19.6       21.2       26.0
       31       13.0       17.8       19.4       21.1       25.0
       32       13.0       17.7       19.3       20.9       25.0
       33       13.0       17.6       19.2       20.8       25.0
       34       13.0       17.4       19.0       20.6       24.0
       35       13.0       17.3       18.9       20.5       24.0
       36       13.0       17.2       18.8       20.4       24.0
       37       13.0       17.1       18.7       20.3       24.0
       38       13.0       17.0       18.6       20.2       24.0
       39       13.0       16.9       18.5       20.1       23.0
       40       13.0       16.8       18.4       20.0       23.0
       41       13.0       16.7       18.3       19.9       23.0
       42       13.0       16.6       18.2       19.8       23.0
       43       13.0       16.5       18.1       19.6       23.0
       44       13.0       16.4       18.0       19.5       23.0
       45       13.0       16.3       17.9       19.5       23.0
       46       13.0       16.3       17.8       19.4       23.0
       47       13.0       16.2       17.7       19.3       23.0
       48       13.0       16.1       17.7       19.2       23.0
       49       13.0       16.1       17.6       19.2       23.0
       50       12.0       16.0       17.5       19.1       23.0
       51       12.0       15.9       17.5       19.0       23.0
       52       11.0       15.9       17.4       19.0       23.0
       53       11.0       15.8       17.3       18.9       23.0
       54       11.0       15.8       17.3       18.8       23.0
       55       11.0       15.7       17.2       18.8       23.0
       56       11.0       15.6       17.2       18.7       23.0
       57       11.0       15.6       17.1       18.6       23.0
       58       11.0       15.6       17.1       18.6       23.0
       59       11.0       15.5       17.0       18.5       23.0
       60       11.0       15.5       16.9       18.4       23.0
       61       11.0       15.4       16.9       18.4       22.0
       62       11.0       15.4       16.8       18.3       22.0
       63       11.0       15.3       16.8       18.2       22.0
       64       11.0       15.3       16.7       18.2       22.0
       65       11.0       15.2       16.7       18.1       22.0
       66       11.0       15.2       16.6       18.0       22.0
       67       11.0       15.1       16.6       18.0       22.0
       68       11.0       15.1       16.5       17.9       22.0
       69       11.0       15.0       16.5       17.9       22.0
       70       11.0       15.0       16.4       17.9       22.0
       71       11.0       15.0       16.4       17.8       22.0
       72       11.0       14.9       16.3       17.8       21.0
       73       11.0       14.9       16.3       17.7       21.0
       74       11.0       14.8       16.3       17.7       21.0
       75       11.0       14.8       16.2       17.6       21.0
       76       11.0       14.7       16.2       17.6       21.0
       77       11.0       14.7       16.1       17.5       21.0
       78       11.0       14.7       16.1       17.5       21.0
       79       11.0       14.6       16.0       17.4       21.0
       80       11.0       14.6       16.0       17.4       21.0
       81       11.0       14.6       16.0       17.4       21.0
       82       11.0       14.5       15.9       17.3       21.0
       83       11.0       14.5       15.9       17.3       21.0
       84       11.0       14.5       15.9       17.2       21.0
       85       11.0       14.4       15.8       17.2       21.0
       86       11.0       14.4       15.8       17.2       21.0
       87       11.0       14.3       15.7       17.1       20.0
       88       11.0       14.3       15.7       17.1       20.0
       89       11.0       14.3       15.7       17.1       20.0
       90       11.0       14.2       15.6       17.0       20.0
       91       11.0       14.2       15.6       17.0       20.0
       92       11.0       14.2       15.6       16.9       20.0
       93       11.0       14.1       15.5       16.9       20.0
       94       11.0       14.1       15.5       16.9       20.0
       95       11.0       14.1       15.5       16.9       20.0
       96       11.0       14.0       15.4       16.8       19.0
       97       11.0       14.0       15.4       16.8       19.0
       98       11.0       14.0       15.4       16.8       19.0
       99       11.0       14.0       15.3       16.7       19.0
      100       11.0       13.9       15.3       16.7       19.0
