METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal percent decline

Percent decline  Probability     95% confidence interval
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0030          0.0000   0.0310
         0       0.0030          0.0000   0.0310
         0       0.0030          0.0000   0.0310
         0       0.0030          0.0000   0.0310
         0       0.0030          0.0000   0.0310
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0050          0.0000   0.0330
         0       0.0050          0.0000   0.0330
         0       0.0070          0.0000   0.0350
         0       0.0080          0.0000   0.0360
         0       0.0090          0.0000   0.0370
         0       0.0090          0.0000   0.0370
         0       0.0090          0.0000   0.0370
         0       0.0120          0.0000   0.0400
         0       0.0120          0.0000   0.0400
         0       0.0130          0.0000   0.0410
         0       0.0140          0.0000   0.0420
         0       0.0150          0.0000   0.0430
         0       0.0160          0.0000   0.0440
         0       0.0160          0.0000   0.0440
         0       0.0160          0.0000   0.0440
         0       0.0190          0.0000   0.0470
         0       0.0200          0.0000   0.0480
         0       0.0230          0.0000   0.0510
         0       0.0250          0.0000   0.0530
         0       0.0270          0.0000   0.0550
         0       0.0270          0.0000   0.0550
         0       0.0310          0.0030   0.0590
         0       0.0340          0.0060   0.0620
         0       0.0350          0.0070   0.0630
         0       0.0370          0.0090   0.0650
         0       0.0410          0.0130   0.0690
         0       0.0430          0.0150   0.0710
         0       0.0460          0.0180   0.0740
         0       0.0490          0.0210   0.0770
         0       0.0520          0.0240   0.0800
         0       0.0560          0.0280   0.0840
         0       0.0570          0.0290   0.0850
         0       0.0580          0.0300   0.0860
         0       0.0620          0.0340   0.0900
         0       0.0640          0.0360   0.0920
         0       0.0700          0.0420   0.0980
         0       0.0760          0.0480   0.1040
         0       0.0820          0.0540   0.1100
         0       0.0850          0.0570   0.1130
         0       0.0920          0.0640   0.1200
         0       0.1000          0.0720   0.1280
         0       0.1060          0.0780   0.1340
         0       0.1150          0.0870   0.1430
         0       0.1200          0.0920   0.1480
         0       0.1270          0.0990   0.1550
         0       0.1340          0.1060   0.1620
         0       0.1400          0.1120   0.1680
         0       0.1440          0.1160   0.1720
         0       0.1500          0.1220   0.1780
         0       0.1570          0.1290   0.1850
         0       0.1690          0.1410   0.1970
         0       0.1760          0.1480   0.2040
         0       0.1840          0.1560   0.2120
         0       0.1910          0.1630   0.2190
         0       0.2020          0.1740   0.2300
         0       0.2110          0.1830   0.2390
         0       0.2220          0.1940   0.2500
         0       0.2290          0.2010   0.2570
         0       0.2350          0.2070   0.2630
         0       0.2400          0.2120   0.2680
         0       0.2510          0.2230   0.2790
         0       0.2600          0.2320   0.2880
         0       0.2740          0.2460   0.3020
         0       0.2860          0.2580   0.3140
         0       0.2970          0.2690   0.3250
         0       0.3080          0.2800   0.3360
         0       0.3210          0.2930   0.3490
         0       0.3250          0.2970   0.3530
         0       0.3350          0.3070   0.3630
         0       0.3500          0.3220   0.3780
         0       0.3640          0.3360   0.3920
         0       0.3760          0.3480   0.4040
         0       0.3890          0.3610   0.4170
         0       0.4110          0.3830   0.4390
         0       0.4230          0.3950   0.4510
         0       0.4410          0.4130   0.4690
         0       0.4570          0.4290   0.4850
         0       0.4640          0.4360   0.4920
         0       0.4740          0.4460   0.5020
         0       0.4890          0.4610   0.5170
         0       0.5040          0.4760   0.5320
         0       0.5140          0.4860   0.5420
         0       0.5290          0.5010   0.5570
         0       0.5400          0.5120   0.5680
         0       0.5550          0.5270   0.5830
         0       0.5660          0.5380   0.5940
         0       0.5800          0.5520   0.6080
         0       0.5890          0.5610   0.6170
         0       0.6040          0.5760   0.6320
         0       0.6110          0.5830   0.6390
         0       0.6220          0.5940   0.6500
         0       0.6330          0.6050   0.6610
         0       0.6470          0.6190   0.6750
         0       0.6570          0.6290   0.6850
         0       0.6660          0.6380   0.6940
         0       0.6760          0.6480   0.7040
         0       0.6930          0.6650   0.7210
         0       0.7060          0.6780   0.7340
         0       0.7140          0.6860   0.7420
         0       0.7250          0.6970   0.7530
         0       0.7330          0.7050   0.7610
         0       0.7410          0.7130   0.7690
         0       0.7510          0.7230   0.7790
         0       0.7560          0.7280   0.7840
         0       0.7670          0.7390   0.7950
         0       0.7760          0.7480   0.8040
         0       0.7900          0.7620   0.8180
         0       0.8070          0.7790   0.8350
         0       0.8180          0.7900   0.8460
         0       0.8310          0.8030   0.8590
         0       0.8340          0.8060   0.8620
         0       0.8440          0.8160   0.8720
         0       0.8530          0.8250   0.8810
         0       0.8660          0.8380   0.8940
         0       0.8770          0.8490   0.9050
         0       0.8850          0.8570   0.9130
         0       0.8890          0.8610   0.9170
         0       0.8960          0.8680   0.9240
         0       0.9020          0.8740   0.9300
         0       0.9070          0.8790   0.9350
         0       0.9100          0.8820   0.9380
         0       0.9150          0.8870   0.9430
         0       0.9200          0.8920   0.9480
         0       0.9230          0.8950   0.9510
         0       0.9270          0.8990   0.9550
         0       0.9340          0.9060   0.9620
         0       0.9360          0.9080   0.9640
         0       0.9380          0.9100   0.9660
         0       0.9450          0.9170   0.9730
         0       0.9490          0.9210   0.9770
         0       0.9560          0.9280   0.9840
         0       0.9560          0.9280   0.9840
         0       0.9580          0.9300   0.9860
         0       0.9580          0.9300   0.9860
         0       0.9610          0.9330   0.9890
         0       0.9620          0.9340   0.9900
         0       0.9660          0.9380   0.9940
         0       0.9710          0.9430   0.9990
         0       0.9740          0.9460   1.0000
         0       0.9740          0.9460   1.0000
