C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\iter865\Z20_865.mp
2
1 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\iter865\B20.ptc
2 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\iter865\X20_865.ptc
iter Fyear Lyear patch new2old old2new
 1   0   8  1  0  0
 1   0   8  2  0  0
 1   0   8  3  0  0
 1   0   8  4  0  0
 1   0   8  5  0  0
 1   0   8  6  0  0
 1   0   8  7  0  0
 1   0   8  8  0  0
 1   0   8  9  0  0
 1   0   8 10  0  0
 1   0   8 11  0  0
 1   0   8 12  0  0
 1   0   8 13  0  0
 1   0   8 14  0  0
 1   0   8 15  0  0
 1   0   8 16  0  0
 1   0   8 17  0  0
 1   0   8 18  0  0
 1   0   8 19  0  0
 1   0   8 20  0  0
 1   0   8 21  0  0
 1   0   8 22  0  0
 1   0   8 23  0  0
 1   0   8 24  0  0
 1   0   8 25  0  0
 1   0   8 26  0  0
 1   0   8 27  0  0
 1   0   8 28  0  0
 1   0   8 29  0  0
 1   0   8 30  0  0
 1   0   8 31  0  0
 1   0   8 32  0  0
 1   0   8 33  0  0
 1   0   8 34  0  0
 1   0   8 35  0  0
 2   9 500  1 36  9
 2   9 500  2 37  3
 2   9 500  3  2 44
 2   9 500  4  4  4
 2   9 500  5  5  5
 2   9 500  6 42  7
 2   9 500  7  6 45
 2   9 500  8 38 11
 2   9 500  9  1 13
 2   9 500 10 41 46
 2   9 500 11  8 12
 2   9 500 12 11 23
 2   9 500 13  9 17
 2   9 500 14 43 47
 2   9 500 15 44 19
 2   9 500 16 45 21
 2   9 500 17 13 25
 2   9 500 18 39 29
 2   9 500 19 15 32
 2   9 500 20 50 31
 2   9 500 21 16 48
 2   9 500 22 40 33
 2   9 500 23 12 37
 2   9 500 24 46 35
 2   9 500 25 17 36
 2   9 500 26 47 38
 2   9 500 27 48 39
 2   9 500 28 51 40
 2   9 500 29 18 49
 2   9 500 30 49 50
 2   9 500 31 20 51
 2   9 500 32 19 41
 2   9 500 33 22 42
 2   9 500 34 52 43
 2   9 500 35 24 52
 2   9 500 36 25  1
 2   9 500 37 23  2
 2   9 500 38 26  8
 2   9 500 39 27 18
 2   9 500 40 28 22
 2   9 500 41 32 10
 2   9 500 42 33  6
 2   9 500 43 34 14
 2   9 500 44  3 15
 2   9 500 45  7 16
 2   9 500 46 10 24
 2   9 500 47 14 26
 2   9 500 48 21 27
 2   9 500 49 29 30
 2   9 500 50 30 20
 2   9 500 51 31 28
 2   9 500 52 35 34
