METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval extinction risk

Expected minimum abundance = 135.2

 Threshold  Probability     95% confidence interval
        83       0.0020          0.0000   0.0300
        84       0.0020          0.0000   0.0300
        85       0.0030          0.0000   0.0310
        86       0.0040          0.0000   0.0320
        87       0.0040          0.0000   0.0320
        88       0.0070          0.0000   0.0350
        89       0.0080          0.0000   0.0360
        90       0.0100          0.0000   0.0380
        91       0.0100          0.0000   0.0380
        92       0.0100          0.0000   0.0380
        93       0.0110          0.0000   0.0390
        94       0.0120          0.0000   0.0400
        95       0.0130          0.0000   0.0410
        96       0.0140          0.0000   0.0420
        97       0.0140          0.0000   0.0420
        98       0.0170          0.0000   0.0450
        99       0.0180          0.0000   0.0460
       100       0.0190          0.0000   0.0470
       101       0.0250          0.0000   0.0530
       102       0.0270          0.0000   0.0550
       103       0.0320          0.0040   0.0600
       104       0.0340          0.0060   0.0620
       105       0.0410          0.0130   0.0690
       106       0.0480          0.0200   0.0760
       107       0.0500          0.0220   0.0780
       108       0.0560          0.0280   0.0840
       109       0.0580          0.0300   0.0860
       110       0.0640          0.0360   0.0920
       111       0.0750          0.0470   0.1030
       112       0.0780          0.0500   0.1060
       113       0.0850          0.0570   0.1130
       114       0.0890          0.0610   0.1170
       115       0.1050          0.0770   0.1330
       116       0.1170          0.0890   0.1450
       117       0.1310          0.1030   0.1590
       118       0.1430          0.1150   0.1710
       119       0.1540          0.1260   0.1820
       120       0.1690          0.1410   0.1970
       121       0.1910          0.1630   0.2190
       122       0.2120          0.1840   0.2400
       123       0.2270          0.1990   0.2550
       124       0.2410          0.2130   0.2690
       125       0.2540          0.2260   0.2820
       126       0.2760          0.2480   0.3040
       127       0.3030          0.2750   0.3310
       128       0.3250          0.2970   0.3530
       129       0.3450          0.3170   0.3730
       130       0.3680          0.3400   0.3960
       131       0.3890          0.3610   0.4170
       132       0.4130          0.3850   0.4410
       133       0.4340          0.4060   0.4620
       134       0.4550          0.4270   0.4830
       135       0.4830          0.4550   0.5110
       136       0.5070          0.4790   0.5350
       137       0.5320          0.5040   0.5600
       138       0.5590          0.5310   0.5870
       139       0.5820          0.5540   0.6100
       140       0.6080          0.5800   0.6360
       141       0.6320          0.6040   0.6600
       142       0.6620          0.6340   0.6900
       143       0.6880          0.6600   0.7160
       144       0.7120          0.6840   0.7400
       145       0.7300          0.7020   0.7580
       146       0.7580          0.7300   0.7860
       147       0.7800          0.7520   0.8080
       148       0.7960          0.7680   0.8240
       149       0.8160          0.7880   0.8440
       150       0.8340          0.8060   0.8620
       151       0.8470          0.8190   0.8750
       152       0.8690          0.8410   0.8970
       153       0.8800          0.8520   0.9080
       154       0.8980          0.8700   0.9260
       155       0.9070          0.8790   0.9350
       156       0.9230          0.8950   0.9510
       157       0.9370          0.9090   0.9650
       158       0.9410          0.9130   0.9690
       159       0.9490          0.9210   0.9770
       160       0.9550          0.9270   0.9830
       161       0.9610          0.9330   0.9890
       162       0.9700          0.9420   0.9980
       163       0.9730          0.9450   1.0000
       164       0.9760          0.9480   1.0000
       165       0.9790          0.9510   1.0000
       166       0.9840          0.9560   1.0000
       167       0.9890          0.9610   1.0000
       168       0.9910          0.9630   1.0000
       169       0.9910          0.9630   1.0000
       170       0.9930          0.9650   1.0000
       171       0.9950          0.9670   1.0000
       172       0.9970          0.9690   1.0000
       173       0.9970          0.9690   1.0000
       174       0.9980          0.9700   1.0000
       175       0.9980          0.9700   1.0000
       176       0.9980          0.9700   1.0000
       177       0.9990          0.9710   1.0000
       178       1.0000          0.9720   1.0000
