METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval percent decline

Percent decline  Probability     95% confidence interval
        70       0.0020          0.0000   0.0300
        70       0.0020          0.0000   0.0300
        69       0.0030          0.0000   0.0310
        69       0.0040          0.0000   0.0320
        69       0.0040          0.0000   0.0320
        68       0.0070          0.0000   0.0350
        68       0.0080          0.0000   0.0360
        68       0.0100          0.0000   0.0380
        67       0.0100          0.0000   0.0380
        67       0.0100          0.0000   0.0380
        67       0.0110          0.0000   0.0390
        66       0.0120          0.0000   0.0400
        66       0.0130          0.0000   0.0410
        65       0.0140          0.0000   0.0420
        65       0.0140          0.0000   0.0420
        65       0.0170          0.0000   0.0450
        64       0.0180          0.0000   0.0460
        64       0.0190          0.0000   0.0470
        64       0.0250          0.0000   0.0530
        63       0.0270          0.0000   0.0550
        63       0.0320          0.0040   0.0600
        63       0.0340          0.0060   0.0620
        62       0.0410          0.0130   0.0690
        62       0.0480          0.0200   0.0760
        62       0.0500          0.0220   0.0780
        61       0.0560          0.0280   0.0840
        61       0.0580          0.0300   0.0860
        60       0.0640          0.0360   0.0920
        60       0.0750          0.0470   0.1030
        60       0.0780          0.0500   0.1060
        59       0.0850          0.0570   0.1130
        59       0.0890          0.0610   0.1170
        59       0.1050          0.0770   0.1330
        58       0.1170          0.0890   0.1450
        58       0.1310          0.1030   0.1590
        58       0.1430          0.1150   0.1710
        57       0.1540          0.1260   0.1820
        57       0.1690          0.1410   0.1970
        56       0.1910          0.1630   0.2190
        56       0.2120          0.1840   0.2400
        56       0.2270          0.1990   0.2550
        55       0.2410          0.2130   0.2690
        55       0.2540          0.2260   0.2820
        55       0.2760          0.2480   0.3040
        54       0.3030          0.2750   0.3310
        54       0.3250          0.2970   0.3530
        54       0.3450          0.3170   0.3730
        53       0.3680          0.3400   0.3960
        53       0.3890          0.3610   0.4170
        53       0.4130          0.3850   0.4410
        52       0.4340          0.4060   0.4620
        52       0.4550          0.4270   0.4830
        51       0.4830          0.4550   0.5110
        51       0.5070          0.4790   0.5350
        51       0.5320          0.5040   0.5600
        50       0.5590          0.5310   0.5870
        50       0.5820          0.5540   0.6100
        50       0.6080          0.5800   0.6360
        49       0.6320          0.6040   0.6600
        49       0.6620          0.6340   0.6900
        49       0.6880          0.6600   0.7160
        48       0.7120          0.6840   0.7400
        48       0.7300          0.7020   0.7580
        47       0.7580          0.7300   0.7860
        47       0.7800          0.7520   0.8080
        47       0.7960          0.7680   0.8240
        46       0.8160          0.7880   0.8440
        46       0.8340          0.8060   0.8620
        46       0.8470          0.8190   0.8750
        45       0.8690          0.8410   0.8970
        45       0.8800          0.8520   0.9080
        45       0.8980          0.8700   0.9260
        44       0.9070          0.8790   0.9350
        44       0.9230          0.8950   0.9510
        44       0.9370          0.9090   0.9650
        43       0.9410          0.9130   0.9690
        43       0.9490          0.9210   0.9770
        42       0.9550          0.9270   0.9830
        42       0.9610          0.9330   0.9890
        42       0.9700          0.9420   0.9980
        41       0.9730          0.9450   1.0000
        41       0.9760          0.9480   1.0000
        41       0.9790          0.9510   1.0000
        40       0.9840          0.9560   1.0000
        40       0.9890          0.9610   1.0000
        40       0.9910          0.9630   1.0000
        39       0.9910          0.9630   1.0000
        39       0.9930          0.9650   1.0000
        38       0.9950          0.9670   1.0000
        38       0.9970          0.9690   1.0000
        38       0.9970          0.9690   1.0000
        37       0.9980          0.9700   1.0000
        37       0.9980          0.9700   1.0000
        37       0.9980          0.9700   1.0000
        36       0.9990          0.9710   1.0000
        36       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
