METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......       18.0       92.1       99.2      106.3      100.0
 2 Pop 2.......        5.0        9.7       18.7       27.6       96.0
 3 Pop 3.......        0.0        0.3        3.9        7.5        9.0
 4 Pop 4.......        2.0       10.7       25.6       40.5      100.0
 5 Pop 5.......        0.0       23.2       60.0       96.8      100.0
 6 Pop 6.......        2.0       55.7       84.1      112.5      100.0
 7 Pop 7.......        0.0        1.7        5.1        8.6        9.0
 8 Pop 8.......        2.0       86.7       98.1      109.5      100.0
 9 Pop 9.......       11.0       79.3       95.1      111.0      100.0
10 Pop 10......        0.0        0.3        4.0        7.7        9.0
11 Pop 11......        0.0       -2.7        6.0       14.7       61.0
12 Pop 12......       16.0       80.9       95.9      110.9      100.0
13 Pop 13......       14.0       69.7       90.9      112.1      100.0
14 Pop 14......        0.0       -0.2        3.2        6.6        9.0
15 Pop 15......        0.0       -2.4        6.5       15.4       58.0
16 Pop 16......        0.0        3.9       18.7       33.4       95.0
17 Pop 17......        2.0       65.9       89.2      112.5      100.0
18 Pop 18......        0.0        2.9       18.3       33.6      100.0
19 Pop 19......       29.0       95.3       99.6      103.9      100.0
20 Pop 20......        0.0        4.2       14.5       24.9       58.0
21 Pop 21......        0.0        4.8        7.5       10.3        9.0
22 Pop 22......        0.0        4.2       11.1       18.0       51.0
23 Pop 23......        1.0       12.1       39.1       66.0      100.0
24 Pop 24......        0.0        1.4       11.5       21.6       70.0
25 Pop 25......       17.0       95.8       99.7      103.7      100.0
26 Pop 26......        1.0       12.7       39.4       66.1      100.0
27 Pop 27......        0.0        7.8       18.1       28.3       84.0
28 Pop 28......        1.0       14.8       41.0       67.3      100.0
29 Pop 29......        2.0        8.2        8.9        9.6        9.0
30 Pop 30......        0.0        2.6        6.0        9.5        9.0
31 Pop 31......        0.0        1.9        5.4        8.8        9.0
32 Pop 32......        1.0        8.8       18.5       28.3       70.0
33 Pop 33......        0.0       -1.1        8.9       18.8       66.0
34 Pop 34......        0.0       -1.7       12.6       27.0      100.0
35 Pop 35......        0.0        0.4        4.2        7.9        9.0
36 36S1-T1.....        2.0       12.3       41.5       70.8       92.0
37 37S1-T1.....        1.0       29.8       60.7       91.5       92.0
38 38S1-T1.....        2.0       38.6       68.5       98.5       92.0
39 39S1-T1.....        3.0       61.6       83.0      104.3       92.0
40 40S1-T1.....        1.0        4.0       31.7       59.4       92.0
41 41S2-T1.....        0.0        1.7       10.9       20.1       63.0
42 42S4-T1.....        0.0        1.3       11.6       21.9       79.0
43 43S12-T1....        1.0        2.5       17.4       32.4       92.0
44 44S12-T1....        1.0        1.8       11.5       21.3       64.0
45 45S12-T1....        2.0       12.9       42.4       71.8       92.0
46 46S12-T1....        1.0        2.4       16.2       30.1       92.0
47 47S12-T1....        1.0        0.9        6.6       12.4       49.0
48 48S12-T1....        1.0        1.6       10.8       19.9       85.0
49 49S12-T1....        1.0        2.3       17.2       32.1       92.0
50 50S13-T1....        6.0       77.2       89.1      101.0       92.0
51 51S13-T1....        1.0        0.8       10.3       19.8       54.0
52 52S23-T1....        0.0        1.0       15.4       29.9       92.0
