METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       35.0       35.0       35.0       35.0       35.0
        1       28.0       31.2       32.6       34.0       35.0
        2       26.0       29.3       31.0       32.6       35.0
        3       23.0       27.9       29.7       31.5       35.0
        4       23.0       26.8       28.7       30.6       34.0
        5       22.0       26.0       27.9       29.8       33.0
        6       21.0       25.2       27.2       29.1       33.0
        7       20.0       24.5       26.5       28.5       32.0
        8       20.0       23.8       25.8       27.8       32.0
        9       37.0       40.2       42.2       44.2       49.0
       10       32.0       35.9       37.5       39.2       43.0
       11       30.0       34.3       36.2       38.2       42.0
       12       29.0       32.6       34.7       36.9       41.0
       13       26.0       31.0       33.3       35.6       41.0
       14       26.0       29.5       31.9       34.2       41.0
       15       24.0       28.2       30.6       33.1       40.0
       16       22.0       26.9       29.4       31.9       39.0
       17       20.0       25.8       28.3       30.8       37.0
       18       19.0       24.7       27.2       29.8       36.0
       19       19.0       23.8       26.3       28.8       34.0
       20       17.0       23.0       25.5       27.9       33.0
       21       17.0       22.3       24.7       27.1       33.0
       22       16.0       21.6       24.0       26.4       32.0
       23       16.0       21.0       23.3       25.7       30.0
       24       16.0       20.3       22.6       25.0       30.0
       25       16.0       19.7       22.0       24.4       30.0
       26       15.0       19.2       21.5       23.8       29.0
       27       14.0       18.8       21.0       23.3       28.0
       28       14.0       18.3       20.6       22.8       28.0
       29       14.0       17.9       20.1       22.3       27.0
       30       14.0       17.6       19.7       21.9       27.0
       31       14.0       17.2       19.3       21.4       26.0
       32       13.0       16.9       19.0       21.0       26.0
       33       13.0       16.6       18.6       20.7       26.0
       34       12.0       16.3       18.3       20.3       26.0
       35       12.0       16.1       18.1       20.0       26.0
       36       12.0       15.9       17.8       19.7       25.0
       37       12.0       15.6       17.5       19.5       25.0
       38       12.0       15.4       17.3       19.2       23.0
       39       12.0       15.1       17.0       18.9       23.0
       40       12.0       14.9       16.8       18.7       23.0
       41       11.0       14.7       16.6       18.5       23.0
       42       11.0       14.5       16.4       18.3       23.0
       43       11.0       14.3       16.2       18.1       22.0
       44       11.0       14.2       16.0       17.9       22.0
       45       11.0       14.0       15.8       17.7       22.0
       46       10.0       13.8       15.7       17.5       21.0
       47        9.0       13.7       15.5       17.3       21.0
       48        9.0       13.5       15.3       17.2       21.0
       49        9.0       13.4       15.2       17.0       21.0
       50        9.0       13.3       15.1       16.9       21.0
       51        9.0       13.2       14.9       16.7       21.0
       52        9.0       13.1       14.8       16.6       21.0
       53        9.0       13.0       14.7       16.4       21.0
       54        9.0       12.9       14.6       16.3       21.0
       55        8.0       12.8       14.5       16.1       20.0
       56        8.0       12.7       14.3       16.0       20.0
       57        8.0       12.6       14.2       15.9       20.0
       58        8.0       12.5       14.1       15.7       19.0
       59        8.0       12.4       14.0       15.6       19.0
       60        8.0       12.3       13.9       15.5       19.0
       61        8.0       12.2       13.8       15.4       19.0
       62        8.0       12.1       13.7       15.3       19.0
       63        8.0       12.1       13.6       15.2       19.0
       64        8.0       12.0       13.5       15.1       19.0
       65        8.0       11.9       13.4       15.0       18.0
       66        8.0       11.8       13.4       14.9       18.0
       67        8.0       11.7       13.3       14.9       18.0
       68        8.0       11.6       13.2       14.8       18.0
       69        8.0       11.6       13.1       14.7       18.0
       70        8.0       11.5       13.1       14.6       18.0
       71        8.0       11.4       13.0       14.5       18.0
       72        7.0       11.3       12.9       14.5       18.0
       73        7.0       11.2       12.8       14.4       18.0
       74        7.0       11.2       12.8       14.4       18.0
       75        7.0       11.1       12.7       14.3       18.0
       76        7.0       11.0       12.6       14.2       18.0
       77        7.0       11.0       12.6       14.2       18.0
       78        7.0       10.9       12.5       14.1       18.0
       79        7.0       10.9       12.5       14.1       18.0
       80        7.0       10.8       12.4       14.0       18.0
       81        7.0       10.8       12.4       14.0       18.0
       82        7.0       10.7       12.3       13.9       18.0
       83        7.0       10.7       12.3       13.8       18.0
       84        7.0       10.6       12.2       13.8       18.0
       85        7.0       10.6       12.2       13.8       18.0
       86        7.0       10.5       12.1       13.7       18.0
       87        7.0       10.5       12.1       13.7       18.0
       88        7.0       10.5       12.0       13.6       18.0
       89        7.0       10.4       12.0       13.6       18.0
       90        7.0       10.4       12.0       13.6       18.0
       91        7.0       10.3       11.9       13.5       18.0
       92        7.0       10.3       11.9       13.4       18.0
       93        7.0       10.3       11.8       13.4       18.0
       94        7.0       10.2       11.8       13.3       18.0
       95        7.0       10.2       11.7       13.3       17.0
       96        7.0       10.1       11.7       13.2       17.0
       97        7.0       10.1       11.6       13.2       17.0
       98        7.0       10.1       11.6       13.2       17.0
       99        7.0       10.0       11.6       13.1       16.0
      100        7.0       10.0       11.5       13.1       16.0
