METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 550.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0060          0.0060          0.0000   0.0340
         8       0.0150          0.0210          0.0000   0.0490
        10       0.0160          0.0370          0.0090   0.0650
        12       0.0220          0.0590          0.0310   0.0870
        14       0.0180          0.0770          0.0490   0.1050
        16       0.0130          0.0900          0.0620   0.1180
        18       0.0110          0.1010          0.0730   0.1290
        20       0.0110          0.1120          0.0840   0.1400
        22       0.0040          0.1160          0.0880   0.1440
        24       0.0030          0.1190          0.0910   0.1470
        26       0.0010          0.1200          0.0920   0.1480
        28       0.0040          0.1240          0.0960   0.1520
        30       0.0020          0.1260          0.0980   0.1540
        32       0.0020          0.1280          0.1000   0.1560
        34       0.0020          0.1300          0.1020   0.1580
        36       0.0000          0.1300          0.1020   0.1580
        38       0.0030          0.1330          0.1050   0.1610
        40       0.0010          0.1340          0.1060   0.1620
        42       0.0010          0.1350          0.1070   0.1630
        44       0.0000          0.1350          0.1070   0.1630
        46       0.0000          0.1350          0.1070   0.1630
        48       0.0010          0.1360          0.1080   0.1640
        50       0.0000          0.1360          0.1080   0.1640
        52       0.0000          0.1360          0.1080   0.1640
        54       0.0010          0.1370          0.1090   0.1650
        56       0.0010          0.1380          0.1100   0.1660
        58       0.0000          0.1380          0.1100   0.1660
        60       0.0010          0.1390          0.1110   0.1670
        62       0.0010          0.1400          0.1120   0.1680
        64       0.0000          0.1400          0.1120   0.1680
        66       0.0000          0.1400          0.1120   0.1680
        68       0.0010          0.1410          0.1130   0.1690
        70       0.0000          0.1410          0.1130   0.1690
        72       0.0020          0.1430          0.1150   0.1710
        74       0.0000          0.1430          0.1150   0.1710
        76       0.0000          0.1430          0.1150   0.1710
        78       0.0010          0.1440          0.1160   0.1720
        80       0.0000          0.1440          0.1160   0.1720
        82       0.0000          0.1440          0.1160   0.1720
        84       0.0000          0.1440          0.1160   0.1720
        86       0.0000          0.1440          0.1160   0.1720
        88       0.0010          0.1450          0.1170   0.1730
        90       0.0000          0.1450          0.1170   0.1730
        92       0.0000          0.1450          0.1170   0.1730
        94       0.0000          0.1450          0.1170   0.1730
        96       0.0000          0.1450          0.1170   0.1730
        98       0.0000          0.1450          0.1170   0.1730
       100       0.0000          0.1450          0.1170   0.1730
