METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
       332       1.0000          0.9720   1.0000
       333       0.9990          0.9710   1.0000
       334       0.9990          0.9710   1.0000
       335       0.9990          0.9710   1.0000
       336       0.9990          0.9710   1.0000
       337       0.9990          0.9710   1.0000
       338       0.9990          0.9710   1.0000
       339       0.9990          0.9710   1.0000
       340       0.9990          0.9710   1.0000
       341       0.9990          0.9710   1.0000
       342       0.9990          0.9710   1.0000
       343       0.9990          0.9710   1.0000
       344       0.9990          0.9710   1.0000
       345       0.9990          0.9710   1.0000
       346       0.9990          0.9710   1.0000
       347       0.9990          0.9710   1.0000
       348       0.9990          0.9710   1.0000
       349       0.9990          0.9710   1.0000
       350       0.9990          0.9710   1.0000
       351       0.9990          0.9710   1.0000
       352       0.9990          0.9710   1.0000
       353       0.9990          0.9710   1.0000
       354       0.9990          0.9710   1.0000
       355       0.9990          0.9710   1.0000
       356       0.9970          0.9690   1.0000
       357       0.9950          0.9670   1.0000
       358       0.9950          0.9670   1.0000
       359       0.9940          0.9660   1.0000
       360       0.9930          0.9650   1.0000
       361       0.9920          0.9640   1.0000
       362       0.9910          0.9630   1.0000
       363       0.9910          0.9630   1.0000
       364       0.9910          0.9630   1.0000
       365       0.9900          0.9620   1.0000
       366       0.9890          0.9610   1.0000
       367       0.9890          0.9610   1.0000
       368       0.9890          0.9610   1.0000
       369       0.9890          0.9610   1.0000
       370       0.9890          0.9610   1.0000
       371       0.9870          0.9590   1.0000
       372       0.9840          0.9560   1.0000
       373       0.9840          0.9560   1.0000
       374       0.9800          0.9520   1.0000
       375       0.9780          0.9500   1.0000
       376       0.9770          0.9490   1.0000
       377       0.9750          0.9470   1.0000
       378       0.9730          0.9450   1.0000
       379       0.9700          0.9420   0.9980
       380       0.9660          0.9380   0.9940
       381       0.9630          0.9350   0.9910
       382       0.9600          0.9320   0.9880
       383       0.9570          0.9290   0.9850
       384       0.9540          0.9260   0.9820
       385       0.9500          0.9220   0.9780
       386       0.9440          0.9160   0.9720
       387       0.9380          0.9100   0.9660
