C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\iter1918\Z20_1918.mp
2
1 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\iter1918\B20.ptc
2 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\iter1918\X20_1918.ptc
iter Fyear Lyear patch new2old old2new
 1   0   8  1  0  0
 1   0   8  2  0  0
 1   0   8  3  0  0
 1   0   8  4  0  0
 1   0   8  5  0  0
 1   0   8  6  0  0
 1   0   8  7  0  0
 1   0   8  8  0  0
 1   0   8  9  0  0
 1   0   8 10  0  0
 1   0   8 11  0  0
 1   0   8 12  0  0
 1   0   8 13  0  0
 1   0   8 14  0  0
 1   0   8 15  0  0
 1   0   8 16  0  0
 1   0   8 17  0  0
 1   0   8 18  0  0
 1   0   8 19  0  0
 1   0   8 20  0  0
 1   0   8 21  0  0
 1   0   8 22  0  0
 1   0   8 23  0  0
 1   0   8 24  0  0
 1   0   8 25  0  0
 1   0   8 26  0  0
 1   0   8 27  0  0
 1   0   8 28  0  0
 1   0   8 29  0  0
 1   0   8 30  0  0
 1   0   8 31  0  0
 1   0   8 32  0  0
 1   0   8 33  0  0
 1   0   8 34  0  0
 1   0   8 35  0  0
 2   9 500  1  2  5
 2   9 500  2  3  1
 2   9 500  3  4  2
 2   9 500  4 36  3
 2   9 500  5  1  8
 2   9 500  6  6  6
 2   9 500  7  7  7
 2   9 500  8  5  9
 2   9 500  9  8 12
 2   9 500 10 39 41
 2   9 500 11 40 42
 2   9 500 12  9 25
 2   9 500 13 41 19
 2   9 500 14 46 43
 2   9 500 15 47 44
 2   9 500 16 38 45
 2   9 500 17 37 23
 2   9 500 18 48 27
 2   9 500 19 13 29
 2   9 500 20 42 30
 2   9 500 21 43 31
 2   9 500 22 44 46
 2   9 500 23 17 32
 2   9 500 24 45 47
 2   9 500 25 12 33
 2   9 500 26 49 34
 2   9 500 27 18 48
 2   9 500 28 50 49
 2   9 500 29 19 37
 2   9 500 30 20 50
 2   9 500 31 21 51
 2   9 500 32 23 39
 2   9 500 33 25 52
 2   9 500 34 26 53
 2   9 500 35 51 54
 2   9 500 36 52  4
 2   9 500 37 29 17
 2   9 500 38 53 16
 2   9 500 39 32 10
 2   9 500 40 54 11
 2   9 500 41 10 13
 2   9 500 42 11 20
 2   9 500 43 14 21
 2   9 500 44 15 22
 2   9 500 45 16 24
 2   9 500 46 22 14
 2   9 500 47 24 15
 2   9 500 48 27 18
 2   9 500 49 28 26
 2   9 500 50 30 28
 2   9 500 51 31 35
 2   9 500 52 33 36
 2   9 500 53 34 38
 2   9 500 54 35 40
