METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval extinction risk

Expected minimum abundance = 69.5

 Threshold  Probability     95% confidence interval
        25       0.0010          0.0000   0.0290
        26       0.0010          0.0000   0.0290
        27       0.0010          0.0000   0.0290
        28       0.0010          0.0000   0.0290
        29       0.0020          0.0000   0.0300
        30       0.0020          0.0000   0.0300
        31       0.0020          0.0000   0.0300
        32       0.0020          0.0000   0.0300
        33       0.0030          0.0000   0.0310
        34       0.0040          0.0000   0.0320
        35       0.0050          0.0000   0.0330
        36       0.0070          0.0000   0.0350
        37       0.0080          0.0000   0.0360
        38       0.0120          0.0000   0.0400
        39       0.0140          0.0000   0.0420
        40       0.0150          0.0000   0.0430
        41       0.0160          0.0000   0.0440
        42       0.0170          0.0000   0.0450
        43       0.0220          0.0000   0.0500
        44       0.0280          0.0000   0.0560
        45       0.0320          0.0040   0.0600
        46       0.0400          0.0120   0.0680
        47       0.0480          0.0200   0.0760
        48       0.0580          0.0300   0.0860
        49       0.0620          0.0340   0.0900
        50       0.0710          0.0430   0.0990
        51       0.0810          0.0530   0.1090
        52       0.0950          0.0670   0.1230
        53       0.1040          0.0760   0.1320
        54       0.1130          0.0850   0.1410
        55       0.1300          0.1020   0.1580
        56       0.1440          0.1160   0.1720
        57       0.1580          0.1300   0.1860
        58       0.1760          0.1480   0.2040
        59       0.1940          0.1660   0.2220
        60       0.2160          0.1880   0.2440
        61       0.2370          0.2090   0.2650
        62       0.2570          0.2290   0.2850
        63       0.2880          0.2600   0.3160
        64       0.3090          0.2810   0.3370
        65       0.3400          0.3120   0.3680
        66       0.3860          0.3580   0.4140
        67       0.4280          0.4000   0.4560
        68       0.4530          0.4250   0.4810
        69       0.4910          0.4630   0.5190
        70       0.5100          0.4820   0.5380
        71       0.5420          0.5140   0.5700
        72       0.5660          0.5380   0.5940
        73       0.5920          0.5640   0.6200
        74       0.6320          0.6040   0.6600
        75       0.6670          0.6390   0.6950
        76       0.7020          0.6740   0.7300
        77       0.7250          0.6970   0.7530
        78       0.7650          0.7370   0.7930
        79       0.7890          0.7610   0.8170
        80       0.8210          0.7930   0.8490
        81       0.8480          0.8200   0.8760
        82       0.8730          0.8450   0.9010
        83       0.8920          0.8640   0.9200
        84       0.9040          0.8760   0.9320
        85       0.9170          0.8890   0.9450
        86       0.9270          0.8990   0.9550
        87       0.9420          0.9140   0.9700
        88       0.9560          0.9280   0.9840
        89       0.9680          0.9400   0.9960
        90       0.9790          0.9510   1.0000
        91       0.9860          0.9580   1.0000
        92       0.9890          0.9610   1.0000
        93       0.9920          0.9640   1.0000
        94       0.9940          0.9660   1.0000
        95       0.9970          0.9690   1.0000
        96       0.9980          0.9700   1.0000
        97       0.9980          0.9700   1.0000
        98       0.9980          0.9700   1.0000
        99       0.9980          0.9700   1.0000
       100       0.9980          0.9700   1.0000
       101       0.9980          0.9700   1.0000
       102       0.9980          0.9700   1.0000
       103       0.9980          0.9700   1.0000
       104       0.9990          0.9710   1.0000
       105       0.9990          0.9710   1.0000
       106       0.9990          0.9710   1.0000
       107       1.0000          0.9720   1.0000
