METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval percent decline

Percent decline  Probability     95% confidence interval
        91       0.0010          0.0000   0.0290
        91       0.0010          0.0000   0.0290
        90       0.0010          0.0000   0.0290
        90       0.0010          0.0000   0.0290
        90       0.0020          0.0000   0.0300
        89       0.0020          0.0000   0.0300
        89       0.0020          0.0000   0.0300
        88       0.0020          0.0000   0.0300
        88       0.0030          0.0000   0.0310
        88       0.0040          0.0000   0.0320
        87       0.0050          0.0000   0.0330
        87       0.0070          0.0000   0.0350
        87       0.0080          0.0000   0.0360
        86       0.0120          0.0000   0.0400
        86       0.0140          0.0000   0.0420
        86       0.0150          0.0000   0.0430
        85       0.0160          0.0000   0.0440
        85       0.0170          0.0000   0.0450
        85       0.0220          0.0000   0.0500
        84       0.0280          0.0000   0.0560
        84       0.0320          0.0040   0.0600
        83       0.0400          0.0120   0.0680
        83       0.0480          0.0200   0.0760
        83       0.0580          0.0300   0.0860
        82       0.0620          0.0340   0.0900
        82       0.0710          0.0430   0.0990
        82       0.0810          0.0530   0.1090
        81       0.0950          0.0670   0.1230
        81       0.1040          0.0760   0.1320
        81       0.1130          0.0850   0.1410
        80       0.1300          0.1020   0.1580
        80       0.1440          0.1160   0.1720
        79       0.1580          0.1300   0.1860
        79       0.1760          0.1480   0.2040
        79       0.1940          0.1660   0.2220
        78       0.2160          0.1880   0.2440
        78       0.2370          0.2090   0.2650
        78       0.2570          0.2290   0.2850
        77       0.2880          0.2600   0.3160
        77       0.3090          0.2810   0.3370
        77       0.3400          0.3120   0.3680
        76       0.3860          0.3580   0.4140
        76       0.4280          0.4000   0.4560
        76       0.4530          0.4250   0.4810
        75       0.4910          0.4630   0.5190
        75       0.5100          0.4820   0.5380
        74       0.5420          0.5140   0.5700
        74       0.5660          0.5380   0.5940
        74       0.5920          0.5640   0.6200
        73       0.6320          0.6040   0.6600
        73       0.6670          0.6390   0.6950
        73       0.7020          0.6740   0.7300
        72       0.7250          0.6970   0.7530
        72       0.7650          0.7370   0.7930
        72       0.7890          0.7610   0.8170
        71       0.8210          0.7930   0.8490
        71       0.8480          0.8200   0.8760
        71       0.8730          0.8450   0.9010
        70       0.8920          0.8640   0.9200
        70       0.9040          0.8760   0.9320
        69       0.9170          0.8890   0.9450
        69       0.9270          0.8990   0.9550
        69       0.9420          0.9140   0.9700
        68       0.9560          0.9280   0.9840
        68       0.9680          0.9400   0.9960
        68       0.9790          0.9510   1.0000
        67       0.9860          0.9580   1.0000
        67       0.9890          0.9610   1.0000
        67       0.9920          0.9640   1.0000
        66       0.9940          0.9660   1.0000
        66       0.9970          0.9690   1.0000
        65       0.9980          0.9700   1.0000
        65       0.9980          0.9700   1.0000
        65       0.9980          0.9700   1.0000
        64       0.9980          0.9700   1.0000
        64       0.9980          0.9700   1.0000
        64       0.9980          0.9700   1.0000
        63       0.9980          0.9700   1.0000
        63       0.9980          0.9700   1.0000
        63       0.9990          0.9710   1.0000
        62       0.9990          0.9710   1.0000
        62       0.9990          0.9710   1.0000
        62       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
