METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 550.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0010          0.0010          0.0000   0.0290
         6       0.0110          0.0120          0.0000   0.0400
         8       0.0160          0.0280          0.0000   0.0560
        10       0.0130          0.0410          0.0130   0.0690
        12       0.0000          0.0410          0.0130   0.0690
        14       0.0000          0.0410          0.0130   0.0690
        16       0.0000          0.0410          0.0130   0.0690
        18       0.0000          0.0410          0.0130   0.0690
        20       0.0000          0.0410          0.0130   0.0690
        22       0.0000          0.0410          0.0130   0.0690
        24       0.0000          0.0410          0.0130   0.0690
        26       0.0000          0.0410          0.0130   0.0690
        28       0.0000          0.0410          0.0130   0.0690
        30       0.0000          0.0410          0.0130   0.0690
        32       0.0000          0.0410          0.0130   0.0690
        34       0.0000          0.0410          0.0130   0.0690
        36       0.0000          0.0410          0.0130   0.0690
        38       0.0000          0.0410          0.0130   0.0690
        40       0.0000          0.0410          0.0130   0.0690
        42       0.0000          0.0410          0.0130   0.0690
        44       0.0000          0.0410          0.0130   0.0690
        46       0.0000          0.0410          0.0130   0.0690
        48       0.0000          0.0410          0.0130   0.0690
        50       0.0000          0.0410          0.0130   0.0690
        52       0.0000          0.0410          0.0130   0.0690
        54       0.0000          0.0410          0.0130   0.0690
        56       0.0000          0.0410          0.0130   0.0690
        58       0.0000          0.0410          0.0130   0.0690
        60       0.0000          0.0410          0.0130   0.0690
        62       0.0000          0.0410          0.0130   0.0690
        64       0.0000          0.0410          0.0130   0.0690
        66       0.0000          0.0410          0.0130   0.0690
        68       0.0000          0.0410          0.0130   0.0690
        70       0.0000          0.0410          0.0130   0.0690
        72       0.0000          0.0410          0.0130   0.0690
        74       0.0000          0.0410          0.0130   0.0690
        76       0.0000          0.0410          0.0130   0.0690
        78       0.0000          0.0410          0.0130   0.0690
        80       0.0000          0.0410          0.0130   0.0690
        82       0.0000          0.0410          0.0130   0.0690
        84       0.0000          0.0410          0.0130   0.0690
        86       0.0000          0.0410          0.0130   0.0690
        88       0.0000          0.0410          0.0130   0.0690
        90       0.0000          0.0410          0.0130   0.0690
        92       0.0000          0.0410          0.0130   0.0690
        94       0.0000          0.0410          0.0130   0.0690
        96       0.0000          0.0410          0.0130   0.0690
        98       0.0000          0.0410          0.0130   0.0690
       100       0.0000          0.0410          0.0130   0.0690
