METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal percent decline

Percent decline  Probability     95% confidence interval
        91       0.0010          0.0000   0.0290
        91       0.0010          0.0000   0.0290
        90       0.0010          0.0000   0.0290
        90       0.0010          0.0000   0.0290
        90       0.0010          0.0000   0.0290
        89       0.0010          0.0000   0.0290
        89       0.0010          0.0000   0.0290
        88       0.0010          0.0000   0.0290
        88       0.0010          0.0000   0.0290
        88       0.0010          0.0000   0.0290
        87       0.0020          0.0000   0.0300
        87       0.0020          0.0000   0.0300
        87       0.0020          0.0000   0.0300
        86       0.0030          0.0000   0.0310
        86       0.0030          0.0000   0.0310
        86       0.0040          0.0000   0.0320
        85       0.0040          0.0000   0.0320
        85       0.0040          0.0000   0.0320
        85       0.0040          0.0000   0.0320
        84       0.0040          0.0000   0.0320
        84       0.0040          0.0000   0.0320
        83       0.0060          0.0000   0.0340
        83       0.0070          0.0000   0.0350
        83       0.0090          0.0000   0.0370
        82       0.0100          0.0000   0.0380
        82       0.0120          0.0000   0.0400
        82       0.0140          0.0000   0.0420
        81       0.0160          0.0000   0.0440
        81       0.0180          0.0000   0.0460
        81       0.0210          0.0000   0.0490
        80       0.0240          0.0000   0.0520
        80       0.0280          0.0000   0.0560
        79       0.0310          0.0030   0.0590
        79       0.0320          0.0040   0.0600
        79       0.0350          0.0070   0.0630
        78       0.0380          0.0100   0.0660
        78       0.0430          0.0150   0.0710
        78       0.0500          0.0220   0.0780
        77       0.0580          0.0300   0.0860
        77       0.0700          0.0420   0.0980
        77       0.0800          0.0520   0.1080
        76       0.0880          0.0600   0.1160
        76       0.1030          0.0750   0.1310
        76       0.1080          0.0800   0.1360
        75       0.1190          0.0910   0.1470
        75       0.1260          0.0980   0.1540
        74       0.1360          0.1080   0.1640
        74       0.1440          0.1160   0.1720
        74       0.1590          0.1310   0.1870
        73       0.1750          0.1470   0.2030
        73       0.1890          0.1610   0.2170
        73       0.2050          0.1770   0.2330
        72       0.2230          0.1950   0.2510
        72       0.2470          0.2190   0.2750
        72       0.2670          0.2390   0.2950
        71       0.2850          0.2570   0.3130
        71       0.3160          0.2880   0.3440
        71       0.3300          0.3020   0.3580
        70       0.3570          0.3290   0.3850
        70       0.3700          0.3420   0.3980
        69       0.3920          0.3640   0.4200
        69       0.4190          0.3910   0.4470
        69       0.4390          0.4110   0.4670
        68       0.4570          0.4290   0.4850
        68       0.4820          0.4540   0.5100
        68       0.5070          0.4790   0.5350
        67       0.5380          0.5100   0.5660
        67       0.5600          0.5320   0.5880
        67       0.5860          0.5580   0.6140
        66       0.6040          0.5760   0.6320
        66       0.6230          0.5950   0.6510
        65       0.6390          0.6110   0.6670
        65       0.6510          0.6230   0.6790
        65       0.6750          0.6470   0.7030
        64       0.7020          0.6740   0.7300
        64       0.7240          0.6960   0.7520
        64       0.7420          0.7140   0.7700
        63       0.7610          0.7330   0.7890
        63       0.7710          0.7430   0.7990
        63       0.7900          0.7620   0.8180
        62       0.8120          0.7840   0.8400
        62       0.8250          0.7970   0.8530
        62       0.8420          0.8140   0.8700
        61       0.8550          0.8270   0.8830
        61       0.8650          0.8370   0.8930
        60       0.8730          0.8450   0.9010
        60       0.8880          0.8600   0.9160
        60       0.9000          0.8720   0.9280
        59       0.9130          0.8850   0.9410
        59       0.9150          0.8870   0.9430
        59       0.9230          0.8950   0.9510
        58       0.9340          0.9060   0.9620
        58       0.9410          0.9130   0.9690
        58       0.9470          0.9190   0.9750
        57       0.9560          0.9280   0.9840
        57       0.9600          0.9320   0.9880
        56       0.9640          0.9360   0.9920
        56       0.9660          0.9380   0.9940
        56       0.9720          0.9440   1.0000
        55       0.9750          0.9470   1.0000
        55       0.9770          0.9490   1.0000
        55       0.9790          0.9510   1.0000
        54       0.9820          0.9540   1.0000
        54       0.9850          0.9570   1.0000
        54       0.9880          0.9600   1.0000
        53       0.9910          0.9630   1.0000
        53       0.9950          0.9670   1.0000
        53       0.9960          0.9680   1.0000
        52       0.9960          0.9680   1.0000
        52       0.9960          0.9680   1.0000
        51       0.9960          0.9680   1.0000
        51       0.9960          0.9680   1.0000
        51       0.9960          0.9680   1.0000
        50       0.9980          0.9700   1.0000
        50       0.9990          0.9710   1.0000
        50       0.9990          0.9710   1.0000
        49       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
