METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       16.0       16.0       16.0       16.0       16.0
        1       12.0       13.9       14.9       15.9       16.0
        2       10.0       12.9       14.0       15.2       16.0
        3        9.0       12.1       13.4       14.7       16.0
        4        8.0       11.4       12.8       14.2       16.0
        5        8.0       10.8       12.3       13.7       16.0
        6        8.0       10.4       11.8       13.3       15.0
        7        6.0        9.9       11.4       12.9       15.0
        8        6.0        9.6       11.1       12.6       15.0
        9        6.0        9.3       10.8       12.3       15.0
       10        6.0        9.0       10.5       12.0       15.0
       11        6.0        8.7       10.2       11.7       15.0
       12        5.0        8.4        9.9       11.4       15.0
       13        5.0        8.2        9.6       11.1       15.0
       14        5.0        8.0        9.4       10.9       14.0
       15        5.0        7.8        9.2       10.6       14.0
       16        5.0        7.7        9.0       10.4       14.0
       17        5.0        7.5        8.8       10.2       14.0
       18        5.0        7.3        8.7       10.0       14.0
       19        5.0        7.1        8.5        9.9       13.0
       20        5.0        7.0        8.3        9.7       13.0
       21        4.0        6.9        8.2        9.5       13.0
       22        4.0        6.8        8.1        9.4       13.0
       23        4.0        6.7        8.0        9.3       13.0
       24        4.0        6.6        7.9        9.2       13.0
       25        4.0        6.4        7.7        9.1       13.0
       26        4.0        6.3        7.6        8.9       12.0
       27        4.0        6.2        7.5        8.8       12.0
       28        4.0        6.2        7.5        8.7       12.0
       29        4.0        6.1        7.4        8.6       11.0
       30        4.0        6.0        7.3        8.5       11.0
       31        4.0        6.0        7.2        8.5       11.0
       32        4.0        5.9        7.1        8.4       11.0
       33        4.0        5.8        7.1        8.3       11.0
       34        4.0        5.8        7.0        8.2       11.0
       35        4.0        5.7        6.9        8.1       10.0
       36        4.0        5.7        6.9        8.1       10.0
       37        4.0        5.6        6.8        8.0       10.0
       38        4.0        5.6        6.7        7.9       10.0
       39        3.0        5.5        6.7        7.9       10.0
       40        3.0        5.5        6.6        7.8       10.0
       41        3.0        5.4        6.6        7.8       10.0
       42        3.0        5.3        6.5        7.7       10.0
       43        3.0        5.3        6.5        7.7       10.0
       44        3.0        5.3        6.4        7.6       10.0
       45        3.0        5.3        6.4        7.6       10.0
       46        3.0        5.2        6.4        7.5       10.0
       47        3.0        5.2        6.3        7.4       10.0
       48        3.0        5.1        6.3        7.4       10.0
       49        3.0        5.1        6.2        7.3       10.0
       50        3.0        5.1        6.2        7.3       10.0
       51        3.0        5.0        6.1        7.2       10.0
       52        2.0        5.0        6.1        7.2       10.0
       53        2.0        5.0        6.1        7.2       10.0
       54        2.0        4.9        6.0        7.1       10.0
       55        2.0        4.9        6.0        7.1       10.0
       56        2.0        4.9        6.0        7.0       10.0
       57        2.0        4.9        5.9        7.0       10.0
       58        2.0        4.8        5.9        7.0        9.0
       59        2.0        4.8        5.9        6.9        9.0
       60        2.0        4.8        5.8        6.9        9.0
       61        2.0        4.7        5.8        6.9        9.0
       62        2.0        4.7        5.8        6.9        9.0
       63        2.0        4.7        5.7        6.8        9.0
       64        2.0        4.7        5.7        6.8        9.0
       65        2.0        4.6        5.7        6.7        9.0
       66        2.0        4.6        5.7        6.7        9.0
       67        2.0        4.6        5.6        6.7        9.0
       68        2.0        4.6        5.6        6.7        9.0
       69        2.0        4.6        5.6        6.7        9.0
       70        2.0        4.5        5.6        6.6        9.0
       71        2.0        4.5        5.6        6.6        9.0
       72        2.0        4.5        5.5        6.6        9.0
       73        2.0        4.5        5.5        6.5        9.0
       74        2.0        4.5        5.5        6.5        9.0
       75        2.0        4.4        5.5        6.5        9.0
       76        2.0        4.4        5.4        6.5        9.0
       77        2.0        4.4        5.4        6.4        9.0
       78        2.0        4.4        5.4        6.4        9.0
       79        2.0        4.3        5.4        6.4        9.0
       80        2.0        4.3        5.3        6.4        9.0
       81        2.0        4.3        5.3        6.3        8.0
       82        2.0        4.3        5.3        6.3        8.0
       83        2.0        4.3        5.3        6.3        8.0
       84        2.0        4.3        5.3        6.3        8.0
       85        2.0        4.3        5.3        6.3        8.0
       86        2.0        4.2        5.3        6.3        8.0
       87        2.0        4.2        5.2        6.2        8.0
       88        2.0        4.2        5.2        6.2        8.0
       89        2.0        4.2        5.2        6.2        8.0
       90        2.0        4.2        5.2        6.2        8.0
       91        2.0        4.2        5.2        6.1        8.0
       92        2.0        4.2        5.2        6.1        8.0
       93        2.0        4.1        5.1        6.1        8.0
       94        2.0        4.1        5.1        6.1        8.0
       95        2.0        4.1        5.1        6.1        8.0
       96        2.0        4.1        5.1        6.1        8.0
       97        2.0        4.1        5.1        6.0        8.0
       98        2.0        4.1        5.1        6.0        8.0
       99        2.0        4.1        5.1        6.0        8.0
      100        2.0        4.1        5.0        6.0        8.0
