METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 150.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0010          0.0010          0.0000   0.0290
         4       0.0100          0.0110          0.0000   0.0390
         6       0.0170          0.0280          0.0000   0.0560
         8       0.0220          0.0500          0.0220   0.0780
        10       0.0150          0.0650          0.0370   0.0930
        12       0.0080          0.0730          0.0450   0.1010
        14       0.0090          0.0820          0.0540   0.1100
        16       0.0080          0.0900          0.0620   0.1180
        18       0.0050          0.0950          0.0670   0.1230
        20       0.0050          0.1000          0.0720   0.1280
        22       0.0020          0.1020          0.0740   0.1300
        24       0.0020          0.1040          0.0760   0.1320
        26       0.0000          0.1040          0.0760   0.1320
        28       0.0020          0.1060          0.0780   0.1340
        30       0.0010          0.1070          0.0790   0.1350
        32       0.0000          0.1070          0.0790   0.1350
        34       0.0000          0.1070          0.0790   0.1350
        36       0.0010          0.1080          0.0800   0.1360
        38       0.0000          0.1080          0.0800   0.1360
        40       0.0000          0.1080          0.0800   0.1360
        42       0.0010          0.1090          0.0810   0.1370
        44       0.0000          0.1090          0.0810   0.1370
        46       0.0010          0.1100          0.0820   0.1380
        48       0.0000          0.1100          0.0820   0.1380
        50       0.0000          0.1100          0.0820   0.1380
        52       0.0000          0.1100          0.0820   0.1380
        54       0.0000          0.1100          0.0820   0.1380
        56       0.0000          0.1100          0.0820   0.1380
        58       0.0000          0.1100          0.0820   0.1380
        60       0.0000          0.1100          0.0820   0.1380
        62       0.0010          0.1110          0.0830   0.1390
        64       0.0000          0.1110          0.0830   0.1390
        66       0.0000          0.1110          0.0830   0.1390
        68       0.0010          0.1120          0.0840   0.1400
        70       0.0000          0.1120          0.0840   0.1400
        72       0.0000          0.1120          0.0840   0.1400
        74       0.0000          0.1120          0.0840   0.1400
        76       0.0000          0.1120          0.0840   0.1400
        78       0.0000          0.1120          0.0840   0.1400
        80       0.0000          0.1120          0.0840   0.1400
        82       0.0000          0.1120          0.0840   0.1400
        84       0.0000          0.1120          0.0840   0.1400
        86       0.0000          0.1120          0.0840   0.1400
        88       0.0000          0.1120          0.0840   0.1400
        90       0.0000          0.1120          0.0840   0.1400
        92       0.0000          0.1120          0.0840   0.1400
        94       0.0000          0.1120          0.0840   0.1400
        96       0.0000          0.1120          0.0840   0.1400
        98       0.0000          0.1120          0.0840   0.1400
       100       0.0000          0.1120          0.0840   0.1400
