METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to extinction (Threshold level = 0.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0000          0.0000          0.0000   0.0280
         8       0.0000          0.0000          0.0000   0.0280
        10       0.0000          0.0000          0.0000   0.0280
        12       0.0000          0.0000          0.0000   0.0280
        14       0.0000          0.0000          0.0000   0.0280
        16       0.0000          0.0000          0.0000   0.0280
        18       0.0000          0.0000          0.0000   0.0280
        20       0.0000          0.0000          0.0000   0.0280
        22       0.0000          0.0000          0.0000   0.0280
        24       0.0000          0.0000          0.0000   0.0280
        26       0.0000          0.0000          0.0000   0.0280
        28       0.0000          0.0000          0.0000   0.0280
        30       0.0000          0.0000          0.0000   0.0280
        32       0.0000          0.0000          0.0000   0.0280
        34       0.0000          0.0000          0.0000   0.0280
        36       0.0000          0.0000          0.0000   0.0280
        38       0.0000          0.0000          0.0000   0.0280
        40       0.0000          0.0000          0.0000   0.0280
        42       0.0000          0.0000          0.0000   0.0280
        44       0.0000          0.0000          0.0000   0.0280
        46       0.0000          0.0000          0.0000   0.0280
        48       0.0000          0.0000          0.0000   0.0280
        50       0.0000          0.0000          0.0000   0.0280
        52       0.0000          0.0000          0.0000   0.0280
        54       0.0000          0.0000          0.0000   0.0280
        56       0.0000          0.0000          0.0000   0.0280
        58       0.0000          0.0000          0.0000   0.0280
        60       0.0000          0.0000          0.0000   0.0280
        62       0.0000          0.0000          0.0000   0.0280
        64       0.0000          0.0000          0.0000   0.0280
        66       0.0000          0.0000          0.0000   0.0280
        68       0.0000          0.0000          0.0000   0.0280
        70       0.0000          0.0000          0.0000   0.0280
        72       0.0000          0.0000          0.0000   0.0280
        74       0.0000          0.0000          0.0000   0.0280
        76       0.0000          0.0000          0.0000   0.0280
        78       0.0000          0.0000          0.0000   0.0280
        80       0.0000          0.0000          0.0000   0.0280
        82       0.0000          0.0000          0.0000   0.0280
        84       0.0000          0.0000          0.0000   0.0280
        86       0.0000          0.0000          0.0000   0.0280
        88       0.0000          0.0000          0.0000   0.0280
        90       0.0000          0.0000          0.0000   0.0280
        92       0.0000          0.0000          0.0000   0.0280
        94       0.0000          0.0000          0.0000   0.0280
        96       0.0000          0.0000          0.0000   0.0280
        98       0.0000          0.0000          0.0000   0.0280
       100       0.0000          0.0000          0.0000   0.0280
