METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal extinction risk

 Threshold  Probability     95% confidence interval
        40       0.0020          0.0000   0.0300
        41       0.0030          0.0000   0.0310
        42       0.0030          0.0000   0.0310
        43       0.0040          0.0000   0.0320
        44       0.0050          0.0000   0.0330
        45       0.0050          0.0000   0.0330
        46       0.0060          0.0000   0.0340
        47       0.0080          0.0000   0.0360
        48       0.0100          0.0000   0.0380
        49       0.0110          0.0000   0.0390
        50       0.0140          0.0000   0.0420
        51       0.0170          0.0000   0.0450
        52       0.0220          0.0000   0.0500
        53       0.0230          0.0000   0.0510
        54       0.0270          0.0000   0.0550
        55       0.0310          0.0030   0.0590
        56       0.0370          0.0090   0.0650
        57       0.0430          0.0150   0.0710
        58       0.0490          0.0210   0.0770
        59       0.0560          0.0280   0.0840
        60       0.0590          0.0310   0.0870
        61       0.0710          0.0430   0.0990
        62       0.0860          0.0580   0.1140
        63       0.0930          0.0650   0.1210
        64       0.1080          0.0800   0.1360
        65       0.1230          0.0950   0.1510
        66       0.1350          0.1070   0.1630
        67       0.1460          0.1180   0.1740
        68       0.1640          0.1360   0.1920
        69       0.1730          0.1450   0.2010
        70       0.1950          0.1670   0.2230
        71       0.2150          0.1870   0.2430
        72       0.2350          0.2070   0.2630
        73       0.2610          0.2330   0.2890
        74       0.2840          0.2560   0.3120
        75       0.3100          0.2820   0.3380
        76       0.3340          0.3060   0.3620
        77       0.3550          0.3270   0.3830
        78       0.3830          0.3550   0.4110
        79       0.4050          0.3770   0.4330
        80       0.4310          0.4030   0.4590
        81       0.4500          0.4220   0.4780
        82       0.4730          0.4450   0.5010
        83       0.4980          0.4700   0.5260
        84       0.5230          0.4950   0.5510
        85       0.5490          0.5210   0.5770
        86       0.5740          0.5460   0.6020
        87       0.5960          0.5680   0.6240
        88       0.6170          0.5890   0.6450
        89       0.6440          0.6160   0.6720
        90       0.6610          0.6330   0.6890
        91       0.6800          0.6520   0.7080
        92       0.7050          0.6770   0.7330
        93       0.7180          0.6900   0.7460
        94       0.7320          0.7040   0.7600
        95       0.7500          0.7220   0.7780
        96       0.7720          0.7440   0.8000
        97       0.7920          0.7640   0.8200
        98       0.8070          0.7790   0.8350
        99       0.8310          0.8030   0.8590
       100       0.8460          0.8180   0.8740
       101       0.8620          0.8340   0.8900
       102       0.8820          0.8540   0.9100
       103       0.8890          0.8610   0.9170
       104       0.9010          0.8730   0.9290
       105       0.9110          0.8830   0.9390
       106       0.9220          0.8940   0.9500
       107       0.9310          0.9030   0.9590
       108       0.9380          0.9100   0.9660
       109       0.9450          0.9170   0.9730
       110       0.9540          0.9260   0.9820
       111       0.9590          0.9310   0.9870
       112       0.9620          0.9340   0.9900
       113       0.9680          0.9400   0.9960
       114       0.9720          0.9440   1.0000
       115       0.9770          0.9490   1.0000
       116       0.9810          0.9530   1.0000
       117       0.9860          0.9580   1.0000
       118       0.9870          0.9590   1.0000
       119       0.9900          0.9620   1.0000
       120       0.9920          0.9640   1.0000
       121       0.9920          0.9640   1.0000
       122       0.9950          0.9670   1.0000
       123       0.9960          0.9680   1.0000
       124       0.9960          0.9680   1.0000
       125       0.9960          0.9680   1.0000
       126       0.9980          0.9700   1.0000
       127       0.9980          0.9700   1.0000
       128       0.9980          0.9700   1.0000
       129       0.9980          0.9700   1.0000
       130       0.9980          0.9700   1.0000
       131       0.9980          0.9700   1.0000
       132       0.9990          0.9710   1.0000
       133       0.9990          0.9710   1.0000
       134       0.9990          0.9710   1.0000
       135       0.9990          0.9710   1.0000
       136       1.0000          0.9720   1.0000
