METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal percent decline

Percent decline  Probability     95% confidence interval
        47       0.0020          0.0000   0.0300
        46       0.0030          0.0000   0.0310
        45       0.0030          0.0000   0.0310
        43       0.0040          0.0000   0.0320
        42       0.0050          0.0000   0.0330
        41       0.0050          0.0000   0.0330
        39       0.0060          0.0000   0.0340
        38       0.0080          0.0000   0.0360
        37       0.0100          0.0000   0.0380
        36       0.0110          0.0000   0.0390
        34       0.0140          0.0000   0.0420
        33       0.0170          0.0000   0.0450
        32       0.0220          0.0000   0.0500
        30       0.0230          0.0000   0.0510
        29       0.0270          0.0000   0.0550
        28       0.0310          0.0030   0.0590
        26       0.0370          0.0090   0.0650
        25       0.0430          0.0150   0.0710
        24       0.0490          0.0210   0.0770
        22       0.0560          0.0280   0.0840
        21       0.0590          0.0310   0.0870
        20       0.0710          0.0430   0.0990
        18       0.0860          0.0580   0.1140
        17       0.0930          0.0650   0.1210
        16       0.1080          0.0800   0.1360
        14       0.1230          0.0950   0.1510
        13       0.1350          0.1070   0.1630
        12       0.1460          0.1180   0.1740
        11       0.1640          0.1360   0.1920
         9       0.1730          0.1450   0.2010
         8       0.1950          0.1670   0.2230
         7       0.2150          0.1870   0.2430
         5       0.2350          0.2070   0.2630
         4       0.2610          0.2330   0.2890
         3       0.2840          0.2560   0.3120
         1       0.3100          0.2820   0.3380
         0       0.3340          0.3060   0.3620
         0       0.3550          0.3270   0.3830
         0       0.3830          0.3550   0.4110
         0       0.4050          0.3770   0.4330
         0       0.4310          0.4030   0.4590
         0       0.4500          0.4220   0.4780
         0       0.4730          0.4450   0.5010
         0       0.4980          0.4700   0.5260
         0       0.5230          0.4950   0.5510
         0       0.5490          0.5210   0.5770
         0       0.5740          0.5460   0.6020
         0       0.5960          0.5680   0.6240
         0       0.6170          0.5890   0.6450
         0       0.6440          0.6160   0.6720
         0       0.6610          0.6330   0.6890
         0       0.6800          0.6520   0.7080
         0       0.7050          0.6770   0.7330
         0       0.7180          0.6900   0.7460
         0       0.7320          0.7040   0.7600
         0       0.7500          0.7220   0.7780
         0       0.7720          0.7440   0.8000
         0       0.7920          0.7640   0.8200
         0       0.8070          0.7790   0.8350
         0       0.8310          0.8030   0.8590
         0       0.8460          0.8180   0.8740
         0       0.8620          0.8340   0.8900
         0       0.8820          0.8540   0.9100
         0       0.8890          0.8610   0.9170
         0       0.9010          0.8730   0.9290
         0       0.9110          0.8830   0.9390
         0       0.9220          0.8940   0.9500
         0       0.9310          0.9030   0.9590
         0       0.9380          0.9100   0.9660
         0       0.9450          0.9170   0.9730
         0       0.9540          0.9260   0.9820
         0       0.9590          0.9310   0.9870
         0       0.9620          0.9340   0.9900
         0       0.9680          0.9400   0.9960
         0       0.9720          0.9440   1.0000
         0       0.9770          0.9490   1.0000
         0       0.9810          0.9530   1.0000
         0       0.9860          0.9580   1.0000
         0       0.9870          0.9590   1.0000
         0       0.9900          0.9620   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9950          0.9670   1.0000
         0       0.9960          0.9680   1.0000
         0       0.9960          0.9680   1.0000
         0       0.9960          0.9680   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9980          0.9700   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
