METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       16.0       16.0       16.0       16.0       16.0
        1       11.0       14.0       14.9       15.9       16.0
        2       10.0       12.9       14.1       15.3       16.0
        3       10.0       12.1       13.4       14.7       16.0
        4        9.0       11.5       12.8       14.2       16.0
        5        8.0       10.9       12.3       13.8       16.0
        6        8.0       10.4       11.9       13.3       16.0
        7        7.0        9.9       11.4       13.0       16.0
        8        7.0        9.6       11.1       12.6       16.0
        9        6.0        9.2       10.7       12.2       16.0
       10        4.0        7.0        8.2        9.5       12.0
       11        4.0        6.8        8.0        9.2       11.0
       12        4.0        6.5        7.7        9.0       11.0
       13        3.0        6.2        7.5        8.8       11.0
       14        3.0        6.0        7.3        8.5       11.0
       15        3.0        5.8        7.0        8.3       11.0
       16        3.0        5.6        6.9        8.1       11.0
       17        3.0        5.4        6.7        7.9       11.0
       18        3.0        5.2        6.5        7.7       11.0
       19        3.0        5.1        6.3        7.6       11.0
       20        3.0        5.0        6.2        7.4       11.0
       21        3.0        4.9        6.1        7.3       11.0
       22        3.0        4.8        6.0        7.1       11.0
       23        3.0        4.7        5.8        7.0       11.0
       24        3.0        4.6        5.7        6.9       10.0
       25        3.0        4.5        5.6        6.8       10.0
       26        3.0        4.4        5.6        6.7        9.0
       27        3.0        4.3        5.4        6.5        9.0
       28        3.0        4.3        5.4        6.4        9.0
       29        3.0        4.2        5.3        6.3        9.0
       30        3.0        4.2        5.2        6.3        9.0
       31        3.0        4.1        5.1        6.2        9.0
       32        2.0        4.0        5.1        6.1        9.0
       33        2.0        4.0        5.0        6.1        9.0
       34        2.0        3.9        5.0        6.0        9.0
       35        2.0        3.9        4.9        5.9        8.0
       36        2.0        3.8        4.8        5.8        8.0
       37        2.0        3.8        4.8        5.8        8.0
       38        2.0        3.8        4.7        5.7        8.0
       39        2.0        3.7        4.7        5.7        8.0
       40        2.0        3.7        4.6        5.6        7.0
       41        2.0        3.7        4.6        5.5        7.0
       42        2.0        3.6        4.5        5.5        7.0
       43        2.0        3.6        4.5        5.4        7.0
       44        2.0        3.6        4.5        5.4        7.0
       45        2.0        3.5        4.4        5.3        7.0
       46        2.0        3.5        4.4        5.3        7.0
       47        2.0        3.5        4.4        5.3        7.0
       48        2.0        3.5        4.4        5.2        7.0
       49        2.0        3.4        4.3        5.2        7.0
       50        2.0        3.4        4.3        5.2        7.0
       51        2.0        3.4        4.3        5.2        7.0
       52        2.0        3.4        4.2        5.1        7.0
       53        2.0        3.4        4.2        5.1        7.0
       54        2.0        3.3        4.2        5.1        7.0
       55        2.0        3.3        4.2        5.0        7.0
       56        2.0        3.3        4.2        5.0        7.0
       57        2.0        3.3        4.1        5.0        7.0
       58        2.0        3.3        4.1        5.0        6.0
       59        2.0        3.2        4.1        4.9        6.0
       60        2.0        3.2        4.1        4.9        6.0
       61        2.0        3.2        4.0        4.9        6.0
       62        2.0        3.2        4.0        4.9        6.0
       63        2.0        3.2        4.0        4.8        6.0
       64        2.0        3.2        4.0        4.8        6.0
       65        2.0        3.1        4.0        4.8        6.0
       66        2.0        3.1        4.0        4.8        6.0
       67        2.0        3.1        4.0        4.8        6.0
       68        2.0        3.1        3.9        4.8        6.0
       69        2.0        3.1        3.9        4.8        6.0
       70        2.0        3.1        3.9        4.7        6.0
       71        2.0        3.1        3.9        4.7        6.0
       72        2.0        3.0        3.9        4.7        6.0
       73        2.0        3.0        3.8        4.7        6.0
       74        2.0        3.0        3.8        4.6        6.0
       75        2.0        3.0        3.8        4.6        6.0
       76        2.0        3.0        3.8        4.6        6.0
       77        1.0        3.0        3.8        4.6        6.0
       78        1.0        3.0        3.8        4.6        6.0
       79        1.0        2.9        3.8        4.6        6.0
       80        1.0        2.9        3.7        4.5        6.0
       81        1.0        2.9        3.7        4.5        6.0
       82        1.0        2.9        3.7        4.5        6.0
       83        1.0        2.9        3.7        4.5        6.0
       84        1.0        2.9        3.7        4.5        6.0
       85        1.0        2.9        3.7        4.5        6.0
       86        1.0        2.9        3.6        4.4        6.0
       87        1.0        2.8        3.6        4.4        6.0
       88        1.0        2.8        3.6        4.4        6.0
       89        1.0        2.8        3.6        4.4        6.0
       90        1.0        2.8        3.6        4.4        6.0
       91        1.0        2.8        3.6        4.4        6.0
       92        1.0        2.8        3.6        4.4        6.0
       93        1.0        2.8        3.6        4.4        6.0
       94        1.0        2.8        3.6        4.4        6.0
       95        1.0        2.8        3.6        4.3        6.0
       96        1.0        2.8        3.5        4.3        6.0
       97        1.0        2.7        3.5        4.3        6.0
       98        1.0        2.7        3.5        4.3        6.0
       99        1.0        2.7        3.5        4.3        6.0
      100        1.0        2.7        3.5        4.3        6.0
