METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
        15       1.0000          0.9720   1.0000
        16       0.9980          0.9700   1.0000
        17       0.9980          0.9700   1.0000
        18       0.9980          0.9700   1.0000
        19       0.9980          0.9700   1.0000
        20       0.9980          0.9700   1.0000
        21       0.9960          0.9680   1.0000
        22       0.9960          0.9680   1.0000
        23       0.9960          0.9680   1.0000
        24       0.9900          0.9620   1.0000
        25       0.9840          0.9560   1.0000
        26       0.9820          0.9540   1.0000
        27       0.9740          0.9460   1.0000
        28       0.9700          0.9420   0.9980
        29       0.9650          0.9370   0.9930
        30       0.9600          0.9320   0.9880
        31       0.9490          0.9210   0.9770
        32       0.9410          0.9130   0.9690
        33       0.9300          0.9020   0.9580
        34       0.9180          0.8900   0.9460
        35       0.9050          0.8770   0.9330
        36       0.8980          0.8700   0.9260
        37       0.8840          0.8560   0.9120
        38       0.8690          0.8410   0.8970
        39       0.8530          0.8250   0.8810
        40       0.8330          0.8050   0.8610
        41       0.8030          0.7750   0.8310
        42       0.7880          0.7600   0.8160
        43       0.7640          0.7360   0.7920
        44       0.7380          0.7100   0.7660
        45       0.7150          0.6870   0.7430
        46       0.6940          0.6660   0.7220
        47       0.6680          0.6400   0.6960
        48       0.6330          0.6050   0.6610
        49       0.5980          0.5700   0.6260
        50       0.5650          0.5370   0.5930
        51       0.5250          0.4970   0.5530
        52       0.4780          0.4500   0.5060
        53       0.4370          0.4090   0.4650
        54       0.3910          0.3630   0.4190
        55       0.3650          0.3370   0.3930
        56       0.3370          0.3090   0.3650
        57       0.3120          0.2840   0.3400
        58       0.2850          0.2570   0.3130
        59       0.2540          0.2260   0.2820
        60       0.2350          0.2070   0.2630
        61       0.2060          0.1780   0.2340
        62       0.1890          0.1610   0.2170
        63       0.1720          0.1440   0.2000
        64       0.1560          0.1280   0.1840
        65       0.1350          0.1070   0.1630
        66       0.1140          0.0860   0.1420
        67       0.0970          0.0690   0.1250
        68       0.0850          0.0570   0.1130
        69       0.0740          0.0460   0.1020
        70       0.0610          0.0330   0.0890
        71       0.0510          0.0230   0.0790
        72       0.0450          0.0170   0.0730
        73       0.0370          0.0090   0.0650
        74       0.0350          0.0070   0.0630
        75       0.0260          0.0000   0.0540
        76       0.0230          0.0000   0.0510
        77       0.0200          0.0000   0.0480
        78       0.0160          0.0000   0.0440
        79       0.0130          0.0000   0.0410
        80       0.0110          0.0000   0.0390
        81       0.0100          0.0000   0.0380
        82       0.0080          0.0000   0.0360
        83       0.0060          0.0000   0.0340
        84       0.0050          0.0000   0.0330
        85       0.0020          0.0000   0.0300
        86       0.0010          0.0000   0.0290
        87       0.0010          0.0000   0.0290
        88       0.0010          0.0000   0.0290
        89       0.0010          0.0000   0.0290
