METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal extinction risk

 Threshold  Probability     95% confidence interval
        15       0.0020          0.0000   0.0300
        16       0.0020          0.0000   0.0300
        17       0.0020          0.0000   0.0300
        18       0.0020          0.0000   0.0300
        19       0.0020          0.0000   0.0300
        20       0.0040          0.0000   0.0320
        21       0.0040          0.0000   0.0320
        22       0.0040          0.0000   0.0320
        23       0.0100          0.0000   0.0380
        24       0.0160          0.0000   0.0440
        25       0.0180          0.0000   0.0460
        26       0.0260          0.0000   0.0540
        27       0.0300          0.0020   0.0580
        28       0.0350          0.0070   0.0630
        29       0.0400          0.0120   0.0680
        30       0.0510          0.0230   0.0790
        31       0.0590          0.0310   0.0870
        32       0.0700          0.0420   0.0980
        33       0.0820          0.0540   0.1100
        34       0.0950          0.0670   0.1230
        35       0.1020          0.0740   0.1300
        36       0.1160          0.0880   0.1440
        37       0.1310          0.1030   0.1590
        38       0.1470          0.1190   0.1750
        39       0.1670          0.1390   0.1950
        40       0.1970          0.1690   0.2250
        41       0.2120          0.1840   0.2400
        42       0.2360          0.2080   0.2640
        43       0.2620          0.2340   0.2900
        44       0.2850          0.2570   0.3130
        45       0.3060          0.2780   0.3340
        46       0.3320          0.3040   0.3600
        47       0.3670          0.3390   0.3950
        48       0.4020          0.3740   0.4300
        49       0.4350          0.4070   0.4630
        50       0.4750          0.4470   0.5030
        51       0.5220          0.4940   0.5500
        52       0.5630          0.5350   0.5910
        53       0.6090          0.5810   0.6370
        54       0.6350          0.6070   0.6630
        55       0.6630          0.6350   0.6910
        56       0.6880          0.6600   0.7160
        57       0.7150          0.6870   0.7430
        58       0.7460          0.7180   0.7740
        59       0.7650          0.7370   0.7930
        60       0.7940          0.7660   0.8220
        61       0.8110          0.7830   0.8390
        62       0.8280          0.8000   0.8560
        63       0.8440          0.8160   0.8720
        64       0.8650          0.8370   0.8930
        65       0.8860          0.8580   0.9140
        66       0.9030          0.8750   0.9310
        67       0.9150          0.8870   0.9430
        68       0.9260          0.8980   0.9540
        69       0.9390          0.9110   0.9670
        70       0.9490          0.9210   0.9770
        71       0.9550          0.9270   0.9830
        72       0.9630          0.9350   0.9910
        73       0.9650          0.9370   0.9930
        74       0.9740          0.9460   1.0000
        75       0.9770          0.9490   1.0000
        76       0.9800          0.9520   1.0000
        77       0.9840          0.9560   1.0000
        78       0.9870          0.9590   1.0000
        79       0.9890          0.9610   1.0000
        80       0.9900          0.9620   1.0000
        81       0.9920          0.9640   1.0000
        82       0.9940          0.9660   1.0000
        83       0.9950          0.9670   1.0000
        84       0.9980          0.9700   1.0000
        85       0.9990          0.9710   1.0000
        86       0.9990          0.9710   1.0000
        87       0.9990          0.9710   1.0000
        88       0.9990          0.9710   1.0000
        89       1.0000          0.9720   1.0000
