METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval extinction risk

Expected minimum abundance = 61.3

 Threshold  Probability     95% confidence interval
        20       0.0010          0.0000   0.0290
        21       0.0010          0.0000   0.0290
        22       0.0010          0.0000   0.0290
        23       0.0010          0.0000   0.0290
        24       0.0010          0.0000   0.0290
        25       0.0010          0.0000   0.0290
        26       0.0020          0.0000   0.0300
        27       0.0020          0.0000   0.0300
        28       0.0020          0.0000   0.0300
        29       0.0030          0.0000   0.0310
        30       0.0040          0.0000   0.0320
        31       0.0050          0.0000   0.0330
        32       0.0050          0.0000   0.0330
        33       0.0070          0.0000   0.0350
        34       0.0070          0.0000   0.0350
        35       0.0090          0.0000   0.0370
        36       0.0100          0.0000   0.0380
        37       0.0100          0.0000   0.0380
        38       0.0130          0.0000   0.0410
        39       0.0160          0.0000   0.0440
        40       0.0230          0.0000   0.0510
        41       0.0270          0.0000   0.0550
        42       0.0320          0.0040   0.0600
        43       0.0410          0.0130   0.0690
        44       0.0500          0.0220   0.0780
        45       0.0590          0.0310   0.0870
        46       0.0680          0.0400   0.0960
        47       0.0820          0.0540   0.1100
        48       0.0980          0.0700   0.1260
        49       0.1130          0.0850   0.1410
        50       0.1280          0.1000   0.1560
        51       0.1500          0.1220   0.1780
        52       0.1660          0.1380   0.1940
        53       0.1930          0.1650   0.2210
        54       0.2180          0.1900   0.2460
        55       0.2590          0.2310   0.2870
        56       0.2820          0.2540   0.3100
        57       0.3050          0.2770   0.3330
        58       0.3490          0.3210   0.3770
        59       0.3880          0.3600   0.4160
        60       0.4410          0.4130   0.4690
        61       0.4820          0.4540   0.5100
        62       0.5210          0.4930   0.5490
        63       0.5620          0.5340   0.5900
        64       0.6150          0.5870   0.6430
        65       0.6530          0.6250   0.6810
        66       0.6860          0.6580   0.7140
        67       0.7240          0.6960   0.7520
        68       0.7720          0.7440   0.8000
        69       0.7970          0.7690   0.8250
        70       0.8290          0.8010   0.8570
        71       0.8530          0.8250   0.8810
        72       0.8880          0.8600   0.9160
        73       0.9100          0.8820   0.9380
        74       0.9300          0.9020   0.9580
        75       0.9490          0.9210   0.9770
        76       0.9730          0.9450   1.0000
        77       0.9790          0.9510   1.0000
        78       0.9850          0.9570   1.0000
        79       0.9880          0.9600   1.0000
        80       0.9920          0.9640   1.0000
        81       0.9950          0.9670   1.0000
        82       0.9990          0.9710   1.0000
        83       0.9990          0.9710   1.0000
        84       0.9990          0.9710   1.0000
        85       1.0000          0.9720   1.0000
