METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval percent decline

Percent decline  Probability     95% confidence interval
        74       0.0010          0.0000   0.0290
        72       0.0010          0.0000   0.0290
        71       0.0010          0.0000   0.0290
        70       0.0010          0.0000   0.0290
        68       0.0010          0.0000   0.0290
        67       0.0010          0.0000   0.0290
        66       0.0020          0.0000   0.0300
        64       0.0020          0.0000   0.0300
        63       0.0020          0.0000   0.0300
        62       0.0030          0.0000   0.0310
        61       0.0040          0.0000   0.0320
        59       0.0050          0.0000   0.0330
        58       0.0050          0.0000   0.0330
        57       0.0070          0.0000   0.0350
        55       0.0070          0.0000   0.0350
        54       0.0090          0.0000   0.0370
        53       0.0100          0.0000   0.0380
        51       0.0100          0.0000   0.0380
        50       0.0130          0.0000   0.0410
        49       0.0160          0.0000   0.0440
        47       0.0230          0.0000   0.0510
        46       0.0270          0.0000   0.0550
        45       0.0320          0.0040   0.0600
        43       0.0410          0.0130   0.0690
        42       0.0500          0.0220   0.0780
        41       0.0590          0.0310   0.0870
        39       0.0680          0.0400   0.0960
        38       0.0820          0.0540   0.1100
        37       0.0980          0.0700   0.1260
        36       0.1130          0.0850   0.1410
        34       0.1280          0.1000   0.1560
        33       0.1500          0.1220   0.1780
        32       0.1660          0.1380   0.1940
        30       0.1930          0.1650   0.2210
        29       0.2180          0.1900   0.2460
        28       0.2590          0.2310   0.2870
        26       0.2820          0.2540   0.3100
        25       0.3050          0.2770   0.3330
        24       0.3490          0.3210   0.3770
        22       0.3880          0.3600   0.4160
        21       0.4410          0.4130   0.4690
        20       0.4820          0.4540   0.5100
        18       0.5210          0.4930   0.5490
        17       0.5620          0.5340   0.5900
        16       0.6150          0.5870   0.6430
        14       0.6530          0.6250   0.6810
        13       0.6860          0.6580   0.7140
        12       0.7240          0.6960   0.7520
        11       0.7720          0.7440   0.8000
         9       0.7970          0.7690   0.8250
         8       0.8290          0.8010   0.8570
         7       0.8530          0.8250   0.8810
         5       0.8880          0.8600   0.9160
         4       0.9100          0.8820   0.9380
         3       0.9300          0.9020   0.9580
         1       0.9490          0.9210   0.9770
         0       0.9730          0.9450   1.0000
         0       0.9790          0.9510   1.0000
         0       0.9850          0.9570   1.0000
         0       0.9880          0.9600   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9950          0.9670   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
