METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 150.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0010          0.0010          0.0000   0.0290
         4       0.0070          0.0080          0.0000   0.0360
         6       0.0250          0.0330          0.0050   0.0610
         8       0.0130          0.0460          0.0180   0.0740
        10       0.0130          0.0590          0.0310   0.0870
        12       0.0070          0.0660          0.0380   0.0940
        14       0.0080          0.0740          0.0460   0.1020
        16       0.0030          0.0770          0.0490   0.1050
        18       0.0060          0.0830          0.0550   0.1110
        20       0.0010          0.0840          0.0560   0.1120
        22       0.0020          0.0860          0.0580   0.1140
        24       0.0050          0.0910          0.0630   0.1190
        26       0.0030          0.0940          0.0660   0.1220
        28       0.0050          0.0990          0.0710   0.1270
        30       0.0020          0.1010          0.0730   0.1290
        32       0.0000          0.1010          0.0730   0.1290
        34       0.0020          0.1030          0.0750   0.1310
        36       0.0010          0.1040          0.0760   0.1320
        38       0.0000          0.1040          0.0760   0.1320
        40       0.0020          0.1060          0.0780   0.1340
        42       0.0000          0.1060          0.0780   0.1340
        44       0.0010          0.1070          0.0790   0.1350
        46       0.0000          0.1070          0.0790   0.1350
        48       0.0000          0.1070          0.0790   0.1350
        50       0.0000          0.1070          0.0790   0.1350
        52       0.0000          0.1070          0.0790   0.1350
        54       0.0000          0.1070          0.0790   0.1350
        56       0.0000          0.1070          0.0790   0.1350
        58       0.0000          0.1070          0.0790   0.1350
        60       0.0000          0.1070          0.0790   0.1350
        62       0.0000          0.1070          0.0790   0.1350
        64       0.0000          0.1070          0.0790   0.1350
        66       0.0000          0.1070          0.0790   0.1350
        68       0.0000          0.1070          0.0790   0.1350
        70       0.0000          0.1070          0.0790   0.1350
        72       0.0000          0.1070          0.0790   0.1350
        74       0.0000          0.1070          0.0790   0.1350
        76       0.0000          0.1070          0.0790   0.1350
        78       0.0000          0.1070          0.0790   0.1350
        80       0.0000          0.1070          0.0790   0.1350
        82       0.0000          0.1070          0.0790   0.1350
        84       0.0000          0.1070          0.0790   0.1350
        86       0.0000          0.1070          0.0790   0.1350
        88       0.0000          0.1070          0.0790   0.1350
        90       0.0000          0.1070          0.0790   0.1350
        92       0.0000          0.1070          0.0790   0.1350
        94       0.0000          0.1070          0.0790   0.1350
        96       0.0000          0.1070          0.0790   0.1350
        98       0.0000          0.1070          0.0790   0.1350
       100       0.0000          0.1070          0.0790   0.1350
