METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
        26       1.0000          0.9720   1.0000
        27       0.9990          0.9710   1.0000
        28       0.9990          0.9710   1.0000
        29       0.9990          0.9710   1.0000
        30       0.9990          0.9710   1.0000
        31       0.9980          0.9700   1.0000
        32       0.9970          0.9690   1.0000
        33       0.9970          0.9690   1.0000
        34       0.9970          0.9690   1.0000
        35       0.9970          0.9690   1.0000
        36       0.9970          0.9690   1.0000
        37       0.9970          0.9690   1.0000
        38       0.9970          0.9690   1.0000
        39       0.9970          0.9690   1.0000
        40       0.9970          0.9690   1.0000
        41       0.9970          0.9690   1.0000
        42       0.9960          0.9680   1.0000
        43       0.9960          0.9680   1.0000
        44       0.9960          0.9680   1.0000
        45       0.9960          0.9680   1.0000
        46       0.9950          0.9670   1.0000
        47       0.9940          0.9660   1.0000
        48       0.9930          0.9650   1.0000
        49       0.9930          0.9650   1.0000
        50       0.9930          0.9650   1.0000
        51       0.9910          0.9630   1.0000
        52       0.9900          0.9620   1.0000
        53       0.9890          0.9610   1.0000
        54       0.9870          0.9590   1.0000
        55       0.9830          0.9550   1.0000
        56       0.9780          0.9500   1.0000
        57       0.9720          0.9440   1.0000
        58       0.9700          0.9420   0.9980
        59       0.9670          0.9390   0.9950
        60       0.9540          0.9260   0.9820
        61       0.9490          0.9210   0.9770
        62       0.9380          0.9100   0.9660
        63       0.9320          0.9040   0.9600
        64       0.9220          0.8940   0.9500
        65       0.9090          0.8810   0.9370
        66       0.8960          0.8680   0.9240
        67       0.8820          0.8540   0.9100
        68       0.8670          0.8390   0.8950
        69       0.8570          0.8290   0.8850
        70       0.8450          0.8170   0.8730
        71       0.8260          0.7980   0.8540
        72       0.8010          0.7730   0.8290
        73       0.7840          0.7560   0.8120
        74       0.7580          0.7300   0.7860
        75       0.7290          0.7010   0.7570
        76       0.7080          0.6800   0.7360
        77       0.6820          0.6540   0.7100
        78       0.6580          0.6300   0.6860
        79       0.6330          0.6050   0.6610
        80       0.6020          0.5740   0.6300
        81       0.5750          0.5470   0.6030
        82       0.5490          0.5210   0.5770
        83       0.5210          0.4930   0.5490
        84       0.5040          0.4760   0.5320
        85       0.4900          0.4620   0.5180
        86       0.4650          0.4370   0.4930
        87       0.4380          0.4100   0.4660
        88       0.4070          0.3790   0.4350
        89       0.3810          0.3530   0.4090
        90       0.3650          0.3370   0.3930
        91       0.3430          0.3150   0.3710
        92       0.3220          0.2940   0.3500
        93       0.2920          0.2640   0.3200
        94       0.2680          0.2400   0.2960
        95       0.2440          0.2160   0.2720
        96       0.2210          0.1930   0.2490
        97       0.1970          0.1690   0.2250
        98       0.1750          0.1470   0.2030
        99       0.1550          0.1270   0.1830
       100       0.1480          0.1200   0.1760
       101       0.1370          0.1090   0.1650
       102       0.1280          0.1000   0.1560
       103       0.1150          0.0870   0.1430
       104       0.1050          0.0770   0.1330
       105       0.0990          0.0710   0.1270
       106       0.0890          0.0610   0.1170
       107       0.0830          0.0550   0.1110
       108       0.0710          0.0430   0.0990
       109       0.0630          0.0350   0.0910
       110       0.0530          0.0250   0.0810
       111       0.0470          0.0190   0.0750
       112       0.0420          0.0140   0.0700
       113       0.0350          0.0070   0.0630
       114       0.0340          0.0060   0.0620
       115       0.0300          0.0020   0.0580
       116       0.0260          0.0000   0.0540
       117       0.0200          0.0000   0.0480
       118       0.0170          0.0000   0.0450
       119       0.0140          0.0000   0.0420
       120       0.0130          0.0000   0.0410
       121       0.0110          0.0000   0.0390
       122       0.0100          0.0000   0.0380
       123       0.0080          0.0000   0.0360
       124       0.0050          0.0000   0.0330
       125       0.0030          0.0000   0.0310
       126       0.0030          0.0000   0.0310
