C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n10\iter506\Z10_506.mp
2
1 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n10\iter506\B10.ptc
2 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n10\iter506\X10_506.ptc
iter Fyear Lyear patch new2old old2new
 1   0   8  1  0  0
 1   0   8  2  0  0
 1   0   8  3  0  0
 1   0   8  4  0  0
 1   0   8  5  0  0
 1   0   8  6  0  0
 1   0   8  7  0  0
 1   0   8  8  0  0
 1   0   8  9  0  0
 1   0   8 10  0  0
 1   0   8 11  0  0
 1   0   8 12  0  0
 1   0   8 13  0  0
 1   0   8 14  0  0
 1   0   8 15  0  0
 1   0   8 16  0  0
 2   9 500  1  2 14
 2   9 500  2  3  1
 2   9 500  3 17  2
 2   9 500  4  4  4
 2   9 500  5  6 15
 2   9 500  6  7  5
 2   9 500  7 18  6
 2   9 500  8 19  9
 2   9 500  9  8 10
 2   9 500 10  9 16
 2   9 500 11 14 12
 2   9 500 12 11 17
 2   9 500 13 15 18
 2   9 500 14  1 11
 2   9 500 15  5 13
 2   9 500 16 10 19
 2   9 500 17 12  3
 2   9 500 18 13  7
 2   9 500 19 16  8
