METAPOPULATION MODEL results; Date=8/3/2023 Time=02:38:17
===========================================================
B10




   19 populations (19 included in summation)
 1000 replications;  Duration = 100
===========================================================

Metapopulation occupancy

      Time             Occupied Populations
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       16.0       16.0       16.0       16.0       16.0
        1       12.0       14.1       14.9       15.8       16.0
        2       10.0       13.0       14.1       15.3       16.0
        3        9.0       12.1       13.4       14.7       16.0
        4        8.0       11.4       12.8       14.2       16.0
        5        8.0       10.8       12.3       13.8       16.0
        6        6.0       10.3       11.8       13.4       16.0
        7        6.0        9.9       11.4       12.9       16.0
        8        6.0        9.6       11.1       12.5       16.0
        9        9.0       12.3       13.7       15.2       19.0
       10        6.0        8.9       10.0       11.1       13.0
       11        5.0        8.5        9.7       10.9       13.0
       12        4.0        8.1        9.3       10.5       13.0
       13        4.0        7.6        8.9       10.2       13.0
       14        4.0        7.2        8.5        9.9       13.0
       15        3.0        6.7        8.1        9.5       13.0
       16        3.0        6.3        7.7        9.1       13.0
       17        3.0        6.0        7.4        8.8       13.0
       18        3.0        5.7        7.1        8.5       13.0
       19        2.0        5.3        6.7        8.2       11.0
       20        2.0        5.0        6.5        7.9       10.0
       21        2.0        4.8        6.2        7.6       10.0
       22        2.0        4.5        5.9        7.4       10.0
       23        2.0        4.3        5.7        7.1       10.0
       24        2.0        4.1        5.5        6.8       10.0
       25        2.0        3.9        5.3        6.6       10.0
       26        1.0        3.7        5.1        6.4       10.0
       27        1.0        3.6        4.9        6.3       10.0
       28        1.0        3.4        4.7        6.1       10.0
       29        1.0        3.2        4.6        5.9        9.0
       30        1.0        3.1        4.4        5.7        9.0
       31        1.0        3.0        4.3        5.6        9.0
       32        1.0        2.9        4.2        5.4        9.0
       33        1.0        2.8        4.1        5.3        9.0
       34        1.0        2.7        3.9        5.2        9.0
       35        1.0        2.7        3.9        5.0        9.0
       36        1.0        2.6        3.8        4.9        9.0
       37        1.0        2.6        3.7        4.8        9.0
       38        1.0        2.5        3.6        4.7        8.0
       39        1.0        2.4        3.5        4.6        8.0
       40        1.0        2.3        3.4        4.5        8.0
       41        1.0        2.3        3.3        4.4        7.0
       42        1.0        2.2        3.3        4.3        7.0
       43        1.0        2.2        3.2        4.3        7.0
       44        1.0        2.1        3.1        4.2        7.0
       45        1.0        2.1        3.1        4.1        6.0
       46        1.0        2.0        3.0        4.0        6.0
       47        1.0        2.0        3.0        4.0        6.0
       48        1.0        2.0        2.9        3.9        6.0
       49        1.0        1.9        2.9        3.8        6.0
       50        1.0        1.9        2.8        3.8        6.0
       51        1.0        1.9        2.8        3.7        6.0
       52        1.0        1.8        2.8        3.7        6.0
       53        0.0        1.8        2.7        3.6        6.0
       54        0.0        1.8        2.7        3.6        5.0
       55        0.0        1.7        2.6        3.5        5.0
       56        0.0        1.7        2.6        3.5        5.0
       57        0.0        1.7        2.6        3.5        5.0
       58        0.0        1.7        2.6        3.4        5.0
       59        0.0        1.7        2.5        3.4        5.0
       60        0.0        1.6        2.5        3.3        5.0
       61        0.0        1.6        2.5        3.3        5.0
       62        0.0        1.6        2.4        3.3        5.0
       63        0.0        1.6        2.4        3.2        5.0
       64        0.0        1.6        2.4        3.2        5.0
       65        0.0        1.6        2.4        3.2        5.0
       66        0.0        1.5        2.3        3.2        5.0
       67        0.0        1.5        2.3        3.1        5.0
       68        0.0        1.5        2.3        3.1        5.0
       69        0.0        1.5        2.3        3.1        5.0
       70        0.0        1.5        2.3        3.0        5.0
       71        0.0        1.5        2.2        3.0        5.0
       72        0.0        1.4        2.2        3.0        5.0
       73        0.0        1.4        2.2        2.9        5.0
       74        0.0        1.4        2.2        2.9        5.0
       75        0.0        1.4        2.1        2.9        5.0
       76        0.0        1.4        2.1        2.9        5.0
       77        0.0        1.4        2.1        2.8        5.0
       78        0.0        1.4        2.1        2.8        5.0
       79        0.0        1.4        2.1        2.8        5.0
       80        0.0        1.4        2.1        2.8        5.0
       81        0.0        1.3        2.0        2.7        5.0
       82        0.0        1.3        2.0        2.7        5.0
       83        0.0        1.3        2.0        2.7        5.0
       84        0.0        1.3        2.0        2.7        4.0
       85        0.0        1.3        2.0        2.6        4.0
       86        0.0        1.3        2.0        2.6        4.0
       87        0.0        1.3        2.0        2.6        4.0
       88        0.0        1.3        2.0        2.6        4.0
       89        0.0        1.3        1.9        2.6        4.0
       90        0.0        1.3        1.9        2.6        4.0
       91        0.0        1.3        1.9        2.6        4.0
       92        0.0        1.3        1.9        2.6        4.0
       93        0.0        1.3        1.9        2.6        4.0
       94        0.0        1.3        1.9        2.5        4.0
       95        0.0        1.3        1.9        2.5        4.0
       96        0.0        1.3        1.9        2.5        4.0
       97        0.0        1.2        1.9        2.5        4.0
       98        0.0        1.2        1.9        2.5        4.0
       99        0.0        1.2        1.9        2.5        4.0
      100        0.0        1.2        1.9        2.5        4.0
