METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0     278.00     278.00     278.00     278.00     278.00
        1     280.00     321.92     340.21     358.50     410.00
        2     301.00     362.86     389.16     415.45     474.00
        3     319.00     394.11     424.53     454.94     512.00
        4     343.00     416.00     446.92     477.84     542.00
        5     357.00     431.05     462.56     494.07     565.00
        6     368.00     441.36     472.61     503.85     587.00
        7     376.00     447.31     477.94     508.57     562.00
        8     390.00     450.08     480.85     511.62     571.00
        9     384.00     449.33     481.14     512.96     589.00
       10     390.00     451.96     481.73     511.49     580.00
       11     398.00     452.02     482.27     512.52     570.00
       12     391.00     450.56     480.92     511.28     577.00
       13     381.00     448.20     479.08     509.95     572.00
       14     373.00     448.62     479.37     510.12     569.00
       15     388.00     448.70     478.62     508.53     569.00
       16     388.00     445.73     476.75     507.77     570.00
       17     399.00     445.50     475.55     505.60     572.00
       18     378.00     444.43     474.54     504.65     571.00
       19     385.00     442.86     472.90     502.94     566.00
       20     393.00     442.43     472.47     502.51     568.00
       21     373.00     441.78     471.98     502.18     573.00
       22     352.00     439.43     469.70     499.96     566.00
       23     356.00     438.33     469.26     500.19     563.00
       24     363.00     437.57     467.38     497.19     575.00
       25     369.00     437.09     466.14     495.18     562.00
       26     374.00     436.87     465.71     494.55     557.00
       27     350.00     434.03     464.86     495.70     558.00
       28     370.00     434.43     464.55     494.67     564.00
       29     353.00     431.46     462.05     492.63     576.00
       30     368.00     431.70     461.36     491.01     552.00
       31     361.00     431.81     461.21     490.60     565.00
       32     381.00     432.16     461.07     489.99     551.00
       33     371.00     431.35     460.61     489.87     548.00
       34     368.00     429.07     459.62     490.18     574.00
       35     364.00     427.79     458.51     489.24     553.00
       36     363.00     427.79     458.28     488.77     599.00
       37     348.00     425.18     455.82     486.47     557.00
       38     363.00     426.28     456.72     487.16     573.00
       39     367.00     425.80     455.84     485.88     564.00
       40     360.00     425.05     455.56     486.07     540.00
       41     353.00     422.97     453.37     483.78     537.00
       42     324.00     423.17     453.07     482.96     536.00
       43     343.00     421.70     453.08     484.45     540.00
       44     348.00     423.50     453.69     483.88     540.00
       45     341.00     422.65     453.02     483.38     548.00
       46     346.00     422.48     452.43     482.39     554.00
       47     356.00     420.83     450.74     480.64     534.00
       48     362.00     419.62     450.83     482.04     542.00
       49     352.00     418.97     449.89     480.82     550.00
       50     357.00     419.34     449.56     479.77     537.00
       51     329.00     417.81     449.04     480.28     542.00
       52     333.00     418.97     450.38     481.78     545.00
       53     343.00     417.51     449.19     480.87     567.00
       54     340.00     416.90     447.38     477.85     581.00
       55     337.00     416.81     447.60     478.39     544.00
       56     349.00     416.40     447.77     479.15     559.00
       57     343.00     415.41     446.26     477.11     545.00
       58     358.00     415.33     446.53     477.72     553.00
       59     349.00     415.03     446.21     477.39     542.00
       60     342.00     414.71     445.23     475.75     539.00
       61     339.00     413.16     444.62     476.08     552.00
       62     351.00     412.99     444.86     476.72     547.00
       63     339.00     412.29     443.11     473.93     536.00
       64     354.00     412.14     442.57     473.00     539.00
       65     332.00     411.86     443.30     474.75     525.00
       66     356.00     411.83     442.58     473.34     544.00
       67     336.00     410.53     441.21     471.89     529.00
       68     334.00     410.52     441.15     471.78     543.00
       69     355.00     410.50     440.64     470.79     527.00
       70     345.00     410.70     440.88     471.07     557.00
       71     344.00     410.02     440.34     470.66     534.00
       72     340.00     410.18     440.74     471.30     543.00
       73     348.00     409.29     439.52     469.76     529.00
       74     355.00     410.11     440.09     470.08     538.00
       75     355.00     410.35     440.39     470.43     545.00
       76     344.00     408.70     439.83     470.96     557.00
       77     333.00     407.93     438.24     468.55     555.00
       78     341.00     407.55     438.68     469.81     558.00
       79     355.00     408.54     439.57     470.60     523.00
       80     344.00     408.20     438.52     468.85     536.00
       81     346.00     408.48     438.39     468.30     531.00
       82     340.00     407.25     437.76     468.27     542.00
       83     354.00     406.91     437.92     468.93     555.00
       84     331.00     406.57     437.42     468.28     548.00
       85     316.00     406.89     436.63     466.37     528.00
       86     349.00     405.49     436.43     467.36     555.00
       87     317.00     404.55     435.42     466.30     536.00
       88     330.00     404.53     434.77     465.00     529.00
       89     339.00     403.37     433.95     464.53     529.00
       90     327.00     402.24     432.54     462.83     512.00
       91     339.00     403.10     433.24     463.39     525.00
       92     338.00     403.78     434.16     464.55     524.00
       93     350.00     402.45     433.14     463.83     519.00
       94     342.00     402.24     433.28     464.31     535.00
       95     342.00     403.65     433.43     463.21     529.00
       96     321.00     401.77     432.63     463.49     537.00
       97     320.00     402.19     432.45     462.71     540.00
       98     314.00     402.23     432.10     461.96     533.00
       99     316.00     401.24     431.15     461.06     542.00
      100     321.00     400.53     431.40     462.28     521.00

                    Percentiles of final total abundance
               5th       25th       50th       75th       95th 
      100     380.00     411.00     431.00     453.00     481.00

Trajectory summary (Population 1: Pop 1)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      37.00      37.00      37.00      37.00      37.00
        1      23.00      38.75      45.27      51.80      76.00
        2      30.00      43.83      53.08      62.33      85.00
        3      26.00      48.46      59.20      69.93      97.00
        4      31.00      52.35      63.47      74.59     105.00
        5      36.00      55.68      67.43      79.17     105.00
        6      32.00      58.54      69.74      80.94     107.00
        7      39.00      60.72      71.47      82.22     106.00
        8      36.00      61.25      72.21      83.18     104.00
        9      38.00      61.59      72.54      83.49     107.00
       10      37.00      62.12      72.95      83.79     114.00
       11      44.00      63.03      73.78      84.53     112.00
       12      39.00      62.68      73.37      84.06     110.00
       13      44.00      62.52      73.52      84.52     110.00
       14      40.00      63.06      73.97      84.88     112.00
       15      27.00      62.75      73.64      84.52     106.00
       16      26.00      62.57      73.99      85.41     111.00
       17      23.00      62.37      73.67      84.97     109.00
       18      27.00      62.29      73.42      84.55     114.00
       19      39.00      62.15      73.43      84.71     110.00
       20      44.00      63.25      74.18      85.10     109.00
       21      40.00      63.09      73.97      84.86     106.00
       22      42.00      63.07      74.05      85.03     108.00
       23      47.00      63.28      74.24      85.19     110.00
       24      39.00      62.98      73.87      84.75     108.00
       25      39.00      63.60      74.26      84.93     104.00
       26      40.00      63.05      73.80      84.56     109.00
       27      38.00      62.55      73.66      84.77     109.00
       28      43.00      62.99      73.83      84.67     109.00
       29      37.00      62.35      73.55      84.75     108.00
       30      42.00      62.67      73.66      84.65     107.00
       31      36.00      63.22      74.06      84.90     113.00
       32      44.00      63.27      74.01      84.75     112.00
       33      44.00      63.22      73.78      84.34     108.00
       34      41.00      63.05      73.57      84.10     104.00
       35      36.00      62.47      73.25      84.02     108.00
       36      42.00      62.71      73.59      84.46     104.00
       37      42.00      62.17      73.11      84.04     107.00
       38      41.00      62.86      73.80      84.74     111.00
       39      42.00      63.06      73.76      84.45     106.00
       40      38.00      62.82      73.54      84.27     109.00
       41      39.00      62.73      73.35      83.97     105.00
       42      41.00      62.90      73.71      84.53     110.00
       43      39.00      62.36      73.68      85.01     112.00
       44      40.00      62.70      74.01      85.33     110.00
       45      40.00      62.44      73.74      85.04     111.00
       46      43.00      62.94      73.90      84.86     107.00
       47      43.00      62.38      73.18      83.98     106.00
       48      33.00      63.01      73.64      84.26     112.00
       49      41.00      63.05      73.84      84.64     107.00
       50      41.00      62.94      74.07      85.21     113.00
       51      36.00      62.80      73.91      85.02     111.00
       52      41.00      63.17      74.24      85.30     113.00
       53      44.00      62.57      73.67      84.77     111.00
       54      40.00      62.56      73.63      84.71     109.00
       55      43.00      62.51      73.59      84.66     112.00
       56      44.00      62.49      73.42      84.36     109.00
       57      37.00      62.57      73.35      84.13     107.00
       58      39.00      62.80      73.39      83.98     110.00
       59      36.00      62.60      73.42      84.25     111.00
       60      39.00      62.41      73.64      84.86     113.00
       61      39.00      62.91      73.63      84.35     106.00
       62      39.00      62.59      73.56      84.53     111.00
       63      42.00      63.28      73.80      84.33     114.00
       64      37.00      62.98      73.60      84.21     108.00
       65      45.00      62.82      73.79      84.76     118.00
       66      35.00      63.30      74.06      84.83     107.00
       67      37.00      62.82      73.87      84.91     120.00
       68      45.00      62.96      74.09      85.22     114.00
       69      45.00      63.17      74.08      84.99     110.00
       70      42.00      63.38      74.11      84.84     111.00
       71      41.00      63.51      74.39      85.27     109.00
       72      35.00      63.28      74.20      85.12     112.00
       73      44.00      63.20      73.59      83.97     109.00
       74      38.00      62.96      73.74      84.52     110.00
       75      38.00      63.37      74.00      84.63     107.00
       76      43.00      62.72      73.65      84.58     108.00
       77      43.00      62.66      73.18      83.70     108.00
       78      42.00      63.08      73.97      84.86     107.00
       79      42.00      63.44      74.19      84.94     106.00
       80      42.00      62.99      73.94      84.90     108.00
       81      42.00      63.29      73.89      84.50     107.00
       82      41.00      63.15      73.95      84.76     109.00
       83      34.00      62.38      73.64      84.89     108.00
       84      41.00      62.70      73.74      84.78     111.00
       85      34.00      62.69      73.79      84.88     117.00
       86      33.00      62.79      73.63      84.47     113.00
       87      40.00      62.93      73.64      84.35     110.00
       88      42.00      62.71      73.28      83.84     104.00
       89      40.00      62.77      73.75      84.73     109.00
       90      43.00      62.94      73.56      84.18     116.00
       91      43.00      63.13      73.65      84.18     106.00
       92      42.00      63.32      73.87      84.42     108.00
       93      40.00      62.82      73.22      83.63     108.00
       94      41.00      62.61      73.43      84.26     108.00
       95      40.00      62.74      73.39      84.05     117.00
       96      44.00      62.55      73.23      83.92     113.00
       97      43.00      62.47      72.98      83.50     103.00
