C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\B20.mp
2
1 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\B20.ptc
2 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n20\B20.ptc
iter Fyear Lyear patch new2old old2new
 1   0  98  1  0  0
 1   0  98  2  0  0
 1   0  98  3  0  0
 1   0  98  4  0  0
 1   0  98  5  0  0
 1   0  98  6  0  0
 1   0  98  7  0  0
 1   0  98  8  0  0
 1   0  98  9  0  0
 1   0  98 10  0  0
 1   0  98 11  0  0
 1   0  98 12  0  0
 1   0  98 13  0  0
 1   0  98 14  0  0
 1   0  98 15  0  0
 1   0  98 16  0  0
 1   0  98 17  0  0
 1   0  98 18  0  0
 1   0  98 19  0  0
 1   0  98 20  0  0
 1   0  98 21  0  0
 1   0  98 22  0  0
 1   0  98 23  0  0
 1   0  98 24  0  0
 1   0  98 25  0  0
 1   0  98 26  0  0
 1   0  98 27  0  0
 1   0  98 28  0  0
 1   0  98 29  0  0
 1   0  98 30  0  0
 1   0  98 31  0  0
 1   0  98 32  0  0
 1   0  98 33  0  0
 1   0  98 34  0  0
 1   0  98 35  0  0
 2  99 500  1  1  1
 2  99 500  2  2  2
 2  99 500  3  3  3
 2  99 500  4  4  4
 2  99 500  5  5  5
 2  99 500  6  6  6
 2  99 500  7  7  7
 2  99 500  8  8  8
 2  99 500  9  9  9
 2  99 500 10 10 10
 2  99 500 11 11 11
 2  99 500 12 12 12
 2  99 500 13 13 13
 2  99 500 14 14 14
 2  99 500 15 15 15
 2  99 500 16 16 16
 2  99 500 17 17 17
 2  99 500 18 18 18
 2  99 500 19 19 19
 2  99 500 20 20 20
 2  99 500 21 21 21
 2  99 500 22 22 22
 2  99 500 23 23 23
 2  99 500 24 24 24
 2  99 500 25 25 25
 2  99 500 26 26 26
 2  99 500 27 27 27
 2  99 500 28 28 28
 2  99 500 29 29 29
 2  99 500 30 30 30
 2  99 500 31 31 31
 2  99 500 32 32 32
 2  99 500 33 33 33
 2  99 500 34 34 34
 2  99 500 35 35 35
