METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
       477       1.0000          0.9720   1.0000
       478       0.9990          0.9710   1.0000
       479       0.9990          0.9710   1.0000
       480       0.9990          0.9710   1.0000
       481       0.9980          0.9700   1.0000
       482       0.9980          0.9700   1.0000
       483       0.9960          0.9680   1.0000
       484       0.9950          0.9670   1.0000
       485       0.9940          0.9660   1.0000
       486       0.9930          0.9650   1.0000
       487       0.9930          0.9650   1.0000
       488       0.9920          0.9640   1.0000
       489       0.9900          0.9620   1.0000
       490       0.9890          0.9610   1.0000
       491       0.9880          0.9600   1.0000
       492       0.9870          0.9590   1.0000
       493       0.9860          0.9580   1.0000
       494       0.9840          0.9560   1.0000
       495       0.9810          0.9530   1.0000
       496       0.9790          0.9510   1.0000
       497       0.9760          0.9480   1.0000
       498       0.9730          0.9450   1.0000
       499       0.9690          0.9410   0.9970
       500       0.9650          0.9370   0.9930
       501       0.9560          0.9280   0.9840
       502       0.9480          0.9200   0.9760
       503       0.9380          0.9100   0.9660
       504       0.9210          0.8930   0.9490
       505       0.9160          0.8880   0.9440
       506       0.9000          0.8720   0.9280
       507       0.8920          0.8640   0.9200
       508       0.8860          0.8580   0.9140
       509       0.8760          0.8480   0.9040
       510       0.8550          0.8270   0.8830
       511       0.8390          0.8110   0.8670
       512       0.8280          0.8000   0.8560
       513       0.8130          0.7850   0.8410
       514       0.7970          0.7690   0.8250
       515       0.7830          0.7550   0.8110
       516       0.7680          0.7400   0.7960
       517       0.7560          0.7280   0.7840
       518       0.7450          0.7170   0.7730
       519       0.7260          0.6980   0.7540
       520       0.7060          0.6780   0.7340
       521       0.6790          0.6510   0.7070
       522       0.6550          0.6270   0.6830
       523       0.6330          0.6050   0.6610
       524       0.6180          0.5900   0.6460
       525       0.5950          0.5670   0.6230
       526       0.5770          0.5490   0.6050
       527       0.5570          0.5290   0.5850
       528       0.5420          0.5140   0.5700
       529       0.5190          0.4910   0.5470
       530       0.4990          0.4710   0.5270
       531       0.4710          0.4430   0.4990
       532       0.4450          0.4170   0.4730
       533       0.4220          0.3940   0.4500
       534       0.4010          0.3730   0.4290
       535       0.3760          0.3480   0.4040
       536       0.3620          0.3340   0.3900
       537       0.3420          0.3140   0.3700
       538       0.3250          0.2970   0.3530
       539       0.3020          0.2740   0.3300
       540       0.2880          0.2600   0.3160
       541       0.2690          0.2410   0.2970
       542       0.2530          0.2250   0.2810
       543       0.2390          0.2110   0.2670
       544       0.2300          0.2020   0.2580
       545       0.2170          0.1890   0.2450
       546       0.2000          0.1720   0.2280
       547       0.1910          0.1630   0.2190
       548       0.1790          0.1510   0.2070
       549       0.1680          0.1400   0.1960
       550       0.1630          0.1350   0.1910
       551       0.1540          0.1260   0.1820
       552       0.1450          0.1170   0.1730
       553       0.1320          0.1040   0.1600
       554       0.1200          0.0920   0.1480
       555       0.1090          0.0810   0.1370
       556       0.0990          0.0710   0.1270
       557       0.0910          0.0630   0.1190
       558       0.0810          0.0530   0.1090
       559       0.0730          0.0450   0.1010
       560       0.0670          0.0390   0.0950
       561       0.0620          0.0340   0.0900
       562       0.0580          0.0300   0.0860
       563       0.0520          0.0240   0.0800
       564       0.0480          0.0200   0.0760
       565       0.0440          0.0160   0.0720
       566       0.0410          0.0130   0.0690
       567       0.0340          0.0060   0.0620
       568       0.0300          0.0020   0.0580
       569       0.0280          0.0000   0.0560
       570       0.0220          0.0000   0.0500
       571       0.0190          0.0000   0.0470
       572       0.0170          0.0000   0.0450
       573       0.0150          0.0000   0.0430
       574       0.0120          0.0000   0.0400
       575       0.0110          0.0000   0.0390
       576       0.0100          0.0000   0.0380
       577       0.0080          0.0000   0.0360
       578       0.0070          0.0000   0.0350
       579       0.0070          0.0000   0.0350
       580       0.0060          0.0000   0.0340
       581       0.0050          0.0000   0.0330
       582       0.0030          0.0000   0.0310
       583       0.0030          0.0000   0.0310
       584       0.0030          0.0000   0.0310
       585       0.0030          0.0000   0.0310
       586       0.0030          0.0000   0.0310
       587       0.0030          0.0000   0.0310
       588       0.0020          0.0000   0.0300
       589       0.0020          0.0000   0.0300
       590       0.0010          0.0000   0.0290
       591       0.0010          0.0000   0.0290
       592       0.0010          0.0000   0.0290
       593       0.0010          0.0000   0.0290
       594       0.0010          0.0000   0.0290
       595       0.0010          0.0000   0.0290
       596       0.0010          0.0000   0.0290
       597       0.0010          0.0000   0.0290
       598       0.0010          0.0000   0.0290
       599       0.0010          0.0000   0.0290
