METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval percent decline

Percent decline  Probability     95% confidence interval
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0030          0.0000   0.0310
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0040          0.0000   0.0320
         0       0.0060          0.0000   0.0340
         0       0.0060          0.0000   0.0340
         0       0.0060          0.0000   0.0340
         0       0.0070          0.0000   0.0350
         0       0.0070          0.0000   0.0350
         0       0.0070          0.0000   0.0350
         0       0.0080          0.0000   0.0360
         0       0.0090          0.0000   0.0370
         0       0.0100          0.0000   0.0380
         0       0.0110          0.0000   0.0390
         0       0.0150          0.0000   0.0430
         0       0.0210          0.0000   0.0490
         0       0.0230          0.0000   0.0510
         0       0.0260          0.0000   0.0540
         0       0.0290          0.0010   0.0570
         0       0.0300          0.0020   0.0580
         0       0.0340          0.0060   0.0620
         0       0.0390          0.0110   0.0670
         0       0.0460          0.0180   0.0740
         0       0.0490          0.0210   0.0770
         0       0.0550          0.0270   0.0830
         0       0.0640          0.0360   0.0920
         0       0.0690          0.0410   0.0970
         0       0.0790          0.0510   0.1070
         0       0.0910          0.0630   0.1190
         0       0.1050          0.0770   0.1330
         0       0.1110          0.0830   0.1390
         0       0.1170          0.0890   0.1450
         0       0.1310          0.1030   0.1590
         0       0.1470          0.1190   0.1750
         0       0.1610          0.1330   0.1890
         0       0.1710          0.1430   0.1990
         0       0.1840          0.1560   0.2120
         0       0.1950          0.1670   0.2230
         0       0.2080          0.1800   0.2360
         0       0.2210          0.1930   0.2490
         0       0.2370          0.2090   0.2650
         0       0.2560          0.2280   0.2840
         0       0.2780          0.2500   0.3060
         0       0.2990          0.2710   0.3270
         0       0.3220          0.2940   0.3500
         0       0.3440          0.3160   0.3720
         0       0.3610          0.3330   0.3890
         0       0.3860          0.3580   0.4140
         0       0.4040          0.3760   0.4320
         0       0.4310          0.4030   0.4590
         0       0.4520          0.4240   0.4800
         0       0.4710          0.4430   0.4990
         0       0.4930          0.4650   0.5210
         0       0.5150          0.4870   0.5430
         0       0.5360          0.5080   0.5640
         0       0.5600          0.5320   0.5880
         0       0.5860          0.5580   0.6140
         0       0.6040          0.5760   0.6320
         0       0.6310          0.6030   0.6590
         0       0.6510          0.6230   0.6790
         0       0.6680          0.6400   0.6960
         0       0.6810          0.6530   0.7090
         0       0.6960          0.6680   0.7240
         0       0.7200          0.6920   0.7480
         0       0.7440          0.7160   0.7720
         0       0.7630          0.7350   0.7910
         0       0.7810          0.7530   0.8090
         0       0.7940          0.7660   0.8220
         0       0.8070          0.7790   0.8350
         0       0.8300          0.8020   0.8580
         0       0.8430          0.8150   0.8710
         0       0.8580          0.8300   0.8860
         0       0.8720          0.8440   0.9000
         0       0.8820          0.8540   0.9100
         0       0.8900          0.8620   0.9180
         0       0.8980          0.8700   0.9260
         0       0.9120          0.8840   0.9400
         0       0.9250          0.8970   0.9530
         0       0.9320          0.9040   0.9600
         0       0.9410          0.9130   0.9690
         0       0.9470          0.9190   0.9750
         0       0.9570          0.9290   0.9850
         0       0.9600          0.9320   0.9880
         0       0.9640          0.9360   0.9920
         0       0.9680          0.9400   0.9960
         0       0.9750          0.9470   1.0000
         0       0.9760          0.9480   1.0000
         0       0.9780          0.9500   1.0000
         0       0.9820          0.9540   1.0000
         0       0.9830          0.9550   1.0000
         0       0.9860          0.9580   1.0000
         0       0.9880          0.9600   1.0000
         0       0.9880          0.9600   1.0000
         0       0.9880          0.9600   1.0000
         0       0.9900          0.9620   1.0000
         0       0.9930          0.9650   1.0000
         0       0.9940          0.9660   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
