METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......        0.0        0.0        0.0        0.0        0.0
 2 Pop 2.......        0.0       -2.6        0.1        2.9       68.0
 3 Pop 3.......       38.0       85.6       93.6      101.7      100.0
 4 Pop 4.......        0.0       -9.5        2.0       13.6       97.0
 5 Pop 5.......        0.0        4.3       39.8       75.2      100.0
 6 Pop 6.......        0.0      -13.8        8.9       31.7       98.0
 7 Pop 7.......       32.0       82.1       91.4      100.6      100.0
 8 Pop 8.......        0.0       -8.4        1.5       11.5       99.0
 9 Pop 9.......        0.0       -2.7        0.1        3.0       64.0
10 Pop 10......       52.0       85.5       93.7      101.9      100.0
11 Pop 11......       24.0       84.0       93.3      102.6      100.0
12 Pop 12......        0.0        0.0        0.0        0.0        0.0
13 Pop 13......        0.0        0.0        0.0        0.0        0.0
14 Pop 14......       59.0       90.3       95.8      101.3      100.0
15 Pop 15......       37.0       84.6       93.5      102.5      100.0
16 Pop 16......        0.0       31.1       63.4       95.7      100.0
17 Pop 17......        0.0      -11.1        2.6       16.3       99.0
18 Pop 18......        0.0       42.5       70.3       98.1      100.0
19 Pop 19......        0.0       -2.9        0.1        3.1       72.0
20 Pop 20......        0.0       42.7       70.4       98.2      100.0
21 Pop 21......        0.0       45.9       72.0       98.1      100.0
22 Pop 22......        0.0       41.5       70.0       98.4      100.0
23 Pop 23......        0.0      -14.6       14.8       44.2       99.0
24 Pop 24......        0.0       62.6       82.4      102.2      100.0
25 Pop 25......        0.0       -2.8        0.1        3.0       92.0
26 Pop 26......        0.0       -3.1       32.3       67.7      100.0
27 Pop 27......        0.0       -5.0       31.1       67.2      100.0
28 Pop 28......        0.0      -14.5        9.4       33.2       99.0
29 Pop 29......        0.0      -14.6        7.5       29.6       99.0
30 Pop 30......        8.0       73.1       87.2      101.3      100.0
31 Pop 31......       24.0       82.2       91.3      100.5      100.0
32 Pop 32......        0.0      -13.0       16.7       46.4      100.0
33 Pop 33......       45.0       83.1       91.7      100.3      100.0
34 Pop 34......        0.0       71.8       86.7      101.5      100.0
35 Pop 35......       38.0       85.2       93.8      102.4      100.0
