METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
       321       1.0000          0.9720   1.0000
       322       0.9990          0.9710   1.0000
       323       0.9990          0.9710   1.0000
       324       0.9990          0.9710   1.0000
       325       0.9990          0.9710   1.0000
       326       0.9990          0.9710   1.0000
       327       0.9990          0.9710   1.0000
       328       0.9980          0.9700   1.0000
       329       0.9980          0.9700   1.0000
       330       0.9980          0.9700   1.0000
       331       0.9980          0.9700   1.0000
       332       0.9980          0.9700   1.0000
       333       0.9980          0.9700   1.0000
       334       0.9980          0.9700   1.0000
       335       0.9980          0.9700   1.0000
       336       0.9980          0.9700   1.0000
       337       0.9980          0.9700   1.0000
       338       0.9980          0.9700   1.0000
       339       0.9980          0.9700   1.0000
       340       0.9970          0.9690   1.0000
       341       0.9970          0.9690   1.0000
       342       0.9970          0.9690   1.0000
       343       0.9970          0.9690   1.0000
       344       0.9970          0.9690   1.0000
       345       0.9960          0.9680   1.0000
       346       0.9960          0.9680   1.0000
       347       0.9960          0.9680   1.0000
       348       0.9960          0.9680   1.0000
       349       0.9960          0.9680   1.0000
       350       0.9960          0.9680   1.0000
       351       0.9960          0.9680   1.0000
       352       0.9950          0.9670   1.0000
       353       0.9950          0.9670   1.0000
       354       0.9930          0.9650   1.0000
       355       0.9920          0.9640   1.0000
       356       0.9910          0.9630   1.0000
       357       0.9910          0.9630   1.0000
       358       0.9910          0.9630   1.0000
       359       0.9880          0.9600   1.0000
       360       0.9880          0.9600   1.0000
       361       0.9870          0.9590   1.0000
       362       0.9860          0.9580   1.0000
       363       0.9850          0.9570   1.0000
       364       0.9840          0.9560   1.0000
       365       0.9840          0.9560   1.0000
       366       0.9840          0.9560   1.0000
       367       0.9810          0.9530   1.0000
       368       0.9800          0.9520   1.0000
       369       0.9770          0.9490   1.0000
       370       0.9750          0.9470   1.0000
       371       0.9730          0.9450   1.0000
       372       0.9730          0.9450   1.0000
       373       0.9690          0.9410   0.9970
       374       0.9660          0.9380   0.9940
       375       0.9650          0.9370   0.9930
       376       0.9630          0.9350   0.9910
       377       0.9590          0.9310   0.9870
       378       0.9570          0.9290   0.9850
       379       0.9540          0.9260   0.9820
       380       0.9510          0.9230   0.9790
       381       0.9480          0.9200   0.9760
       382       0.9440          0.9160   0.9720
       383       0.9430          0.9150   0.9710
       384       0.9420          0.9140   0.9700
       385       0.9380          0.9100   0.9660
       386       0.9360          0.9080   0.9640
       387       0.9300          0.9020   0.9580
       388       0.9240          0.8960   0.9520
       389       0.9180          0.8900   0.9460
       390       0.9150          0.8870   0.9430
       391       0.9080          0.8800   0.9360
       392       0.9000          0.8720   0.9280
       393       0.8940          0.8660   0.9220
       394       0.8850          0.8570   0.9130
       395       0.8800          0.8520   0.9080
       396       0.8730          0.8450   0.9010
       397       0.8660          0.8380   0.8940
       398       0.8600          0.8320   0.8880
       399       0.8560          0.8280   0.8840
       400       0.8500          0.8220   0.8780
       401       0.8430          0.8150   0.8710
       402       0.8310          0.8030   0.8590
       403       0.8240          0.7960   0.8520
       404       0.8160          0.7880   0.8440
       405       0.8090          0.7810   0.8370
       406       0.7980          0.7700   0.8260
       407       0.7890          0.7610   0.8170
       408       0.7780          0.7500   0.8060
       409       0.7710          0.7430   0.7990
       410       0.7650          0.7370   0.7930
       411       0.7600          0.7320   0.7880
       412       0.7490          0.7210   0.7770
       413       0.7400          0.7120   0.7680
       414       0.7260          0.6980   0.7540
       415       0.7140          0.6860   0.7420
       416       0.7030          0.6750   0.7310
       417       0.6920          0.6640   0.7200
       418       0.6790          0.6510   0.7070
       419       0.6750          0.6470   0.7030
       420       0.6650          0.6370   0.6930
       421       0.6500          0.6220   0.6780
       422       0.6360          0.6080   0.6640
       423       0.6240          0.5960   0.6520
       424       0.6110          0.5830   0.6390
       425       0.5890          0.5610   0.6170
       426       0.5770          0.5490   0.6050
       427       0.5590          0.5310   0.5870
       428       0.5430          0.5150   0.5710
       429       0.5360          0.5080   0.5640
       430       0.5260          0.4980   0.5540
       431       0.5110          0.4830   0.5390
       432       0.4960          0.4680   0.5240
       433       0.4860          0.4580   0.5140
       434       0.4710          0.4430   0.4990
       435       0.4600          0.4320   0.4880
       436       0.4450          0.4170   0.4730
       437       0.4340          0.4060   0.4620
       438       0.4200          0.3920   0.4480
       439       0.4110          0.3830   0.4390
       440       0.3960          0.3680   0.4240
       441       0.3890          0.3610   0.4170
       442       0.3780          0.3500   0.4060
       443       0.3670          0.3390   0.3950
       444       0.3530          0.3250   0.3810
       445       0.3430          0.3150   0.3710
       446       0.3340          0.3060   0.3620
       447       0.3240          0.2960   0.3520
       448       0.3070          0.2790   0.3350
       449       0.2940          0.2660   0.3220
       450       0.2860          0.2580   0.3140
       451       0.2750          0.2470   0.3030
       452       0.2670          0.2390   0.2950
       453       0.2590          0.2310   0.2870
