METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
       421       1.0000          0.9720   1.0000
       422       0.9990          0.9710   1.0000
       423       0.9980          0.9700   1.0000
       424       0.9970          0.9690   1.0000
       425       0.9970          0.9690   1.0000
       426       0.9960          0.9680   1.0000
       427       0.9950          0.9670   1.0000
       428       0.9950          0.9670   1.0000
       429       0.9950          0.9670   1.0000
       430       0.9950          0.9670   1.0000
       431       0.9950          0.9670   1.0000
       432       0.9940          0.9660   1.0000
       433       0.9940          0.9660   1.0000
       434       0.9930          0.9650   1.0000
       435       0.9930          0.9650   1.0000
       436       0.9930          0.9650   1.0000
       437       0.9920          0.9640   1.0000
       438       0.9920          0.9640   1.0000
       439       0.9910          0.9630   1.0000
       440       0.9910          0.9630   1.0000
       441       0.9900          0.9620   1.0000
       442       0.9880          0.9600   1.0000
       443       0.9870          0.9590   1.0000
       444       0.9860          0.9580   1.0000
       445       0.9840          0.9560   1.0000
       446       0.9820          0.9540   1.0000
       447       0.9790          0.9510   1.0000
       448       0.9780          0.9500   1.0000
       449       0.9750          0.9470   1.0000
       450       0.9730          0.9450   1.0000
       451       0.9690          0.9410   0.9970
       452       0.9690          0.9410   0.9970
       453       0.9660          0.9380   0.9940
       454       0.9620          0.9340   0.9900
       455       0.9600          0.9320   0.9880
       456       0.9580          0.9300   0.9860
       457       0.9550          0.9270   0.9830
       458       0.9480          0.9200   0.9760
       459       0.9430          0.9150   0.9710
       460       0.9410          0.9130   0.9690
       461       0.9400          0.9120   0.9680
       462       0.9370          0.9090   0.9650
       463       0.9310          0.9030   0.9590
       464       0.9240          0.8960   0.9520
       465       0.9200          0.8920   0.9480
       466       0.9150          0.8870   0.9430
       467       0.9100          0.8820   0.9380
       468       0.9040          0.8760   0.9320
       469       0.8930          0.8650   0.9210
       470       0.8860          0.8580   0.9140
       471       0.8780          0.8500   0.9060
       472       0.8670          0.8390   0.8950
       473       0.8590          0.8310   0.8870
       474       0.8470          0.8190   0.8750
       475       0.8380          0.8100   0.8660
       476       0.8330          0.8050   0.8610
       477       0.8240          0.7960   0.8520
       478       0.8160          0.7880   0.8440
       479       0.8030          0.7750   0.8310
       480       0.7880          0.7600   0.8160
       481       0.7800          0.7520   0.8080
       482       0.7730          0.7450   0.8010
       483       0.7570          0.7290   0.7850
       484       0.7460          0.7180   0.7740
       485       0.7320          0.7040   0.7600
       486       0.7210          0.6930   0.7490
       487       0.7130          0.6850   0.7410
       488       0.6970          0.6690   0.7250
       489       0.6770          0.6490   0.7050
       490       0.6630          0.6350   0.6910
       491       0.6490          0.6210   0.6770
       492       0.6350          0.6070   0.6630
       493       0.6170          0.5890   0.6450
       494       0.6010          0.5730   0.6290
       495       0.5830          0.5550   0.6110
       496       0.5740          0.5460   0.6020
       497       0.5640          0.5360   0.5920
       498       0.5400          0.5120   0.5680
       499       0.5240          0.4960   0.5520
       500       0.5120          0.4840   0.5400
       501       0.4940          0.4660   0.5220
       502       0.4750          0.4470   0.5030
       503       0.4560          0.4280   0.4840
       504       0.4380          0.4100   0.4660
       505       0.4240          0.3960   0.4520
       506       0.4130          0.3850   0.4410
       507       0.3880          0.3600   0.4160
       508       0.3750          0.3470   0.4030
       509       0.3610          0.3330   0.3890
       510       0.3480          0.3200   0.3760
       511       0.3240          0.2960   0.3520
       512       0.3120          0.2840   0.3400
       513       0.2950          0.2670   0.3230
       514       0.2880          0.2600   0.3160
       515       0.2760          0.2480   0.3040
       516       0.2660          0.2380   0.2940
       517       0.2550          0.2270   0.2830
       518       0.2430          0.2150   0.2710
       519       0.2320          0.2040   0.2600
       520       0.2220          0.1940   0.2500
       521       0.2080          0.1800   0.2360
       522       0.1930          0.1650   0.2210
       523       0.1850          0.1570   0.2130
       524       0.1730          0.1450   0.2010
       525       0.1670          0.1390   0.1950
       526       0.1550          0.1270   0.1830
       527       0.1450          0.1170   0.1730
       528       0.1350          0.1070   0.1630
       529       0.1300          0.1020   0.1580
       530       0.1250          0.0970   0.1530
       531       0.1160          0.0880   0.1440
       532       0.1110          0.0830   0.1390
       533       0.1020          0.0740   0.1300
       534       0.0930          0.0650   0.1210
       535       0.0870          0.0590   0.1150
       536       0.0800          0.0520   0.1080
       537       0.0720          0.0440   0.1000
       538       0.0690          0.0410   0.0970
       539       0.0670          0.0390   0.0950
       540       0.0620          0.0340   0.0900
       541       0.0580          0.0300   0.0860
       542       0.0530          0.0250   0.0810
       543       0.0470          0.0190   0.0750
       544       0.0460          0.0180   0.0740
       545       0.0430          0.0150   0.0710
       546       0.0420          0.0140   0.0700
       547       0.0400          0.0120   0.0680
       548       0.0350          0.0070   0.0630
       549       0.0320          0.0040   0.0600
       550       0.0290          0.0010   0.0570
       551       0.0290          0.0010   0.0570
       552       0.0260          0.0000   0.0540
       553       0.0250          0.0000   0.0530
       554       0.0240          0.0000   0.0520
       555       0.0210          0.0000   0.0490
       556       0.0200          0.0000   0.0480
       557       0.0180          0.0000   0.0460
       558       0.0180          0.0000   0.0460
       559       0.0170          0.0000   0.0450
       560       0.0140          0.0000   0.0420
       561       0.0140          0.0000   0.0420
       562       0.0140          0.0000   0.0420
       563       0.0130          0.0000   0.0410
       564       0.0110          0.0000   0.0390
       565       0.0100          0.0000   0.0380
       566       0.0090          0.0000   0.0370
       567       0.0090          0.0000   0.0370
       568       0.0090          0.0000   0.0370
       569       0.0080          0.0000   0.0360
       570       0.0070          0.0000   0.0350
       571       0.0050          0.0000   0.0330
       572       0.0040          0.0000   0.0320
