METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0     278.00     278.00     278.00     278.00     278.00
        1     286.00     321.26     339.99     358.71     398.00
        2     321.00     364.11     389.60     415.09     462.00
        3     339.00     395.24     424.57     453.90     513.00
        4     364.00     416.32     446.95     477.58     542.00
        5     365.00     432.50     462.68     492.86     574.00
        6     357.00     440.12     470.73     501.34     559.00
        7     367.00     446.65     477.62     508.59     605.00
        8     353.00     449.29     479.72     510.15     580.00
        9     371.00     450.75     481.44     512.13     590.00
       10     364.00     450.51     481.09     511.67     567.00
       11     384.00     451.85     482.93     514.02     564.00
       12     357.00     451.31     481.43     511.55     584.00
       13     365.00     451.14     480.73     510.32     580.00
       14     398.00     449.79     479.89     509.99     576.00
       15     401.00     448.41     478.14     507.88     591.00
       16     384.00     447.33     477.40     507.47     579.00
       17     388.00     445.80     476.11     506.43     594.00
       18     378.00     442.95     473.75     504.55     588.00
       19     374.00     440.89     472.51     504.12     572.00
       20     372.00     438.88     470.51     502.14     579.00
       21     356.00     439.84     470.15     500.47     553.00
       22     376.00     438.21     468.48     498.74     577.00
       23     367.00     438.39     468.31     498.24     565.00
       24     364.00     436.96     467.08     497.21     580.00
       25     371.00     435.67     465.64     495.61     563.00
       26     375.00     436.55     465.80     495.04     556.00
       27     383.00     434.67     463.89     493.12     552.00
       28     354.00     431.84     462.20     492.56     564.00
       29     357.00     433.39     462.70     492.02     548.00
       30     380.00     433.79     462.40     491.02     556.00
       31     368.00     432.37     461.83     491.30     568.00
       32     374.00     430.55     459.60     488.66     550.00
       33     369.00     429.52     459.76     490.00     554.00
       34     363.00     428.76     459.22     489.69     560.00
       35     365.00     425.80     456.95     488.10     557.00
       36     363.00     426.98     457.06     487.14     542.00
       37     353.00     426.75     456.73     486.72     572.00
       38     360.00     425.62     454.94     484.25     551.00
       39     360.00     425.96     455.41     484.85     558.00
       40     358.00     426.03     455.12     484.21     544.00
       41     369.00     424.88     455.62     486.36     546.00
       42     365.00     424.44     454.91     485.37     553.00
       43     366.00     422.93     452.94     482.96     540.00
       44     372.00     423.60     452.39     481.17     544.00
       45     366.00     422.85     451.92     480.98     545.00
       46     342.00     421.64     451.95     482.26     544.00
       47     352.00     421.83     451.35     480.86     535.00
       48     355.00     421.29     451.06     480.83     553.00
       49     352.00     419.51     448.83     478.16     545.00
       50     356.00     419.11     448.79     478.46     535.00
       51     347.00     417.08     448.48     479.88     548.00
       52     347.00     417.38     448.50     479.61     540.00
       53     359.00     415.58     447.14     478.70     554.00
       54     347.00     416.55     447.70     478.84     537.00
       55     349.00     416.34     447.49     478.65     550.00
       56     359.00     415.35     446.55     477.74     549.00
       57     355.00     417.64     446.69     475.75     534.00
       58     358.00     416.46     446.32     476.18     541.00
       59     355.00     415.88     445.95     476.02     533.00
       60     358.00     413.22     444.17     475.13     556.00
       61     355.00     413.19     444.17     475.16     552.00
       62     363.00     413.97     444.70     475.42     546.00
       63     352.00     414.65     445.16     475.67     546.00
       64     354.00     414.04     443.99     473.94     534.00
       65     347.00     412.72     443.23     473.73     535.00
       66     346.00     412.19     442.70     473.21     539.00
       67     325.00     412.55     442.71     472.86     540.00
       68     340.00     411.88     442.62     473.36     550.00
       69     341.00     411.21     442.59     473.97     540.00
       70     317.00     410.31     441.30     472.28     540.00
       71     338.00     410.74     440.33     469.92     554.00
       72     334.00     411.32     440.71     470.09     529.00
       73     357.00     412.14     441.82     471.50     534.00
