METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
       476       1.0000          0.9720   1.0000
       477       0.9980          0.9700   1.0000
       478       0.9980          0.9700   1.0000
       479       0.9980          0.9700   1.0000
       480       0.9980          0.9700   1.0000
       481       0.9980          0.9700   1.0000
       482       0.9980          0.9700   1.0000
       483       0.9970          0.9690   1.0000
       484       0.9960          0.9680   1.0000
       485       0.9960          0.9680   1.0000
       486       0.9950          0.9670   1.0000
       487       0.9920          0.9640   1.0000
       488       0.9920          0.9640   1.0000
       489       0.9920          0.9640   1.0000
       490       0.9900          0.9620   1.0000
       491       0.9860          0.9580   1.0000
       492       0.9850          0.9570   1.0000
       493       0.9810          0.9530   1.0000
       494       0.9770          0.9490   1.0000
       495       0.9740          0.9460   1.0000
       496       0.9690          0.9410   0.9970
       497       0.9650          0.9370   0.9930
       498       0.9640          0.9360   0.9920
       499       0.9630          0.9350   0.9910
       500       0.9580          0.9300   0.9860
       501       0.9540          0.9260   0.9820
       502       0.9480          0.9200   0.9760
       503       0.9400          0.9120   0.9680
       504       0.9330          0.9050   0.9610
       505       0.9240          0.8960   0.9520
       506       0.9160          0.8880   0.9440
       507       0.9070          0.8790   0.9350
       508       0.8940          0.8660   0.9220
       509       0.8810          0.8530   0.9090
       510       0.8620          0.8340   0.8900
       511       0.8460          0.8180   0.8740
       512       0.8350          0.8070   0.8630
       513       0.8260          0.7980   0.8540
       514       0.8120          0.7840   0.8400
       515       0.7950          0.7670   0.8230
       516       0.7790          0.7510   0.8070
       517       0.7560          0.7280   0.7840
       518       0.7280          0.7000   0.7560
       519       0.7070          0.6790   0.7350
       520       0.6880          0.6600   0.7160
       521       0.6590          0.6310   0.6870
       522       0.6410          0.6130   0.6690
       523       0.6270          0.5990   0.6550
       524       0.6060          0.5780   0.6340
       525       0.5800          0.5520   0.6080
       526       0.5560          0.5280   0.5840
       527       0.5370          0.5090   0.5650
       528       0.5190          0.4910   0.5470
       529       0.4960          0.4680   0.5240
       530       0.4780          0.4500   0.5060
       531       0.4630          0.4350   0.4910
       532       0.4410          0.4130   0.4690
       533       0.4210          0.3930   0.4490
       534       0.4030          0.3750   0.4310
       535       0.3830          0.3550   0.4110
       536       0.3720          0.3440   0.4000
       537       0.3530          0.3250   0.3810
       538       0.3370          0.3090   0.3650
       539       0.3240          0.2960   0.3520
       540       0.3120          0.2840   0.3400
       541       0.2960          0.2680   0.3240
       542       0.2710          0.2430   0.2990
       543       0.2550          0.2270   0.2830
       544       0.2370          0.2090   0.2650
       545       0.2120          0.1840   0.2400
       546       0.2010          0.1730   0.2290
       547       0.1840          0.1560   0.2120
       548       0.1690          0.1410   0.1970
       549       0.1580          0.1300   0.1860
       550       0.1450          0.1170   0.1730
       551       0.1330          0.1050   0.1610
       552       0.1210          0.0930   0.1490
       553       0.1040          0.0760   0.1320
       554       0.0920          0.0640   0.1200
       555       0.0840          0.0560   0.1120
       556       0.0750          0.0470   0.1030
       557       0.0630          0.0350   0.0910
       558       0.0530          0.0250   0.0810
       559       0.0470          0.0190   0.0750
       560       0.0460          0.0180   0.0740
       561       0.0440          0.0160   0.0720
       562       0.0420          0.0140   0.0700
       563       0.0410          0.0130   0.0690
       564       0.0380          0.0100   0.0660
       565       0.0350          0.0070   0.0630
       566       0.0310          0.0030   0.0590
       567       0.0310          0.0030   0.0590
       568       0.0250          0.0000   0.0530
       569       0.0230          0.0000   0.0510
       570       0.0200          0.0000   0.0480
       571       0.0180          0.0000   0.0460
       572       0.0180          0.0000   0.0460
       573       0.0150          0.0000   0.0430
       574       0.0150          0.0000   0.0430
       575       0.0140          0.0000   0.0420
       576       0.0130          0.0000   0.0410
       577       0.0120          0.0000   0.0400
       578       0.0120          0.0000   0.0400
       579       0.0110          0.0000   0.0390
       580       0.0100          0.0000   0.0380
       581       0.0070          0.0000   0.0350
       582       0.0070          0.0000   0.0350
       583       0.0070          0.0000   0.0350
       584       0.0070          0.0000   0.0350
       585       0.0050          0.0000   0.0330
       586       0.0050          0.0000   0.0330
       587       0.0050          0.0000   0.0330
       588       0.0050          0.0000   0.0330
       589       0.0040          0.0000   0.0320
       590       0.0040          0.0000   0.0320
       591       0.0030          0.0000   0.0310
       592       0.0020          0.0000   0.0300
       593       0.0020          0.0000   0.0300
       594       0.0020          0.0000   0.0300
       595       0.0010          0.0000   0.0290
       596       0.0010          0.0000   0.0290
       597       0.0010          0.0000   0.0290
       598       0.0010          0.0000   0.0290
       599       0.0010          0.0000   0.0290
       600       0.0010          0.0000   0.0290
       601       0.0010          0.0000   0.0290
       602       0.0010          0.0000   0.0290
       603       0.0010          0.0000   0.0290
       604       0.0010          0.0000   0.0290
       605       0.0010          0.0000   0.0290
