METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......      100.0      100.0      100.0      100.0      100.0
 2 Pop 2.......        7.0       96.8       99.9      102.9      100.0
 3 Pop 3.......        0.0       -2.4        6.1       14.7       58.0
 4 Pop 4.......        6.0       85.9       97.7      109.6      100.0
 5 Pop 5.......        0.0       22.9       59.3       95.7      100.0
 6 Pop 6.......        0.0       66.6       90.4      114.3      100.0
 7 Pop 7.......        0.0       -0.1        8.5       17.1       61.0
 8 Pop 8.......        3.0       87.5       98.1      108.8      100.0
 9 Pop 9.......        6.0       96.4       99.8      103.3      100.0
10 Pop 10......        0.0       -2.1        6.2       14.4       54.0
11 Pop 11......        0.0       -2.5        6.6       15.7       79.0
12 Pop 12......      100.0      100.0      100.0      100.0      100.0
13 Pop 13......      100.0      100.0      100.0      100.0      100.0
14 Pop 14......        0.0       -1.2        3.8        8.9       36.0
15 Pop 15......        0.0       -1.9        5.9       13.7       64.0
16 Pop 16......        0.0        6.1       37.9       69.6      100.0
17 Pop 17......        7.0       87.9       98.2      108.5      100.0
18 Pop 18......        0.0        1.1       27.7       54.2      100.0
19 Pop 19......       47.0       97.9       99.9      101.9      100.0
20 Pop 20......        0.0        1.4       28.4       55.4      100.0
21 Pop 21......        0.0        0.3       27.3       54.2      100.0
22 Pop 22......        0.0        1.9       28.5       55.1      100.0
23 Pop 23......        1.0       60.3       87.3      114.2      100.0
24 Pop 24......        0.0       -2.5       18.5       39.6      100.0
25 Pop 25......      100.0      100.0      100.0      100.0      100.0
26 Pop 26......        0.0       31.2       67.8      104.4      100.0
27 Pop 27......        0.0       34.0       69.4      104.9      100.0
28 Pop 28......        1.0       63.4       89.0      114.6      100.0
29 Pop 29......        1.0       69.7       92.1      114.5      100.0
30 Pop 30......        0.0       -1.4       12.4       26.2      100.0
31 Pop 31......        0.0       -0.8        8.9       18.7       84.0
32 Pop 32......        0.0       54.7       83.9      113.1      100.0
33 Pop 33......        0.0       -0.2        9.1       18.5       77.0
34 Pop 34......        0.0       -2.0       12.5       27.0      100.0
35 Pop 35......        0.0       -2.2        6.2       14.7       76.0
