METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0     278.00     278.00     278.00     278.00     278.00
        1     284.00     321.69     340.38     359.06     410.00
        2     314.00     362.88     388.99     415.10     483.00
        3     348.00     393.98     423.55     453.13     531.00
        4     367.00     416.81     448.32     479.82     555.00
        5     348.00     431.32     462.88     494.43     563.00
        6     369.00     440.94     471.49     502.03     564.00
        7     363.00     445.29     476.95     508.60     573.00
        8     387.00     448.55     480.08     511.62     596.00
        9     378.00     450.08     481.02     511.97     583.00
       10     187.00     238.82     257.32     275.83     310.00
       11     168.00     207.83     226.06     244.29     282.00
       12     153.00     190.42     208.71     226.99     270.00
       13     112.00     177.10     196.05     215.00     253.00
       14     127.00     168.60     187.37     206.14     253.00
       15     124.00     160.63     179.54     198.44     242.00
       16     122.00     154.13     173.00     191.87     237.00
       17     106.00     148.74     167.95     187.16     225.00
       18     100.00     144.39     163.19     182.00     222.00
       19      98.00     140.85     159.48     178.11     216.00
       20      91.00     135.82     154.96     174.11     212.00
       21      90.00     131.84     151.05     170.27     209.00
       22      87.00     129.53     147.98     166.42     208.00
       23      89.00     126.09     144.87     163.65     201.00
       24      86.00     123.26     141.87     160.49     206.00
       25      74.00     121.28     139.89     158.49     197.00
       26      82.00     118.53     136.91     155.29     192.00
       27      79.00     116.38     135.33     154.27     193.00
       28      70.00     114.00     133.00     152.00     198.00
       29      62.00     112.50     131.27     150.03     192.00
       30      53.00     110.75     129.60     148.44     190.00
       31      58.00     108.43     127.61     146.79     183.00
       32      52.00     107.16     126.32     145.48     185.00
       33      61.00     106.19     124.85     143.52     198.00
       34      69.00     105.20     123.89     142.59     190.00
       35      61.00     104.66     122.76     140.87     182.00
       36      48.00     103.47     121.52     139.58     183.00
       37      57.00     102.97     120.40     137.82     176.00
       38      51.00     101.01     118.74     136.47     180.00
       39      60.00     100.10     118.02     135.94     185.00
       40      60.00      99.84     117.52     135.19     177.00
       41      63.00      98.64     116.00     133.37     171.00
       42      58.00      97.14     114.80     132.46     175.00
       43      55.00      95.79     114.36     132.93     172.00
       44      59.00      95.24     113.51     131.78     175.00
       45      52.00      93.95     112.20     130.45     180.00
       46      52.00      93.22     111.14     129.05     170.00
       47      49.00      93.40     110.80     128.20     162.00
       48      47.00      93.12     110.23     127.34     160.00
       49      46.00      90.81     108.50     126.20     157.00
       50      58.00      90.09     107.33     124.57     167.00
       51      58.00      89.87     107.20     124.52     157.00
       52      60.00      90.39     107.42     124.46     167.00
       53      50.00      89.32     106.56     123.81     169.00
       54      45.00      88.33     105.42     122.50     161.00
       55      52.00      86.88     104.20     121.51     167.00
       56      47.00      86.69     103.82     120.94     159.00
       57      45.00      86.16     103.13     120.10     155.00
       58      41.00      85.58     103.21     120.83     167.00
       59      41.00      85.45     103.06     120.67     174.00
       60      48.00      85.28     102.78     120.27     157.00
       61      41.00      84.33     101.93     119.52     150.00
       62      50.00      83.89     101.21     118.53     157.00
       63      47.00      84.10     101.40     118.70     163.00
       64      45.00      83.30     101.08     118.86     159.00
       65      40.00      83.56     100.82     118.08     155.00
       66      48.00      82.79     100.15     117.51     154.00
       67      45.00      82.47     100.25     118.03     169.00
       68      45.00      82.05      99.70     117.35     160.00
       69      46.00      81.02      99.04     117.05     151.00
       70      43.00      81.21      98.86     116.51     153.00
       71      42.00      81.04      98.48     115.91     151.00
       72      41.00      80.45      97.70     114.95     154.00
       73      42.00      80.50      97.70     114.91     165.00
       74      42.00      80.52      97.54     114.55     149.00
       75      38.00      80.14      97.02     113.91     150.00
       76      40.00      79.66      96.80     113.95     148.00
       77      40.00      79.40      96.50     113.59     151.00
       78      42.00      78.62      95.97     113.33     162.00
       79      36.00      77.92      95.35     112.77     161.00
       80      40.00      78.41      96.02     113.64     155.00
       81      45.00      77.38      95.50     113.61     155.00
       82      39.00      77.62      94.78     111.93     150.00
       83      39.00      76.97      94.06     111.15     159.00
       84      40.00      76.88      94.39     111.90     146.00
       85      37.00      76.59      94.24     111.89     149.00
       86      36.00      76.86      93.81     110.76     149.00
       87      27.00      75.56      92.85     110.15     145.00
       88      36.00      75.68      92.89     110.09     149.00
       89      37.00      76.25      93.06     109.87     153.00
       90      38.00      75.91      92.85     109.78     141.00
       91      44.00      75.60      92.74     109.88     145.00
       92      35.00      75.32      92.47     109.62     149.00
       93      34.00      74.89      92.23     109.57     145.00
       94      29.00      74.68      91.85     109.01     145.00
       95      34.00      74.28      91.36     108.43     139.00
       96      34.00      74.13      91.07     108.02     148.00
       97      33.00      73.56      90.90     108.24     151.00
       98      35.00      73.58      90.82     108.06     162.00
       99      27.00      73.15      90.82     108.48     148.00
