METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
       408       1.0000          0.9720   1.0000
       409       0.9990          0.9710   1.0000
       410       0.9990          0.9710   1.0000
       411       0.9980          0.9700   1.0000
       412       0.9980          0.9700   1.0000
       413       0.9980          0.9700   1.0000
       414       0.9980          0.9700   1.0000
       415       0.9980          0.9700   1.0000
       416       0.9980          0.9700   1.0000
       417       0.9980          0.9700   1.0000
       418       0.9980          0.9700   1.0000
       419       0.9980          0.9700   1.0000
       420       0.9980          0.9700   1.0000
       421       0.9980          0.9700   1.0000
       422       0.9980          0.9700   1.0000
       423       0.9980          0.9700   1.0000
       424       0.9980          0.9700   1.0000
       425       0.9970          0.9690   1.0000
       426       0.9970          0.9690   1.0000
       427       0.9970          0.9690   1.0000
       428       0.9960          0.9680   1.0000
       429       0.9960          0.9680   1.0000
       430       0.9960          0.9680   1.0000
       431       0.9960          0.9680   1.0000
       432       0.9950          0.9670   1.0000
       433       0.9950          0.9670   1.0000
       434       0.9930          0.9650   1.0000
       435       0.9930          0.9650   1.0000
       436       0.9910          0.9630   1.0000
       437       0.9910          0.9630   1.0000
       438       0.9900          0.9620   1.0000
       439       0.9880          0.9600   1.0000
       440       0.9880          0.9600   1.0000
       441       0.9880          0.9600   1.0000
       442       0.9850          0.9570   1.0000
       443       0.9830          0.9550   1.0000
       444       0.9820          0.9540   1.0000
       445       0.9800          0.9520   1.0000
       446       0.9780          0.9500   1.0000
       447       0.9760          0.9480   1.0000
       448       0.9730          0.9450   1.0000
       449       0.9700          0.9420   0.9980
       450       0.9690          0.9410   0.9970
       451       0.9670          0.9390   0.9950
       452       0.9640          0.9360   0.9920
       453       0.9630          0.9350   0.9910
       454       0.9610          0.9330   0.9890
       455       0.9550          0.9270   0.9830
       456       0.9490          0.9210   0.9770
       457       0.9450          0.9170   0.9730
       458       0.9430          0.9150   0.9710
       459       0.9350          0.9070   0.9630
       460       0.9310          0.9030   0.9590
       461       0.9240          0.8960   0.9520
       462       0.9200          0.8920   0.9480
       463       0.9180          0.8900   0.9460
       464       0.9130          0.8850   0.9410
       465       0.9060          0.8780   0.9340
       466       0.8970          0.8690   0.9250
       467       0.8900          0.8620   0.9180
       468       0.8880          0.8600   0.9160
       469       0.8830          0.8550   0.9110
       470       0.8770          0.8490   0.9050
       471       0.8690          0.8410   0.8970
       472       0.8580          0.8300   0.8860
       473       0.8510          0.8230   0.8790
       474       0.8420          0.8140   0.8700
       475       0.8310          0.8030   0.8590
       476       0.8190          0.7910   0.8470
       477       0.8070          0.7790   0.8350
       478       0.7950          0.7670   0.8230
       479       0.7860          0.7580   0.8140
       480       0.7800          0.7520   0.8080
       481       0.7720          0.7440   0.8000
       482       0.7630          0.7350   0.7910
       483       0.7480          0.7200   0.7760
       484       0.7410          0.7130   0.7690
       485       0.7250          0.6970   0.7530
       486       0.7110          0.6830   0.7390
       487       0.7050          0.6770   0.7330
       488       0.6890          0.6610   0.7170
       489       0.6740          0.6460   0.7020
       490       0.6650          0.6370   0.6930
       491       0.6530          0.6250   0.6810
       492       0.6300          0.6020   0.6580
       493       0.6180          0.5900   0.6460
       494       0.6040          0.5760   0.6320
